Zosterops japonicus_Warbling White-eye
Paroaria coronata_Red-crested Cardinal
Copsychus malabaricus_White-rumped Shama
Geopelia striata_Zebra Dove
Acridotheres tristis_Common Myna
Bubulcus ibis_Cattle Egret
Streptopelia chinensis_Spotted Dove
Gallus gallus_Red Junglefowl
Haemorhous mexicanus_House Finch
Pluvialis fulva_Pacific Golden-Plover
Gallinula galeata_Common Gallinule
Psittacula krameri_Rose-ringed Parakeet
Cardinalis cardinalis_Northern Cardinal
Nycticorax nycticorax_Black-crowned Night-Heron
Lonchura atricapilla_Chestnut Munia
Lonchura punctulata_Scaly-breasted Munia
Phaethon lepturus_White-tailed Tropicbird
Anas wyvilliana_Hawaiian Duck
Passer domesticus_House Sparrow
Columba livia_Rock Pigeon
Mimus polyglottos_Northern Mockingbird
Himantopus mexicanus_Black-necked Stilt
Garrulax canorus_Chinese Hwamei
Fulica alai_Hawaiian Coot
Sturnella neglecta_Western Meadowlark
Branta sandvicensis_Hawaiian Goose
Horornis diphone_Japanese Bush Warbler
Chasiempis sclateri_Kauai Elepaio
Amandava amandava_Red Avadavat
Padda oryzivora_Java Sparrow
Tringa incana_Wandering Tattler
Puffinus newelli_Newell's Shearwater
Magumma parva_Anianiau
Loxops caeruleirostris_Akekee
Arenaria interpres_Ruddy Turnstone
Tyto alba_Barn Owl
Estrilda astrild_Common Waxbill
Ardenna pacifica_Wedge-tailed Shearwater
Euodice cantans_African Silverbill
Pterodroma sandwichensis_Hawaiian Petrel
Agapornis roseicollis_Rosy-faced Lovebird
Ducula pacifica_Pacific Imperial-Pigeon
Numenius phaeopus_Whimbrel
Anous ceruleus_Blue-gray Noddy
Fregata minor_Great Frigatebird
Chlorodrepanis stejnegeri_Kauai Amakihi
Phasianus colchicus_Ring-necked Pheasant
Urodynamis taitensis_Long-tailed Koel
Sula leucogaster_Brown Booby
Onychoprion lunatus_Gray-backed Tern
Stercorarius longicaudus_Long-tailed Jaeger
Asio flammeus_Short-eared Owl
