Zosterops japonicus_Warbling White-eye
Himatione sanguinea_Apapane
Chlorodrepanis virens_Hawaii Amakihi
Acridotheres tristis_Common Myna
Cardinalis cardinalis_Northern Cardinal
Streptopelia chinensis_Spotted Dove
Crithagra mozambica_Yellow-fronted Canary
Haemorhous mexicanus_House Finch
Geopelia striata_Zebra Dove
Sicalis flaveola_Saffron Finch
Chasiempis sandwichensis_Hawaii Elepaio
Leiothrix lutea_Red-billed Leiothrix
Paroaria capitata_Yellow-billed Cardinal
Myadestes obscurus_Omao
Passer domesticus_House Sparrow
Drepanis coccinea_Iiwi
Buteo solitarius_Hawaiian Hawk
Pluvialis fulva_Pacific Golden-Plover
Lophura leucomelanos_Kalij Pheasant
Estrilda astrild_Common Waxbill
Glaucestrilda caerulescens_Lavender Waxbill
Horornis diphone_Japanese Bush Warbler
Anous minutus_Black Noddy
Alauda arvensis_Eurasian Skylark
Lonchura punctulata_Scaly-breasted Munia
Padda oryzivora_Java Sparrow
Branta sandvicensis_Hawaiian Goose
Tringa incana_Wandering Tattler
Phaethon lepturus_White-tailed Tropicbird
Pternistis erckelii_Erckel's Francolin
Garrulax canorus_Chinese Hwamei
Ortygornis pondicerianus_Gray Francolin
Ardenna pacifica_Wedge-tailed Shearwater
Euodice cantans_African Silverbill
Bubulcus ibis_Cattle Egret
Nycticorax nycticorax_Black-crowned Night-Heron
Meleagris gallopavo_Wild Turkey
Pterodroma sandwichensis_Hawaiian Petrel
Fulica alai_Hawaiian Coot
Arenaria interpres_Ruddy Turnstone
Columba livia_Rock Pigeon
Loxops mana_Hawaii Creeper
Anas wyvilliana_Hawaiian Duck
Gallus gallus_Red Junglefowl
Hemignathus wilsoni_Akiapolaau
Mimus polyglottos_Northern Mockingbird
Loxops coccineus_Hawaii Akepa
Tyto alba_Barn Owl
Psittacula krameri_Rose-ringed Parakeet
Lonchura atricapilla_Chestnut Munia
Gallinula galeata_Common Gallinule
Himantopus mexicanus_Black-necked Stilt
Pavo cristatus_Indian Peafowl
