Gymnorhina tibicen_Australian Magpie
Grallina cyanoleuca_Magpie-lark
Eolophus roseicapilla_Galah
Rhipidura leucophrys_Willie-wagtail
Corvus coronoides_Australian Raven
Ocyphaps lophotes_Crested Pigeon
Ptilotula penicillata_White-plumed Honeyeater
Psephotus haematonotus_Red-rumped Parrot
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Manorina flavigula_Yellow-throated Miner
Anas superciliosa_Pacific Black Duck
Struthidea cinerea_Apostlebird
Barnardius zonarius_Australian Ringneck
Anas gracilis_Gray Teal
Manorina melanocephala_Noisy Miner
Geopelia placida_Peaceful Dove
Corcorax melanorhamphos_White-winged Chough
Dacelo novaeguineae_Laughing Kookaburra
Pachycephala rufiventris_Rufous Whistler
Cracticus nigrogularis_Pied Butcherbird
Nymphicus hollandicus_Cockatiel
Sturnus vulgaris_European Starling
Chenonetta jubata_Maned Duck
Hirundo neoxena_Welcome Swallow
Passer domesticus_House Sparrow
Cincloramphus mathewsi_Rufous Songlark
Colluricincla harmonica_Gray Shrikethrush
Petroica goodenovii_Red-capped Robin
Artamus superciliosus_White-browed Woodswallow
Cacatua galerita_Sulphur-crested Cockatoo
Coracina novaehollandiae_Black-faced Cuckooshrike
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Lalage tricolor_White-winged Triller
Milvus migrans_Black Kite
Philemon citreogularis_Little Friarbird
Northiella haematogaster_Greater Bluebonnet
Pardalotus striatus_Striated Pardalote
Microeca fascinans_Jacky-winter
Artamus personatus_Masked Woodswallow
Melithreptus brevirostris_Brown-headed Honeyeater
Myiagra inquieta_Restless Flycatcher
Tachybaptus novaehollandiae_Australasian Grebe
Todiramphus sanctus_Sacred Kingfisher
Egretta novaehollandiae_White-faced Heron
Malurus cyaneus_Superb Fairywren
Climacteris picumnus_Brown Treecreeper
Petrochelidon ariel_Fairy Martin
Acrocephalus australis_Australian Reed Warbler
Malacorhynchus membranaceus_Pink-eared Duck
Cracticus torquatus_Gray Butcherbird
Haliastur sphenurus_Whistling Kite
Acanthiza uropygialis_Chestnut-rumped Thornbill
Phaps chalcoptera_Common Bronzewing
Cacatua sanguinea_Little Corella
Melopsittacus undulatus_Budgerigar
Aphelocephala leucopsis_Southern Whiteface
Malurus leucopterus_White-winged Fairywren
Elseyornis melanops_Black-fronted Dotterel
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Fulica atra_Eurasian Coot
Taeniopygia guttata_Zebra Finch
Gavicalis virescens_Singing Honeyeater
Entomyzon cyanotis_Blue-faced Honeyeater
Plectorhyncha lanceolata_Striped Honeyeater
Oreoica gutturalis_Crested Bellbird
Dicaeum hirundinaceum_Mistletoebird
Acanthiza nana_Yellow Thornbill
Acanthiza apicalis_Inland Thornbill
Aprosmictus erythropterus_Red-winged Parrot
Petrochelidon nigricans_Tree Martin
Cincloramphus cruralis_Brown Songlark
Platycercus eximius_Eastern Rosella
Cacomantis pallidus_Pallid Cuckoo
Smicrornis brevirostris_Weebill
Pardalotus punctatus_Spotted Pardalote
Chlamydera maculata_Spotted Bowerbird
Gerygone fusca_Western Gerygone
Falco berigora_Brown Falcon
Rhipidura albiscapa_Gray Fantail
Malurus assimilis_Purple-backed Fairywren
Epthianura tricolor_Crimson Chat
Poodytes gramineus_Little Grassbird
Anhinga novaehollandiae_Australasian Darter
Psephotus varius_Mulga Parrot
Artamus leucorynchus_White-breasted Woodswallow
Vanellus miles_Masked Lapwing
Artamus cyanopterus_Dusky Woodswallow
