Hemiprocne mystacea_Moustached Treeswift
Rhyticeros plicatus_Blyth's Hornbill
Accipiter hiogaster_Variable Goshawk
Trichoglossus haematodus_Coconut Lorikeet
Phylloscopus poliocephalus_Island Leaf Warbler
Chalcophaps stephani_Stephan's Dove
Ptilinopus rivoli_White-breasted Fruit-Dove
Leptocoma aspasia_Black Sunbird
Macropygia amboinensis_Amboyna Cuckoo-Dove
Phonygammus keraudrenii_Trumpet Manucode
Erythropitta macklotii_Papuan Pitta
Cracticus cassicus_Hooded Butcherbird
Ducula zoeae_Zoe's Imperial-Pigeon
Reinwardtoena reinwardti_Great Cuckoo-Dove
Ptilinopus iozonus_Orange-bellied Fruit-Dove
Mino dumontii_Yellow-faced Myna
Tanysiptera galatea_Common Paradise-Kingfisher
Ducula pinon_Pinon's Imperial-Pigeon
Arses telescopthalmus_Frilled Monarch
Pseudorectes ferrugineus_Rusty Pitohui
Otidiphaps nobilis_Pheasant Pigeon
Malurus cyanocephalus_Emperor Fairywren
Cicinnurus regius_King Bird-of-Paradise
Rhipidura maculipectus_Black Thicket-Fantail
Geoffroyus geoffroyi_Red-cheeked Parrot
Syma torotoro_Yellow-billed Kingfisher
Ptiloris magnificus_Magnificent Riflebird
Toxorhamphus novaeguineae_Yellow-bellied Longbill
Ptilinopus viridis_Claret-breasted Fruit-Dove
Talegalla fuscirostris_Yellow-legged Brushturkey
Carterornis chrysomela_Golden Monarch
Cinnyris jugularis_Olive-backed Sunbird
Myzomela erythrocephala_Red-headed Myzomela
Ducula spilorrhoa_Torresian Imperial-Pigeon
Vanellus miles_Masked Lapwing
Rhipidura leucophrys_Willie-wagtail
Phaethon rubricauda_Red-tailed Tropicbird
Oriolus flavocinctus_Green Oriole
Megapodius reinwardt_Orange-footed Scrubfowl
Anas superciliosa_Pacific Black Duck
Eclectus roratus_Eclectus Parrot
Conopophila albogularis_Rufous-banded Honeyeater
Ardea sumatrana_Great-billed Heron
Myiagra ruficollis_Broad-billed Flycatcher
Cracticus quoyi_Black Butcherbird
Cacatua galerita_Sulphur-crested Cockatoo
Egretta garzetta_Little Egret
Ramsayornis modestus_Brown-backed Honeyeater
Pitohui kirhocephalus_Northern Variable Pitohui
Bubulcus ibis_Cattle Egret
Aplonis metallica_Metallic Starling
Myiagra nana_Paperbark Flycatcher
Butorides striata_Striated Heron
Turnix maculosus_Red-backed Buttonquail
Egretta sacra_Pacific Reef-Heron
Macheiramphus alcinus_Bat Hawk
Cacomantis flabelliformis_Fan-tailed Cuckoo
Passer montanus_Eurasian Tree Sparrow
Pelecanus conspicillatus_Australian Pelican
Rhipidura dryas_Arafura Fantail
Sterna sumatrana_Black-naped Tern
Chrysococcyx minutillus_Little Bronze-Cuckoo
Lanius schach_Long-tailed Shrike
Gerygone magnirostris_Large-billed Gerygone
Thalasseus bergii_Great Crested Tern
Hirundapus caudacutus_White-throated Needletail
Ptilinopus superbus_Superb Fruit-Dove
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Synoicus chinensis_Blue-breasted Quail
Cisticola juncidis_Zitting Cisticola
Sphecotheres vieilloti_Australasian Figbird
Fregata ariel_Lesser Frigatebird
Numenius minutus_Little Curlew
Plegadis falcinellus_Glossy Ibis
Dendrocygna arcuata_Wandering Whistling-Duck
