Larus dominicanus_Kelp Gull
Stercorarius antarcticus_Brown Skua
Thalassarche melanophris_Black-browed Albatross
Aptenodytes patagonicus_King Penguin
Sterna vittata_Antarctic Tern
Daption capense_Cape Petrel
Anas georgica_Yellow-billed Pintail
Diomedea exulans_Wandering Albatross
Pygoscelis papua_Gentoo Penguin
Ardenna grisea_Sooty Shearwater
Pygoscelis antarcticus_Chinstrap Penguin
Stercorarius maccormicki_South Polar Skua
Pygoscelis adeliae_Adelie Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Pterodroma inexpectata_Mottled Petrel
Anas flavirostris_Yellow-billed Teal
