Vanellus chilensis_Southern Lapwing
Turdus falcklandii_Austral Thrush
Milvago chimango_Chimango Caracara
Cathartes aura_Turkey Vulture
Coragyps atratus_Black Vulture
Tachycineta leucopyga_Chilean Swallow
Larus dominicanus_Kelp Gull
Sephanoides sephaniodes_Green-backed Firecrown
Nannopterum brasilianum_Neotropic Cormorant
Chroicocephalus maculipennis_Brown-hooded Gull
Numenius phaeopus_Whimbrel
Troglodytes aedon_House Wren
Spinus barbatus_Black-chinned Siskin
Pyrope pyrope_Fire-eyed Diucon
Curaeus curaeus_Austral Blackbird
Anas georgica_Yellow-billed Pintail
Ardea alba_Great Egret
Egretta thula_Snowy Egret
Sicalis luteola_Grassland Yellow-Finch
Passer domesticus_House Sparrow
Anairetes parulus_Tufted Tit-Tyrant
Patagioenas araucana_Chilean Pigeon
Cygnus melancoryphus_Black-necked Swan
Colorhamphus parvirostris_Patagonian Tyrant
Scelorchilus rubecula_Chucao Tapaculo
Diuca diuca_Diuca Finch
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Leucophaeus pipixcan_Franklin's Gull
Cinclodes patagonicus_Dark-bellied Cinclodes
Elaenia albiceps_White-crested Elaenia
Leistes loyca_Long-tailed Meadowlark
Anas flavirostris_Yellow-billed Teal
Himantopus mexicanus_Black-necked Stilt
Theristicus melanopis_Black-faced Ibis
Phrygilus patagonicus_Patagonian Sierra Finch
Coscoroba coscoroba_Coscoroba Swan
Sterna hirundinacea_South American Tern
Thalassarche melanophris_Black-browed Albatross
Agelasticus thilius_Yellow-winged Blackbird
Tringa flavipes_Lesser Yellowlegs
Nycticorax nycticorax_Black-crowned Night-Heron
Zonotrichia capensis_Rufous-collared Sparrow
Enicognathus leptorhynchus_Slender-billed Parakeet
Mareca sibilatrix_Chiloe Wigeon
Haematopus palliatus_American Oystercatcher
Colaptes pitius_Chilean Flicker
Mimus thenca_Chilean Mockingbird
Eugralla paradoxa_Ochre-flanked Tapaculo
Pardirallus sanguinolentus_Plumbeous Rail
Spatula cyanoptera_Cinnamon Teal
Charadrius modestus_Rufous-chested Dotterel
Ardea cocoi_Cocoi Heron
Gallinago magellanica_Magellanic Snipe
Scytalopus magellanicus_Magellanic Tapaculo
Fulica armillata_Red-gartered Coot
