Acridotheres tristis_Common Myna
Dromas ardeola_Crab-Plover
Thalasseus bergii_Great Crested Tern
Butorides striata_Striated Heron
Thalasseus bengalensis_Lesser Crested Tern
Passer domesticus_House Sparrow
Numenius phaeopus_Whimbrel
Charadrius leschenaultii_Greater Sand-Plover
Milvus migrans_Black Kite
Phaethon lepturus_White-tailed Tropicbird
Phaethon rubricauda_Red-tailed Tropicbird
Merops superciliosus_Madagascar Bee-eater
Chroicocephalus cirrocephalus_Gray-hooded Gull
Eurystomus glaucurus_Broad-billed Roller
Actitis hypoleucos_Common Sandpiper
Porphyrio madagascariensis_African Swamphen
Numida meleagris_Helmeted Guineafowl
Oena capensis_Namaqua Dove
Xenus cinereus_Terek Sandpiper
Riparia paludicola_Plain Martin
Dendrocygna viduata_White-faced Whistling-Duck
Fregata ariel_Lesser Frigatebird
Gallinula chloropus_Eurasian Moorhen
Onychoprion fuscatus_Sooty Tern
Tringa nebularia_Common Greenshank
Cuculus rochii_Madagascar Cuckoo
Anous stolidus_Brown Noddy
Fulica cristata_Red-knobbed Coot
Bubulcus ibis_Cattle Egret
Charadrius tricollaris_Three-banded Plover
Fregata minor_Great Frigatebird
Sterna dougallii_Roseate Tern
Corvus albus_Pied Crow
Arenaria interpres_Ruddy Turnstone
Limosa lapponica_Bar-tailed Godwit
Stercorarius antarcticus_Brown Skua
Egretta garzetta_Little Egret
Scopus umbretta_Hamerkop
Saxicola torquatus_African Stonechat
Onychoprion anaethetus_Bridled Tern
Ardea cinerea_Gray Heron
Larus dominicanus_Kelp Gull
Ardenna pacifica_Wedge-tailed Shearwater
Ardeola ralloides_Squacco Heron
Phoenicopterus roseus_Greater Flamingo
Ardea alba_Great Egret
Macheiramphus alcinus_Bat Hawk
Sternula saundersi_Saunders's Tern
Tachybaptus ruficollis_Little Grebe
Calidris ferruginea_Curlew Sandpiper
Himantopus himantopus_Black-winged Stilt
Sula leucogaster_Brown Booby
Dendrocygna bicolor_Fulvous Whistling-Duck
Foudia madagascariensis_Red Fody
Tringa stagnatilis_Marsh Sandpiper
Tringa glareola_Wood Sandpiper
Cinnyris sovimanga_Souimanga Sunbird
Apus melba_Alpine Swift
