Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Stercorarius antarcticus_Brown Skua
Daption capense_Cape Petrel
Aptenodytes patagonicus_King Penguin
Diomedea exulans_Wandering Albatross
Sterna vittata_Antarctic Tern
Ardenna grisea_Sooty Shearwater
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Anas georgica_Yellow-billed Pintail
Pygoscelis adeliae_Adelie Penguin
Stercorarius maccormicki_South Polar Skua
Ardenna tenuirostris_Short-tailed Shearwater
Pterodroma inexpectata_Mottled Petrel
Anas flavirostris_Yellow-billed Teal
