Coereba flaveola_Bananaquit
Melanospiza bicolor_Black-faced Grassquit
Mimus gilvus_Tropical Mockingbird
Quiscalus lugubris_Carib Grackle
Tyrannus dominicensis_Gray Kingbird
Fregata magnificens_Magnificent Frigatebird
Pelecanus occidentalis_Brown Pelican
Columbina passerina_Common Ground Dove
Sicalis flaveola_Saffron Finch
Charadrius semipalmatus_Semipalmated Plover
Ardea alba_Great Egret
Setophaga petechia_Yellow Warbler
Setophaga ruticilla_American Redstart
Tringa flavipes_Lesser Yellowlegs
Thalasseus maximus_Royal Tern
Tringa melanoleuca_Greater Yellowlegs
Icterus icterus_Venezuelan Troupial
Calidris minutilla_Least Sandpiper
Himantopus mexicanus_Black-necked Stilt
Calidris pusilla_Semipalmated Sandpiper
Columba livia_Rock Pigeon
Bubulcus ibis_Cattle Egret
Gallinula galeata_Common Gallinule
Actitis macularius_Spotted Sandpiper
Phoenicopterus ruber_American Flamingo
Hirundo rustica_Barn Swallow
Pandion haliaetus_Osprey
Patagioenas corensis_Bare-eyed Pigeon
Parkesia noveboracensis_Northern Waterthrush
Zenaida auriculata_Eared Dove
Molothrus bonariensis_Shiny Cowbird
Egretta thula_Snowy Egret
Butorides virescens_Green Heron
Spatula discors_Blue-winged Teal
Chlorostilbon mellisugus_Blue-tailed Emerald
Ardea herodias_Great Blue Heron
Crotophaga ani_Smooth-billed Ani
Pluvialis squatarola_Black-bellied Plover
Icterus nigrogularis_Yellow Oriole
Sula leucogaster_Brown Booby
Leucophaeus atricilla_Laughing Gull
Setophaga striata_Blackpoll Warbler
Leptotila verreauxi_White-tipped Dove
Falco sparverius_American Kestrel
Falco columbarius_Merlin
Eupsittula pertinax_Brown-throated Parakeet
Thalasseus sandvicensis_Sandwich Tern
Nyctanassa violacea_Yellow-crowned Night-Heron
Egretta caerulea_Little Blue Heron
Egretta tricolor_Tricolored Heron
Limnodromus griseus_Short-billed Dowitcher
Numenius phaeopus_Whimbrel
Tringa semipalmata_Willet
Megaceryle alcyon_Belted Kingfisher
Coragyps atratus_Black Vulture
Tyrannus melancholicus_Tropical Kingbird
Caracara plancus_Crested Caracara
Melanerpes rubricapillus_Red-crowned Woodpecker
Nycticorax nycticorax_Black-crowned Night-Heron
Calidris alba_Sanderling
Charadrius wilsonia_Wilson's Plover
Arenaria interpres_Ruddy Turnstone
Fulica americana_American Coot
Sterna hirundo_Common Tern
Pygochelidon cyanoleuca_Blue-and-white Swallow
Calidris fuscicollis_White-rumped Sandpiper
Tringa solitaria_Solitary Sandpiper
Vanellus chilensis_Southern Lapwing
Ara severus_Chestnut-fronted Macaw
Cathartes aura_Turkey Vulture
Tachybaptus dominicus_Least Grebe
Vireo altiloquus_Black-whiskered Vireo
Plegadis falcinellus_Glossy Ibis
Elaenia flavogaster_Yellow-bellied Elaenia
Mniotilta varia_Black-and-white Warbler
Nannopterum brasilianum_Neotropic Cormorant
Calidris melanotos_Pectoral Sandpiper
Sublegatus arenarum_Northern Scrub-Flycatcher
Calidris himantopus_Stilt Sandpiper
Sternula antillarum_Least Tern
Turdus nudigenis_Spectacled Thrush
Calidris mauri_Western Sandpiper
Forpus passerinus_Green-rumped Parrotlet
Myiarchus tyrannulus_Brown-crested Flycatcher
Synallaxis albescens_Pale-breasted Spinetail
Troglodytes aedon_House Wren
Falco peregrinus_Peregrine Falcon
Podilymbus podiceps_Pied-billed Grebe
Ortalis ruficauda_Rufous-vented Chachalaca
Tyto alba_Barn Owl
Saltator olivascens_Olivaceous Saltator
Coccyzus americanus_Yellow-billed Cuckoo
Thraupis episcopus_Blue-gray Tanager
Sporophila nigricollis_Yellow-bellied Seedeater
Egretta rufescens_Reddish Egret
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Streptopelia decaocto_Eurasian Collared-Dove
Columbina squammata_Scaled Dove
Gallinago delicata_Wilson's Snipe
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Psittacara wagleri_Scarlet-fronted Parakeet
Porphyrio martinica_Purple Gallinule
Saltator striatipectus_Streaked Saltator
Athene cunicularia_Burrowing Owl
Patagioenas squamosa_Scaly-naped Pigeon
Galbula ruficauda_Rufous-tailed Jacamar
Rynchops niger_Black Skimmer
Buteo platypterus_Broad-winged Hawk
Euphonia laniirostris_Thick-billed Euphonia
Polioptila plumbea_Tropical Gnatcatcher
Formicivora grisea_White-fringed Antwren
Thamnophilus doliatus_Barred Antshrike
Sterna dougallii_Roseate Tern
Turdus leucomelas_Pale-breasted Thrush
Tachyphonus rufus_White-lined Tanager
Piranga rubra_Summer Tanager
Platalea ajaja_Roseate Spoonbill
Myiozetetes similis_Social Flycatcher
Pluvialis dominica_American Golden-Plover
Chiroxiphia lanceolata_Lance-tailed Manakin
Pitangus sulphuratus_Great Kiskadee
Pachysylvia aurantiifrons_Golden-fronted Greenlet
Psarocolius decumanus_Crested Oropendola
Setophaga fusca_Blackburnian Warbler
Zenaida aurita_Zenaida Dove
Charadrius collaris_Collared Plover
Colinus cristatus_Crested Bobwhite
Milvago chimachima_Yellow-headed Caracara
Columbina talpacoti_Ruddy Ground Dove
Setophaga americana_Northern Parula
Vireo chivi_Chivi Vireo
Hylophilus flavipes_Scrub Greenlet
Gelochelidon nilotica_Gull-billed Tern
Amazona ochrocephala_Yellow-crowned Parrot
Crotophaga sulcirostris_Groove-billed Ani
Leucippus fallax_Buffy Hummingbird
Charadrius vociferus_Killdeer
Volatinia jacarina_Blue-black Grassquit
Coccyzus minor_Mangrove Cuckoo
Allenia fusca_Scaly-breasted Thrasher
Loxigilla noctis_Lesser Antillean Bullfinch
Tyrannus savana_Fork-tailed Flycatcher
Rupornis magnirostris_Roadside Hawk
Thryophilus rufalbus_Rufous-and-white Wren
Hydroprogne caspia_Caspian Tern
Pheugopedius rutilus_Rufous-breasted Wren
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Lonchura malacca_Tricolored Munia
Haematopus palliatus_American Oystercatcher
Tangara arthus_Golden Tanager
Buteogallus anthracinus_Common Black Hawk
Sula dactylatra_Masked Booby
Cyclarhis gujanensis_Rufous-browed Peppershrike
Elaenia martinica_Caribbean Elaenia
Burhinus bistriatus_Double-striped Thick-knee
Hemitriccus margaritaceiventer_Pearly-vented Tody-Tyrant
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Riparia riparia_Bank Swallow
Myiophobus fasciatus_Bran-colored Flycatcher
Myiodynastes maculatus_Streaked Flycatcher
Hydropsalis cayennensis_White-tailed Nightjar
Dendrocygna bicolor_Fulvous Whistling-Duck
Eudocimus albus_White Ibis
Euphonia trinitatis_Trinidad Euphonia
Tapera naevia_Striped Cuckoo
Setophaga discolor_Prairie Warbler
Saltator albicollis_Lesser Antillean Saltator
Sporophila intermedia_Gray Seedeater
Cranioleuca subcristata_Crested Spinetail
Lonchura punctulata_Scaly-breasted Munia
Passer domesticus_House Sparrow
Thraupis palmarum_Palm Tanager
Porzana carolina_Sora
Megarynchus pitangua_Boat-billed Flycatcher
Dendroplex picus_Straight-billed Woodcreeper
Streptoprocne zonaris_White-collared Swift
Thectocercus acuticaudatus_Blue-crowned Parakeet
Aythya affinis_Lesser Scaup
Falco femoralis_Aplomado Falcon
Conirostrum bicolor_Bicolored Conebill
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Saucerottia tobaci_Copper-rumped Hummingbird
Todirostrum cinereum_Common Tody-Flycatcher
Aramus guarauna_Limpkin
Charadrius nivosus_Snowy Plover
Myrmeciza longipes_White-bellied Antbird
Zonotrichia capensis_Rufous-collared Sparrow
Amazona amazonica_Orange-winged Parrot
Ixobrychus exilis_Least Bittern
Machetornis rixosa_Cattle Tyrant
Gampsonyx swainsonii_Pearl Kite
Larus delawarensis_Ring-billed Gull
Chalybura buffonii_White-vented Plumeleteer
Progne chalybea_Gray-breasted Martin
Butorides striata_Striated Heron
Progne tapera_Brown-chested Martin
