Zosterops japonicus_Warbling White-eye
Paroaria coronata_Red-crested Cardinal
Geopelia striata_Zebra Dove
Copsychus malabaricus_White-rumped Shama
Bubulcus ibis_Cattle Egret
Streptopelia chinensis_Spotted Dove
Acridotheres tristis_Common Myna
Gallus gallus_Red Junglefowl
Haemorhous mexicanus_House Finch
Pluvialis fulva_Pacific Golden-Plover
Cardinalis cardinalis_Northern Cardinal
Passer domesticus_House Sparrow
Lonchura punctulata_Scaly-breasted Munia
Psittacula krameri_Rose-ringed Parakeet
Lonchura atricapilla_Chestnut Munia
Gallinula galeata_Common Gallinule
Nycticorax nycticorax_Black-crowned Night-Heron
Phaethon lepturus_White-tailed Tropicbird
Anas wyvilliana_Hawaiian Duck
Columba livia_Rock Pigeon
Garrulax canorus_Chinese Hwamei
Horornis diphone_Japanese Bush Warbler
Fulica alai_Hawaiian Coot
Mimus polyglottos_Northern Mockingbird
Himantopus mexicanus_Black-necked Stilt
Branta sandvicensis_Hawaiian Goose
Sturnella neglecta_Western Meadowlark
Chasiempis sclateri_Kauai Elepaio
Magumma parva_Anianiau
Padda oryzivora_Java Sparrow
Amandava amandava_Red Avadavat
Loxops caeruleirostris_Akekee
Tringa incana_Wandering Tattler
Puffinus newelli_Newell's Shearwater
Phasianus colchicus_Ring-necked Pheasant
Estrilda astrild_Common Waxbill
Arenaria interpres_Ruddy Turnstone
Pterodroma sandwichensis_Hawaiian Petrel
Euodice cantans_African Silverbill
Asio flammeus_Short-eared Owl
Chlorodrepanis stejnegeri_Kauai Amakihi
Tyto alba_Barn Owl
Anous minutus_Black Noddy
Agapornis roseicollis_Rosy-faced Lovebird
Ardenna pacifica_Wedge-tailed Shearwater
Alauda arvensis_Eurasian Skylark
Francolinus francolinus_Black Francolin
Ortygornis pondicerianus_Gray Francolin
