Acridotheres tristis_Common Myna
Butorides striata_Striated Heron
Phaethon rubricauda_Red-tailed Tropicbird
Phaethon lepturus_White-tailed Tropicbird
Thalasseus bergii_Great Crested Tern
Numenius phaeopus_Whimbrel
Thalasseus bengalensis_Lesser Crested Tern
Dromas ardeola_Crab-Plover
Passer domesticus_House Sparrow
Anous stolidus_Brown Noddy
Charadrius leschenaultii_Greater Sand-Plover
Actitis hypoleucos_Common Sandpiper
Fregata ariel_Lesser Frigatebird
Gallinula chloropus_Eurasian Moorhen
Bubulcus ibis_Cattle Egret
Onychoprion anaethetus_Bridled Tern
Numida meleagris_Helmeted Guineafowl
Tringa nebularia_Common Greenshank
Milvus migrans_Black Kite
Foudia madagascariensis_Red Fody
Ardenna pacifica_Wedge-tailed Shearwater
Onychoprion fuscatus_Sooty Tern
Arenaria interpres_Ruddy Turnstone
Xenus cinereus_Terek Sandpiper
Sterna dougallii_Roseate Tern
Chroicocephalus cirrocephalus_Gray-hooded Gull
Porphyrio madagascariensis_African Swamphen
Dendrocygna viduata_White-faced Whistling-Duck
Sula leucogaster_Brown Booby
Stercorarius antarcticus_Brown Skua
Oena capensis_Namaqua Dove
Merops superciliosus_Madagascar Bee-eater
Eurystomus glaucurus_Broad-billed Roller
Ardea alba_Great Egret
Corvus albus_Pied Crow
Limosa lapponica_Bar-tailed Godwit
Calidris ferruginea_Curlew Sandpiper
Egretta garzetta_Little Egret
Pluvialis squatarola_Black-bellied Plover
Fregata minor_Great Frigatebird
Riparia paludicola_Plain Martin
Fulica cristata_Red-knobbed Coot
Saxicola torquatus_African Stonechat
Phedina borbonica_Mascarene Martin
Sula dactylatra_Masked Booby
Himantopus himantopus_Black-winged Stilt
Coracopsis nigra_Lesser Vasa Parrot
Tachybaptus ruficollis_Little Grebe
Phoenicopterus roseus_Greater Flamingo
Scopus umbretta_Hamerkop
Charadrius tricollaris_Three-banded Plover
Macheiramphus alcinus_Bat Hawk
Ardea cinerea_Gray Heron
Anous tenuirostris_Lesser Noddy
Tringa glareola_Wood Sandpiper
Ardeola ralloides_Squacco Heron
Ardea purpurea_Purple Heron
Tringa stagnatilis_Marsh Sandpiper
Dendrocygna bicolor_Fulvous Whistling-Duck
Apus melba_Alpine Swift
Calidris alba_Sanderling
Sternula saundersi_Saunders's Tern
Cuculus rochii_Madagascar Cuckoo
Chlidonias hybrida_Whiskered Tern
Falco peregrinus_Peregrine Falcon
Rostratula benghalensis_Greater Painted-Snipe
Coturnix coturnix_Common Quail
Hypsipetes madagascariensis_Malagasy Bulbul
Agapornis canus_Gray-headed Lovebird
Charadrius hiaticula_Common Ringed Plover
Tyto alba_Barn Owl
