Pitangus sulphuratus_Great Kiskadee
Troglodytes aedon_House Wren
Eupsittula cactorum_Cactus Parakeet
Vanellus chilensis_Southern Lapwing
Coragyps atratus_Black Vulture
Columbina talpacoti_Ruddy Ground Dove
Tyrannus melancholicus_Tropical Kingbird
Turdus leucomelas_Pale-breasted Thrush
Nothura boraquira_White-bellied Nothura
Patagioenas picazuro_Picazuro Pigeon
Synallaxis hellmayri_Red-shouldered Spinetail
Thraupis sayaca_Sayaca Tanager
Coereba flaveola_Bananaquit
Caracara plancus_Crested Caracara
Turdus rufiventris_Rufous-bellied Thrush
Columbina squammata_Scaled Dove
Zonotrichia capensis_Rufous-collared Sparrow
Guira guira_Guira Cuckoo
Poecilotriccus fumifrons_Smoky-fronted Tody-Flycatcher
Euphonia chlorotica_Purple-throated Euphonia
Crotophaga ani_Smooth-billed Ani
Columbina picui_Picui Ground Dove
Stilpnia cayana_Burnished-buff Tanager
Thamnophilus pelzelni_Planalto Slaty-Antshrike
Pseudoseisura cristata_Caatinga Cacholote
Todirostrum cinereum_Common Tody-Flycatcher
Mimus saturninus_Chalk-browed Mockingbird
Sicalis flaveola_Saffron Finch
Myiozetetes similis_Social Flycatcher
Eupetomena macroura_Swallow-tailed Hummingbird
Cantorchilus longirostris_Long-billed Wren
Cathartes aura_Turkey Vulture
Cyclarhis gujanensis_Rufous-browed Peppershrike
Herpsilochmus atricapillus_Black-capped Antwren
Paroaria dominicana_Red-cowled Cardinal
Rupornis magnirostris_Roadside Hawk
Compsothraupis loricata_Scarlet-throated Tanager
Chlorostilbon lucidus_Glittering-bellied Emerald
Arremon taciturnus_Pectoral Sparrow
Volatinia jacarina_Blue-black Grassquit
Cyanocorax cyanopogon_White-naped Jay
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Polioptila plumbea_Tropical Gnatcatcher
Jacana jacana_Wattled Jacana
Ardea alba_Great Egret
Bubulcus ibis_Cattle Egret
Icterus pyrrhopterus_Variable Oriole
Passer domesticus_House Sparrow
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Zenaida auriculata_Eared Dove
Estrilda astrild_Common Waxbill
Progne chalybea_Gray-breasted Martin
Tachornis squamata_Fork-tailed Palm-Swift
Nystalus maculatus_Spot-backed Puffbird
Herpsilochmus sellowi_Caatinga Antwren
Hylophilus amaurocephalus_Gray-eyed Greenlet
Picumnus limae_Ochraceous Piculet
Thraupis palmarum_Palm Tanager
Celeus ochraceus_Ochre-backed Woodpecker
Butorides striata_Striated Heron
Furnarius leucopus_Pale-legged Hornero
Fluvicola nengeta_Masked Water-Tyrant
Egretta thula_Snowy Egret
Aratinga jandaya_Jandaya Parakeet
Dryobates passerinus_Little Woodpecker
Colaptes melanochloros_Green-barred Woodpecker
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Serpophaga subcristata_White-crested Tyrannulet
Leistes superciliaris_White-browed Meadowlark
Elaenia flavogaster_Yellow-bellied Elaenia
Molothrus bonariensis_Shiny Cowbird
Chroicocephalus cirrocephalus_Gray-hooded Gull
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Megarynchus pitangua_Boat-billed Flycatcher
Momotus momota_Amazonian Motmot
Coryphospingus pileatus_Pileated Finch
Taraba major_Great Antshrike
Dendroplex picus_Straight-billed Woodcreeper
Machetornis rixosa_Cattle Tyrant
Piaya cayana_Squirrel Cuckoo
Neopelma pallescens_Pale-bellied Tyrant-Manakin
Chrysomus ruficapillus_Chestnut-capped Blackbird
Myiothlypis flaveola_Flavescent Warbler
Leptotila verreauxi_White-tipped Dove
Icterus jamacaii_Campo Troupial
Furnarius figulus_Wing-banded Hornero
