Zosterops japonicus_Warbling White-eye
Acridotheres tristis_Common Myna
Geopelia striata_Zebra Dove
Paroaria coronata_Red-crested Cardinal
Bubulcus ibis_Cattle Egret
Copsychus malabaricus_White-rumped Shama
Streptopelia chinensis_Spotted Dove
Haemorhous mexicanus_House Finch
Passer domesticus_House Sparrow
Cardinalis cardinalis_Northern Cardinal
Gallus gallus_Red Junglefowl
Pluvialis fulva_Pacific Golden-Plover
Gallinula galeata_Common Gallinule
Nycticorax nycticorax_Black-crowned Night-Heron
Psittacula krameri_Rose-ringed Parakeet
Lonchura atricapilla_Chestnut Munia
Lonchura punctulata_Scaly-breasted Munia
Columba livia_Rock Pigeon
Anas wyvilliana_Hawaiian Duck
Phaethon lepturus_White-tailed Tropicbird
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Horornis diphone_Japanese Bush Warbler
Mimus polyglottos_Northern Mockingbird
Garrulax canorus_Chinese Hwamei
Branta sandvicensis_Hawaiian Goose
Padda oryzivora_Java Sparrow
Estrilda astrild_Common Waxbill
Sturnella neglecta_Western Meadowlark
Amandava amandava_Red Avadavat
Chasiempis sclateri_Kauai Elepaio
Tringa incana_Wandering Tattler
Puffinus newelli_Newell's Shearwater
Euodice cantans_African Silverbill
Loxops caeruleirostris_Akekee
Magumma parva_Anianiau
Phasianus colchicus_Ring-necked Pheasant
Alauda arvensis_Eurasian Skylark
Arenaria interpres_Ruddy Turnstone
Ortygornis pondicerianus_Gray Francolin
Pterodroma sandwichensis_Hawaiian Petrel
Ardenna pacifica_Wedge-tailed Shearwater
Agapornis roseicollis_Rosy-faced Lovebird
Tyto alba_Barn Owl
Leiothrix lutea_Red-billed Leiothrix
Anous minutus_Black Noddy
Asio flammeus_Short-eared Owl
