Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Stercorarius antarcticus_Brown Skua
Ardenna grisea_Sooty Shearwater
Stercorarius maccormicki_South Polar Skua
Sterna vittata_Antarctic Tern
Pygoscelis papua_Gentoo Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Pterodroma inexpectata_Mottled Petrel
Pygoscelis antarcticus_Chinstrap Penguin
Pygoscelis adeliae_Adelie Penguin
Troglodytes aedon_House Wren
Coscoroba coscoroba_Coscoroba Swan
Eudyptes chrysocome_Southern Rockhopper Penguin
Aptenodytes patagonicus_King Penguin
Cygnus melancoryphus_Black-necked Swan
Hirundo rustica_Barn Swallow
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Anairetes parulus_Tufted Tit-Tyrant
