Pycnonotus barbatus_Common Bulbul
Passer simplex_Desert Sparrow
Crinifer piscator_Western Plantain-eater
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Eremomela pusilla_Senegal Eremomela
Lybius vieilloti_Vieillot's Barbet
Laniarius barbarus_Yellow-crowned Gonolek
Spiloptila clamans_Cricket Longtail
Turdoides reinwardtii_Blackcap Babbler
Lamprotornis caudatus_Long-tailed Glossy Starling
Cossypha albicapillus_White-crowned Robin-Chat
Pternistis bicalcaratus_Double-spurred Francolin
Cinnyris coccinigastrus_Splendid Sunbird
Emberiza sahari_House Bunting
Dicrurus divaricatus_Glossy-backed Drongo
Caprimulgus climacurus_Long-tailed Nightjar
Malimbus nitens_Blue-billed Malimbe
Glaucestrilda caerulescens_Lavender Waxbill
Poicephalus senegalus_Senegal Parrot
Streptopelia semitorquata_Red-eyed Dove
Centropus senegalensis_Senegal Coucal
Gymnoris dentata_Sahel Bush Sparrow
Halcyon malimbica_Blue-breasted Kingfisher
Bostrychia hagedash_Hadada Ibis
Corvus albus_Pied Crow
Camaroptera brachyura_Green-backed Camaroptera
Ptilostomus afer_Piapiac
Prinia subflava_Tawny-flanked Prinia
Bubalornis albirostris_White-billed Buffalo-Weaver
Columba guinea_Speckled Pigeon
Pterocles senegallus_Spotted Sandgrouse
Turdoides plebejus_Brown Babbler
Laniarius major_Tropical Boubou
Ptilopsis leucotis_Northern White-faced Owl
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Ardea melanocephala_Black-headed Heron
Chalcomitra senegalensis_Scarlet-chested Sunbird
Cinnyris cupreus_Copper Sunbird
Cecropis abyssinica_Lesser Striped Swallow
Burhinus senegalensis_Senegal Thick-knee
Haliaeetus vocifer_African Fish-Eagle
Chroicocephalus cirrocephalus_Gray-hooded Gull
Halcyon senegalensis_Woodland Kingfisher
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Plocepasser superciliosus_Chestnut-crowned Sparrow-Weaver
Lagonosticta senegala_Red-billed Firefinch
Terpsiphone viridis_African Paradise-Flycatcher
Ardea cinerea_Gray Heron
Crithagra mozambica_Yellow-fronted Canary
Cisticola aridulus_Desert Cisticola
Merops pusillus_Little Bee-eater
Motacilla aguimp_African Pied Wagtail
Cypsiurus parvus_African Palm-Swift
Buphagus africanus_Yellow-billed Oxpecker
Uraeginthus bengalus_Red-cheeked Cordonbleu
Actophilornis africanus_African Jacana
Lamprotornis chalybaeus_Greater Blue-eared Starling
Merops orientalis_Green Bee-eater
Ammomanes cinctura_Bar-tailed Lark
Ptyonoprogne fuligula_Rock Martin
Pytilia melba_Green-winged Pytilia
Spermestes cucullata_Bronze Mannikin
Eremomela icteropygialis_Yellow-bellied Eremomela
Elminia longicauda_African Blue Flycatcher
Corvus ruficollis_Brown-necked Raven
Lanius corvinus_Yellow-billed Shrike
Vanellus tectus_Black-headed Lapwing
Phoeniculus purpureus_Green Woodhoopoe
Chrysococcyx klaas_Klaas's Cuckoo
Scopus umbretta_Hamerkop
Corvus rhipidurus_Fan-tailed Raven
Telophorus sulfureopectus_Sulphur-breasted Bushshrike
Ptilopachus petrosus_Stone Partridge
Glaucidium perlatum_Pearl-spotted Owlet
Vanellus spinosus_Spur-winged Lapwing
Numida meleagris_Helmeted Guineafowl
Zapornia flavirostra_Black Crake
Mirafra africana_Rufous-naped Lark
Cecropis semirufa_Rufous-chested Swallow
Lamprotornis chloropterus_Lesser Blue-eared Starling
Leptoptilos crumenifer_Marabou Stork
Cinnyricinclus leucogaster_Violet-backed Starling
Bubo lacteus_Verreaux's Eagle-Owl
Quelea quelea_Red-billed Quelea
Ploceus cucullatus_Village Weaver
Ammomanes deserti_Desert Lark
Coracias abyssinicus_Abyssinian Roller
Halcyon chelicuti_Striped Kingfisher
Streptopelia decipiens_Mourning Collared-Dove
Streptopelia senegalensis_Laughing Dove
Prionops plumatus_White Helmetshrike
Lanius humeralis_Northern Fiscal
Merops bulocki_Red-throated Bee-eater
Vidua chalybeata_Village Indigobird
Turdus pelios_African Thrush
Otus senegalensis_African Scops-Owl
Corythornis cristatus_Malachite Kingfisher
Emberiza flaviventris_Golden-breasted Bunting
Cisticola aberrans_Rock-loving Cisticola
Vidua macroura_Pin-tailed Whydah
Muscicapa aquatica_Swamp Flycatcher
Oenanthe familiaris_Familiar Chat
Motacilla alba_White Wagtail
Polyboroides typus_African Harrier-Hawk
Curruca melanocephala_Sardinian Warbler
Mirafra rufocinnamomea_Flappet Lark
Oriolus auratus_African Golden Oriole
