Arenaria interpres_Ruddy Turnstone
Cuculus clamosus_Black Cuckoo
Eurystomus glaucurus_Broad-billed Roller
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Ardea alba_Great Egret
Motacilla flava_Western Yellow Wagtail
Melaenornis edolioides_Northern Black-Flycatcher
Chloropicus fuscescens_Cardinal Woodpecker
Prinia erythroptera_Red-winged Prinia
Campephaga quiscalina_Purple-throated Cuckooshrike
Burhinus senegalensis_Senegal Thick-knee
Anthus leucophrys_Plain-backed Pipit
Hirundo smithii_Wire-tailed Swallow
Chlidonias niger_Black Tern
Cecropis semirufa_Rufous-chested Swallow
Egretta garzetta_Little Egret
Ardeola ralloides_Squacco Heron
Rostratula benghalensis_Greater Painted-Snipe
Turdoides plebejus_Brown Babbler
Columba iriditorques_Bronze-naped Pigeon
Porphyrio madagascariensis_African Swamphen
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Tringa ochropus_Green Sandpiper
Terpsiphone viridis_African Paradise-Flycatcher
Ptyonoprogne fuligula_Rock Martin
Cercococcyx mechowi_Dusky Long-tailed Cuckoo
Tringa glareola_Wood Sandpiper
Ardea purpurea_Purple Heron
Fraseria plumbea_Gray Tit-Flycatcher
Prinia subflava_Tawny-flanked Prinia
Zapornia flavirostra_Black Crake
Falco peregrinus_Peregrine Falcon
Clamator levaillantii_Levaillant's Cuckoo
Cisticola erythrops_Red-faced Cisticola
Tachybaptus ruficollis_Little Grebe
Amblyospiza albifrons_Grosbeak Weaver
Megaceryle maxima_Giant Kingfisher
Melaniparus funereus_Dusky Tit
Pandion haliaetus_Osprey
Calidris minuta_Little Stint
Cisticola lateralis_Whistling Cisticola
Limosa limosa_Black-tailed Godwit
Ixobrychus minutus_Little Bittern
Elanus caeruleus_Black-winged Kite
Cecropis daurica_Red-rumped Swallow
Cinnyris cupreus_Copper Sunbird
Sterna hirundo_Common Tern
Oenanthe familiaris_Familiar Chat
Macronyx croceus_Yellow-throated Longclaw
Tchagra australis_Brown-crowned Tchagra
Anthus trivialis_Tree Pipit
Pernis apivorus_European Honey-buzzard
Laniarius barbarus_Yellow-crowned Gonolek
Gallinago media_Great Snipe
Lanius senator_Woodchat Shrike
Cisticola juncidis_Zitting Cisticola
Accipiter badius_Shikra
Gallinago gallinago_Common Snipe
Atimastillas flavicollis_Yellow-throated Greenbul
Lanius humeralis_Northern Fiscal
Columba unicincta_Afep Pigeon
Poicephalus fuscicollis_Brown-necked Parrot
Ficedula hypoleuca_European Pied Flycatcher
Sylvia borin_Garden Warbler
Delichon urbicum_Common House-Martin
