Chroicocephalus novaehollandiae_Silver Gull
Trichoglossus moluccanus_Rainbow Lorikeet
Meliphaga lewinii_Lewin's Honeyeater
Strepera graculina_Pied Currawong
Rhipidura leucophrys_Willie-wagtail
Hirundo neoxena_Welcome Swallow
Anthochaera chrysoptera_Little Wattlebird
Gymnorhina tibicen_Australian Magpie
Pelecanus conspicillatus_Australian Pelican
Psophodes olivaceus_Eastern Whipbird
Grallina cyanoleuca_Magpie-lark
Acridotheres tristis_Common Myna
Thalasseus bergii_Great Crested Tern
Vanellus miles_Masked Lapwing
Manorina melanocephala_Noisy Miner
Rhipidura albiscapa_Gray Fantail
Malurus cyaneus_Superb Fairywren
Eopsaltria australis_Eastern Yellow Robin
Sphecotheres vieilloti_Australasian Figbird
Egretta novaehollandiae_White-faced Heron
Corvus orru_Torresian Crow
Geopelia humeralis_Bar-shouldered Dove
Ocyphaps lophotes_Crested Pigeon
Threskiornis molucca_Australian Ibis
Dacelo novaeguineae_Laughing Kookaburra
Pachycephala pectoralis_Golden Whistler
Haliaeetus leucogaster_White-bellied Sea-Eagle
Acanthiza pusilla_Brown Thornbill
Haematopus longirostris_Pied Oystercatcher
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet
Streptopelia chinensis_Spotted Dove
Philemon corniculatus_Noisy Friarbird
Neochmia temporalis_Red-browed Firetail
Cracticus torquatus_Gray Butcherbird
Lichmera indistincta_Brown Honeyeater
Colluricincla harmonica_Gray Shrikethrush
Caligavis chrysops_Yellow-faced Honeyeater
Anas castanea_Chestnut Teal
Myzomela sanguinolenta_Scarlet Myzomela
Cracticus nigrogularis_Pied Butcherbird
Anas superciliosa_Pacific Black Duck
Sericornis frontalis_White-browed Scrubwren
Porphyrio melanotus_Australasian Swamphen
Malurus lamberti_Variegated Fairywren
Haematopus fuliginosus_Sooty Oystercatcher
Acanthorhynchus tenuirostris_Eastern Spinebill
Bubulcus ibis_Cattle Egret
Oriolus sagittatus_Olive-backed Oriole
Eolophus roseicapilla_Galah
Phalacrocorax carbo_Great Cormorant
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Alectura lathami_Australian Brushturkey
Coracina novaehollandiae_Black-faced Cuckooshrike
Ardea alba_Great Egret
Todiramphus sanctus_Sacred Kingfisher
Pluvialis fulva_Pacific Golden-Plover
Cacomantis flabelliformis_Fan-tailed Cuckoo
Haliastur sphenurus_Whistling Kite
Calidris ruficollis_Red-necked Stint
Egretta garzetta_Little Egret
Zosterops lateralis_Silvereye
Macropygia phasianella_Brown Cuckoo-Dove
Numenius madagascariensis_Far Eastern Curlew
Platycercus eximius_Eastern Rosella
Passer domesticus_House Sparrow
Pandion haliaetus_Osprey
Gelochelidon nilotica_Gull-billed Tern
Sternula albifrons_Little Tern
Gallinula tenebrosa_Dusky Moorhen
Dicrurus bracteatus_Spangled Drongo
Artamus leucorynchus_White-breasted Woodswallow
Cygnus atratus_Black Swan
Sterna hirundo_Common Tern
Gerygone mouki_Brown Gerygone
Haliastur indus_Brahminy Kite
Anhinga novaehollandiae_Australasian Darter
Cacatua sanguinea_Little Corella
Leucosarcia melanoleuca_Wonga Pigeon
Sericornis magnirostra_Large-billed Scrubwren
Hydroprogne caspia_Caspian Tern
Merops ornatus_Rainbow Bee-eater
Anthochaera carunculata_Red Wattlebird
Fulica atra_Eurasian Coot
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Dicaeum hirundinaceum_Mistletoebird
Cormobates leucophaea_White-throated Treecreeper
Chenonetta jubata_Maned Duck
Tachybaptus novaehollandiae_Australasian Grebe
Pachycephala rufiventris_Rufous Whistler
Corvus coronoides_Australian Raven
Egretta sacra_Pacific Reef-Heron
Cincloramphus timoriensis_Tawny Grassbird
Lalage leucomela_Varied Triller
Limosa lapponica_Bar-tailed Godwit
Calidris acuminata_Sharp-tailed Sandpiper
Butorides striata_Striated Heron
Eudynamys orientalis_Pacific Koel
Phylidonyris novaehollandiae_New Holland Honeyeater
Himantopus leucocephalus_Pied Stilt
Myiagra rubecula_Leaden Flycatcher
Accipiter fasciatus_Brown Goshawk
Ptilonorhynchus violaceus_Satin Bowerbird
Pardalotus punctatus_Spotted Pardalote
Anas gracilis_Gray Teal
Colluricincla rufogaster_Rufous Shrikethrush
Gerygone olivacea_White-throated Gerygone
Malurus melanocephalus_Red-backed Fairywren
Centropus phasianinus_Pheasant Coucal
Circus approximans_Swamp Harrier
Scythrops novaehollandiae_Channel-billed Cuckoo
Gallirallus philippensis_Buff-banded Rail
Hirundapus caudacutus_White-throated Needletail
Acanthiza nana_Yellow Thornbill
Ceyx azureus_Azure Kingfisher
Eurystomus orientalis_Dollarbird
Arenaria interpres_Ruddy Turnstone
Monarcha melanopsis_Black-faced Monarch
Anthus novaeseelandiae_Australasian Pipit
Melithreptus lunatus_White-naped Honeyeater
Alisterus scapularis_Australian King-Parrot
Ailuroedus crassirostris_Green Catbird
Platycercus elegans_Crimson Rosella
Pycnonotus jocosus_Red-whiskered Bulbul
Cisticola exilis_Golden-headed Cisticola
Glossopsitta concinna_Musk Lorikeet
Petroica rosea_Rose Robin
Pardalotus striatus_Striated Pardalote
Ardea intermedia_Intermediate Egret
Stipiturus malachurus_Southern Emuwren
Rhipidura rufifrons_Rufous Fantail
Petrochelidon nigricans_Tree Martin
Menura novaehollandiae_Superb Lyrebird
Numenius phaeopus_Whimbrel
Acanthiza lineata_Striated Thornbill
Synoicus ypsilophorus_Brown Quail
Charadrius bicinctus_Double-banded Plover
Symposiachrus trivirgatus_Spectacled Monarch
Ardenna tenuirostris_Short-tailed Shearwater
Zapornia tabuensis_Spotless Crake
Cacatua galerita_Sulphur-crested Cockatoo
Chalcophaps longirostris_Pacific Emerald Dove
Gallinago hardwickii_Latham's Snipe
Falcunculus frontatus_Crested Shrike-tit
Calidris canutus_Red Knot
Edolisoma tenuirostre_Common Cicadabird
Petrochelidon ariel_Fairy Martin
Orthonyx temminckii_Australian Logrunner
Calidris ferruginea_Curlew Sandpiper
Daphoenositta chrysoptera_Varied Sittella
Manorina melanophrys_Bell Miner
Alauda arvensis_Eurasian Skylark
Anas platyrhynchos_Mallard
Tringa brevipes_Gray-tailed Tattler
Thalassarche melanophris_Black-browed Albatross
Tregellasia capito_Pale-yellow Robin
Ptilinopus magnificus_Wompoo Fruit-Dove
Columba livia_Rock Pigeon
Myiagra inquieta_Restless Flycatcher
Sericornis citreogularis_Yellow-throated Scrubwren
Elseyornis melanops_Black-fronted Dotterel
Artamus cyanopterus_Dusky Woodswallow
Carduelis carduelis_European Goldfinch
Acrocephalus australis_Australian Reed Warbler
Ptilinopus regina_Rose-crowned Fruit-Dove
Todiramphus macleayii_Forest Kingfisher
Parvipsitta pusilla_Little Lorikeet
Turdus merula_Eurasian Blackbird
Tyto alba_Barn Owl
Microeca fascinans_Jacky-winter
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Cacomantis variolosus_Brush Cuckoo
Gerygone levigaster_Mangrove Gerygone
Zoothera lunulata_Bassian Thrush
Sterna striata_White-fronted Tern
Phaps chalcoptera_Common Bronzewing
Entomyzon cyanotis_Blue-faced Honeyeater
Sturnus vulgaris_European Starling
Biziura lobata_Musk Duck
Calidris alba_Sanderling
Podiceps cristatus_Great Crested Grebe
Pluvialis squatarola_Black-bellied Plover
Anthochaera phrygia_Regent Honeyeater
Melithreptus brevirostris_Brown-headed Honeyeater
Lonchura castaneothorax_Chestnut-breasted Munia
Plectorhyncha lanceolata_Striped Honeyeater
Pitta versicolor_Noisy Pitta
Nesoptilotis leucotis_White-eared Honeyeater
