Vanellus chilensis_Southern Lapwing
Coragyps atratus_Black Vulture
Troglodytes aedon_House Wren
Pitangus sulphuratus_Great Kiskadee
Sicalis flaveola_Saffron Finch
Thraupis sayaca_Sayaca Tanager
Columbina talpacoti_Ruddy Ground Dove
Pygochelidon cyanoleuca_Blue-and-white Swallow
Coereba flaveola_Bananaquit
Tyrannus melancholicus_Tropical Kingbird
Patagioenas picazuro_Picazuro Pigeon
Zonotrichia capensis_Rufous-collared Sparrow
Psittacara leucophthalmus_White-eyed Parakeet
Furnarius rufus_Rufous Hornero
Turdus leucomelas_Pale-breasted Thrush
Passer domesticus_House Sparrow
Brotogeris chiriri_Yellow-chevroned Parakeet
Caracara plancus_Crested Caracara
Zenaida auriculata_Eared Dove
Volatinia jacarina_Blue-black Grassquit
Sporophila caerulescens_Double-collared Seedeater
Eupetomena macroura_Swallow-tailed Hummingbird
Cyclarhis gujanensis_Rufous-browed Peppershrike
Mimus saturninus_Chalk-browed Mockingbird
Euphonia chlorotica_Purple-throated Euphonia
Myiozetetes similis_Social Flycatcher
Turdus rufiventris_Rufous-bellied Thrush
Rupornis magnirostris_Roadside Hawk
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Basileuterus culicivorus_Golden-crowned Warbler
Megarynchus pitangua_Boat-billed Flycatcher
Molothrus bonariensis_Shiny Cowbird
Tachyphonus coronatus_Ruby-crowned Tanager
Myiodynastes maculatus_Streaked Flycatcher
Elaenia flavogaster_Yellow-bellied Elaenia
Stilpnia cayana_Burnished-buff Tanager
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Turdus amaurochalinus_Creamy-bellied Thrush
Dacnis cayana_Blue Dacnis
Tyrannus savana_Fork-tailed Flycatcher
Fluvicola nengeta_Masked Water-Tyrant
Colaptes campestris_Campo Flicker
Crotophaga ani_Smooth-billed Ani
Ramphastos toco_Toco Toucan
Sporophila lineola_Lined Seedeater
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Piaya cayana_Squirrel Cuckoo
Milvago chimachima_Yellow-headed Caracara
Leptotila verreauxi_White-tipped Dove
Chaetura meridionalis_Sick's Swift
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Synallaxis spixi_Spix's Spinetail
Thamnophilus caerulescens_Variable Antshrike
Brotogeris tirica_Plain Parakeet
Vireo chivi_Chivi Vireo
Aramides saracura_Slaty-breasted Wood-Rail
Ardea alba_Great Egret
Athene cunicularia_Burrowing Owl
Phaethornis pretrei_Planalto Hermit
Thraupis palmarum_Palm Tanager
Myiarchus ferox_Short-crested Flycatcher
Todirostrum cinereum_Common Tody-Flycatcher
Chiroxiphia caudata_Swallow-tailed Manakin
Nannopterum brasilianum_Neotropic Cormorant
Chionomesa lactea_Sapphire-spangled Emerald
Chlorostilbon lucidus_Glittering-bellied Emerald
Pionus maximiliani_Scaly-headed Parrot
Bubulcus ibis_Cattle Egret
Columba livia_Rock Pigeon
Geothlypis aequinoctialis_Masked Yellowthroat
Empidonomus varius_Variegated Flycatcher
Thamnophilus doliatus_Barred Antshrike
Sittasomus griseicapillus_Olivaceous Woodcreeper
Theristicus caudatus_Buff-necked Ibis
Guira guira_Guira Cuckoo
Saltator similis_Green-winged Saltator
Colonia colonus_Long-tailed Tyrant
Setophaga pitiayumi_Tropical Parula
Cyanocorax cristatellus_Curl-crested Jay
Cariama cristata_Red-legged Seriema
Thalurania glaucopis_Violet-capped Woodnymph
Picumnus temminckii_Ochre-collared Piculet
Ramphocelus bresilius_Brazilian Tanager
Dysithamnus mentalis_Plain Antvireo
Estrilda astrild_Common Waxbill
Dryobates spilogaster_White-spotted Woodpecker
Tersina viridis_Swallow Tanager
Penelope obscura_Dusky-legged Guan
Euphonia violacea_Violaceous Euphonia
Ammodramus humeralis_Grassland Sparrow
Machetornis rixosa_Cattle Tyrant
Cathartes aura_Turkey Vulture
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Myiarchus swainsoni_Swainson's Flycatcher
Synallaxis ruficapilla_Rufous-capped Spinetail
Columbina squammata_Scaled Dove
Chrysomus ruficapillus_Chestnut-capped Blackbird
Megaceryle torquata_Ringed Kingfisher
Florisuga fusca_Black Jacobin
Progne chalybea_Gray-breasted Martin
Trichothraupis melanops_Black-goggled Tanager
Hirundinea ferruginea_Cliff Flycatcher
Tangara seledon_Green-headed Tanager
Egretta thula_Snowy Egret
Myiothlypis leucoblephara_White-browed Warbler
Conirostrum speciosum_Chestnut-vented Conebill
Spinus magellanicus_Hooded Siskin
Icterus pyrrhopterus_Variable Oriole
Mesembrinibis cayennensis_Green Ibis
Patagioenas cayennensis_Pale-vented Pigeon
Pseudoleistes guirahuro_Yellow-rumped Marshbird
Euphonia pectoralis_Chestnut-bellied Euphonia
Ramphastos dicolorus_Red-breasted Toucan
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Melanerpes candidus_White Woodpecker
Xiphorhynchus fuscus_Lesser Woodcreeper
Lathrotriccus euleri_Euler's Flycatcher
Pyrrhura frontalis_Maroon-bellied Parakeet
Gallinula galeata_Common Gallinule
Myiophobus fasciatus_Bran-colored Flycatcher
Pachyramphus validus_Crested Becard
Cacicus haemorrhous_Red-rumped Cacique
Nycticorax nycticorax_Black-crowned Night-Heron
Ictinia plumbea_Plumbeous Kite
Lochmias nematura_Sharp-tailed Streamcreeper
Turdus albicollis_White-necked Thrush
Xenops rutilans_Streaked Xenops
Psarocolius decumanus_Crested Oropendola
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Eupsittula aurea_Peach-fronted Parakeet
Coryphospingus cucullatus_Red-crested Finch
Streptoprocne zonaris_White-collared Swift
Pyriglena leucoptera_White-shouldered Fire-eye
Celeus flavescens_Blond-crested Woodpecker
Asio flammeus_Short-eared Owl
Hemithraupis ruficapilla_Rufous-headed Tanager
Cranioleuca pallida_Pallid Spinetail
Tapera naevia_Striped Cuckoo
Cantorchilus leucotis_Buff-breasted Wren
Pachyramphus polychopterus_White-winged Becard
Crypturellus obsoletus_Brown Tinamou
Legatus leucophaius_Piratic Flycatcher
Jacana jacana_Wattled Jacana
Platyrinchus mystaceus_White-throated Spadebill
Turdus flavipes_Yellow-legged Thrush
Amazonetta brasiliensis_Brazilian Teal
Tyto alba_Barn Owl
Pardirallus nigricans_Blackish Rail
Butorides striata_Striated Heron
Ramphocelus carbo_Silver-beaked Tanager
Myiarchus tyrannulus_Brown-crested Flycatcher
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Pluvialis dominica_American Golden-Plover
Trogon viridis_Green-backed Trogon
Cairina moschata_Muscovy Duck
Conopophaga lineata_Rufous Gnateater
Colaptes melanochloros_Green-barred Woodpecker
Serpophaga subcristata_White-crested Tyrannulet
Dendroma rufa_Buff-fronted Foliage-gleaner
Progne tapera_Brown-chested Martin
Thraupis ornata_Golden-chevroned Tanager
Automolus leucophthalmus_White-eyed Foliage-gleaner
Lurocalis semitorquatus_Short-tailed Nighthawk
Attila rufus_Gray-hooded Attila
Thraupis cyanoptera_Azure-shouldered Tanager
Synallaxis frontalis_Sooty-fronted Spinetail
Picumnus cirratus_White-barred Piculet
Chionomesa fimbriata_Glittering-throated Emerald
Contopus cinereus_Tropical Pewee
Phaethornis eurynome_Scale-throated Hermit
Riparia riparia_Bank Swallow
Schiffornis virescens_Greenish Schiffornis
Cantorchilus longirostris_Long-billed Wren
Pachyramphus castaneus_Chestnut-crowned Becard
Thlypopsis sordida_Orange-headed Tanager
Patagioenas plumbea_Plumbeous Pigeon
Tachycineta leucorrhoa_White-rumped Swallow
Chloroceryle amazona_Amazon Kingfisher
Hylophilus poicilotis_Rufous-crowned Greenlet
Gubernetes yetapa_Streamer-tailed Tyrant
Habia rubica_Red-crowned Ant-Tanager
Trogon surrucura_Surucua Trogon
Dryocopus lineatus_Lineated Woodpecker
Geranoaetus albicaudatus_White-tailed Hawk
Ilicura militaris_Pin-tailed Manakin
Poecilotriccus plumbeiceps_Ochre-faced Tody-Flycatcher
Tangara desmaresti_Brassy-breasted Tanager
Ramphastos vitellinus_Channel-billed Toucan
Leptotila rufaxilla_Gray-fronted Dove
Aramides cajaneus_Gray-cowled Wood-Rail
Calidris fuscicollis_White-rumped Sandpiper
Amazona amazonica_Orange-winged Parrot
Serpophaga nigricans_Sooty Tyrannulet
Dendrocygna bicolor_Fulvous Whistling-Duck
Drymophila malura_Dusky-tailed Antbird
Elanoides forficatus_Swallow-tailed Kite
Aratinga auricapillus_Golden-capped Parakeet
Phyllomyias fasciatus_Planalto Tyrannulet
Leucochloris albicollis_White-throated Hummingbird
Dryobates passerinus_Little Woodpecker
Buteo brachyurus_Short-tailed Hawk
Drymophila ferruginea_Ferruginous Antbird
Megascops choliba_Tropical Screech-Owl
Nyctidromus albicollis_Common Pauraque
Myiothlypis flaveola_Flavescent Warbler
Thamnophilus ruficapillus_Rufous-capped Antshrike
Myiopagis caniceps_Gray Elaenia
Cacicus chrysopterus_Golden-winged Cacique
Falco femoralis_Aplomado Falcon
Dendrocincla turdina_Plain-winged Woodcreeper
Conopophaga melanops_Black-cheeked Gnateater
