Zosterops japonicus_Warbling White-eye
Acridotheres tristis_Common Myna
Streptopelia chinensis_Spotted Dove
Cardinalis cardinalis_Northern Cardinal
Geopelia striata_Zebra Dove
Haemorhous mexicanus_House Finch
Himatione sanguinea_Apapane
Sicalis flaveola_Saffron Finch
Chlorodrepanis virens_Hawaii Amakihi
Crithagra mozambica_Yellow-fronted Canary
Passer domesticus_House Sparrow
Leiothrix lutea_Red-billed Leiothrix
Paroaria capitata_Yellow-billed Cardinal
Pluvialis fulva_Pacific Golden-Plover
Chasiempis sandwichensis_Hawaii Elepaio
Estrilda astrild_Common Waxbill
Lonchura punctulata_Scaly-breasted Munia
Horornis diphone_Japanese Bush Warbler
Padda oryzivora_Java Sparrow
Bubulcus ibis_Cattle Egret
Alauda arvensis_Eurasian Skylark
Buteo solitarius_Hawaiian Hawk
Glaucestrilda caerulescens_Lavender Waxbill
Phaethon lepturus_White-tailed Tropicbird
Nycticorax nycticorax_Black-crowned Night-Heron
Tringa incana_Wandering Tattler
Branta sandvicensis_Hawaiian Goose
Garrulax canorus_Chinese Hwamei
Anous minutus_Black Noddy
Lophura leucomelanos_Kalij Pheasant
Ortygornis pondicerianus_Gray Francolin
Fulica alai_Hawaiian Coot
Myadestes obscurus_Omao
Columba livia_Rock Pigeon
Euodice cantans_African Silverbill
Drepanis coccinea_Iiwi
Lonchura atricapilla_Chestnut Munia
Psittacula krameri_Rose-ringed Parakeet
Gallinula galeata_Common Gallinule
Anas wyvilliana_Hawaiian Duck
Himantopus mexicanus_Black-necked Stilt
Pternistis erckelii_Erckel's Francolin
Paroaria coronata_Red-crested Cardinal
Mimus polyglottos_Northern Mockingbird
Ardenna pacifica_Wedge-tailed Shearwater
Gallus gallus_Red Junglefowl
Pterodroma sandwichensis_Hawaiian Petrel
Meleagris gallopavo_Wild Turkey
Copsychus malabaricus_White-rumped Shama
Arenaria interpres_Ruddy Turnstone
Francolinus francolinus_Black Francolin
Amandava amandava_Red Avadavat
Loxops mana_Hawaii Creeper
Tyto alba_Barn Owl
Puffinus newelli_Newell's Shearwater
Pavo cristatus_Indian Peafowl
Chasiempis sclateri_Kauai Elepaio
Hemignathus wilsoni_Akiapolaau
Agapornis roseicollis_Rosy-faced Lovebird
Loxops coccineus_Hawaii Akepa
