Gymnorhina tibicen_Australian Magpie
Eolophus roseicapilla_Galah
Grallina cyanoleuca_Magpie-lark
Ocyphaps lophotes_Crested Pigeon
Rhipidura leucophrys_Willie-wagtail
Corvus coronoides_Australian Raven
Ptilotula penicillata_White-plumed Honeyeater
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Barnardius zonarius_Australian Ringneck
Manorina flavigula_Yellow-throated Miner
Gavicalis virescens_Singing Honeyeater
Haliastur sphenurus_Whistling Kite
Psephotus haematonotus_Red-rumped Parrot
Passer domesticus_House Sparrow
Malurus leucopterus_White-winged Fairywren
Petroica goodenovii_Red-capped Robin
Acanthiza uropygialis_Chestnut-rumped Thornbill
Milvus migrans_Black Kite
Petrochelidon nigricans_Tree Martin
Melopsittacus undulatus_Budgerigar
Anas gracilis_Gray Teal
Colluricincla harmonica_Gray Shrikethrush
Oreoica gutturalis_Crested Bellbird
Taeniopygia guttata_Zebra Finch
Malurus assimilis_Purple-backed Fairywren
Aphelocephala leucopsis_Southern Whiteface
Psephotus varius_Mulga Parrot
Pardalotus striatus_Striated Pardalote
Pomatostomus ruficeps_Chestnut-crowned Babbler
Cacatua sanguinea_Little Corella
Artamus cinereus_Black-faced Woodswallow
Northiella haematogaster_Greater Bluebonnet
Anas superciliosa_Pacific Black Duck
Pomatostomus superciliosus_White-browed Babbler
Psophodes cristatus_Chirruping Wedgebill
Hirundo neoxena_Welcome Swallow
Artamus personatus_Masked Woodswallow
Pachycephala rufiventris_Rufous Whistler
Cincloramphus mathewsi_Rufous Songlark
Epthianura tricolor_Crimson Chat
Pelecanus conspicillatus_Australian Pelican
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Phaps chalcoptera_Common Bronzewing
Lalage tricolor_White-winged Triller
Geopelia placida_Peaceful Dove
Anthus novaeseelandiae_Australasian Pipit
Artamus superciliosus_White-browed Woodswallow
Nymphicus hollandicus_Cockatiel
Cracticus nigrogularis_Pied Butcherbird
Climacteris picumnus_Brown Treecreeper
Cracticus torquatus_Gray Butcherbird
Smicrornis brevirostris_Weebill
Elseyornis melanops_Black-fronted Dotterel
Acrocephalus australis_Australian Reed Warbler
Ptilotula ornata_Yellow-plumed Honeyeater
Cacomantis pallidus_Pallid Cuckoo
Falco berigora_Brown Falcon
Petrochelidon ariel_Fairy Martin
Todiramphus sanctus_Sacred Kingfisher
Artamus leucorynchus_White-breasted Woodswallow
Anhinga novaehollandiae_Australasian Darter
Struthidea cinerea_Apostlebird
Purnella albifrons_White-fronted Honeyeater
Microeca fascinans_Jacky-winter
Cincloramphus cruralis_Brown Songlark
Coracina novaehollandiae_Black-faced Cuckooshrike
Aegotheles cristatus_Australian Owlet-nightjar
Malacorhynchus membranaceus_Pink-eared Duck
Acanthiza apicalis_Inland Thornbill
Tribonyx ventralis_Black-tailed Nativehen
Vanellus tricolor_Banded Lapwing
Fulica atra_Eurasian Coot
Accipiter cirrocephalus_Collared Sparrowhawk
Myiagra inquieta_Restless Flycatcher
Chenonetta jubata_Maned Duck
Tachybaptus novaehollandiae_Australasian Grebe
Egretta novaehollandiae_White-faced Heron
