Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Stercorarius antarcticus_Brown Skua
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Sterna vittata_Antarctic Tern
Aptenodytes patagonicus_King Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Pygoscelis papua_Gentoo Penguin
Ardenna grisea_Sooty Shearwater
Pygoscelis adeliae_Adelie Penguin
Anas georgica_Yellow-billed Pintail
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Ardenna tenuirostris_Short-tailed Shearwater
