Pycnonotus barbatus_Common Bulbul
Gymnobucco calvus_Naked-faced Barbet
Spermophaga haematina_Western Bluebill
Tauraco macrorhynchus_Yellow-billed Turaco
Cinnyris coccinigastrus_Splendid Sunbird
Emberiza cabanisi_Cabanis's Bunting
Tauraco persa_Guinea Turaco
Turtur brehmeri_Blue-headed Wood-Dove
Malimbus nitens_Blue-billed Malimbe
Thescelocichla leucopleura_Swamp Greenbul
Sylvietta virens_Green Crombec
Bostrychia hagedash_Hadada Ibis
Smithornis rufolateralis_Rufous-sided Broadbill
Buccanodon duchaillui_Yellow-spotted Barbet
Oriolus nigripennis_Black-winged Oriole
Streptopelia semitorquata_Red-eyed Dove
Crinifer piscator_Western Plantain-eater
Caprimulgus climacurus_Long-tailed Nightjar
Urotriorchis macrourus_Long-tailed Hawk
Psittacus erithacus_Gray Parrot
Illadopsis cleaveri_Blackcap Illadopsis
Dryotriorchis spectabilis_Congo Serpent-Eagle
Pogoniulus scolopaceus_Speckled Tinkerbird
Bias musicus_Black-and-white Shrike-flycatcher
Corythaeola cristata_Great Blue Turaco
Trochocercus nitens_Blue-headed Crested-Flycatcher
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Lophoceros camurus_Red-billed Dwarf Hornbill
Sarothrura pulchra_White-spotted Flufftail
Camaroptera superciliaris_Yellow-browed Camaroptera
Streptopelia senegalensis_Laughing Dove
Hylia prasina_Green Hylia
Eurillas virens_Little Greenbul
Lamprotornis splendidus_Splendid Starling
Halcyon badia_Chocolate-backed Kingfisher
Hypergerus atriceps_Oriole Warbler
Uraeginthus angolensis_Southern Cordonbleu
Cypsiurus parvus_African Palm-Swift
Corvus albus_Pied Crow
Crithagra mozambica_Yellow-fronted Canary
Cinnyris venustus_Variable Sunbird
Bycanistes fistulator_Piping Hornbill
Nicator chloris_Western Nicator
Fraseria griseigularis_Gray-throated Tit-Flycatcher
Halcyon malimbica_Blue-breasted Kingfisher
Ploceus cucullatus_Village Weaver
Macrosphenus concolor_Gray Longbill
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Eurillas curvirostris_Plain Greenbul
Ixonotus guttatus_Spotted Greenbul
Illadopsis fulvescens_Brown Illadopsis
Trachyphonus purpuratus_Yellow-billed Barbet
Oriolus brachyrynchus_Western Black-headed Oriole
Baeopogon indicator_Honeyguide Greenbul
Corythornis cristatus_Malachite Kingfisher
Chlorocichla simplex_Simple Greenbul
Cecropis abyssinica_Lesser Striped Swallow
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Neocossyphus poensis_White-tailed Ant-Thrush
Spermestes cucullata_Bronze Mannikin
Camaroptera brachyura_Green-backed Camaroptera
Tricholaema hirsuta_Hairy-breasted Barbet
Hedydipna platura_Pygmy Sunbird
Fraseria ocreata_African Forest-Flycatcher
Chrysococcyx cupreus_African Emerald Cuckoo
Turdoides reinwardtii_Blackcap Babbler
Vidua macroura_Pin-tailed Whydah
Butorides striata_Striated Heron
Motacilla aguimp_African Pied Wagtail
Ceuthmochares aereus_Blue Malkoha
Cisticola anonymus_Chattering Cisticola
Illadopsis rufipennis_Pale-breasted Illadopsis
Hedydipna collaris_Collared Sunbird
Eurillas ansorgei_Ansorge's Greenbul
Ploceus nigerrimus_Vieillot's Weaver
Cyanomitra cyanolaema_Blue-throated Brown Sunbird
Cinnyris chloropygius_Olive-bellied Sunbird
Pogoniulus atroflavus_Red-rumped Tinkerbird
Cyanomitra olivacea_Olive Sunbird
Halcyon senegalensis_Woodland Kingfisher
Centropus senegalensis_Senegal Coucal
Treron calvus_African Green-Pigeon
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Passer griseus_Northern Gray-headed Sparrow
Chrysococcyx caprius_Dideric Cuckoo
Cuculus solitarius_Red-chested Cuckoo
Turtur tympanistria_Tambourine Dove
Bubulcus ibis_Cattle Egret
Lophoceros fasciatus_African Pied Hornbill
Apaloderma narina_Narina Trogon
Lybius bidentatus_Double-toothed Barbet
Elminia longicauda_African Blue Flycatcher
Dicrurus atripennis_Shining Drongo
Chamaetylas poliocephala_Brown-chested Alethe
Fraseria caerulescens_Ashy Flycatcher
Cercococcyx mechowi_Dusky Long-tailed Cuckoo
Bleda syndactylus_Red-tailed Bristlebill
Actophilornis africanus_African Jacana
Caprimulgus natalensis_Swamp Nightjar
Centropus leucogaster_Black-throated Coucal
Eurillas latirostris_Yellow-whiskered Greenbul
Prinia subflava_Tawny-flanked Prinia
Apus affinis_Little Swift
Merops pusillus_Little Bee-eater
Lanius humeralis_Northern Fiscal
Haliaeetus vocifer_African Fish-Eagle
Chrysococcyx klaas_Klaas's Cuckoo
Ceryle rudis_Pied Kingfisher
Milvus migrans_Black Kite
Euplectes hordeaceus_Black-winged Bishop
Melaniparus funereus_Dusky Tit
Lophoceros nasutus_African Gray Hornbill
Horizocerus albocristatus_White-crested Hornbill
Turtur afer_Blue-spotted Wood-Dove
Macheiramphus alcinus_Bat Hawk
Mirafra africana_Rufous-naped Lark
Kaupifalco monogrammicus_Lizard Buzzard
Saxicola torquatus_African Stonechat
Stiphrornis erythrothorax_Forest Robin
Eurystomus glaucurus_Broad-billed Roller
Polyboroides typus_African Harrier-Hawk
Cinnyris cupreus_Copper Sunbird
Eupodotis senegalensis_White-bellied Bustard
Platysteira blissetti_Red-cheeked Wattle-eye
Actitis hypoleucos_Common Sandpiper
Columba iriditorques_Bronze-naped Pigeon
Gallinula chloropus_Eurasian Moorhen
Columba unicincta_Afep Pigeon
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Ceratogymna atrata_Black-casqued Hornbill
Ardea melanocephala_Black-headed Heron
Turdus pelios_African Thrush
Zapornia flavirostra_Black Crake
Ardea alba_Great Egret
Cecropis semirufa_Rufous-chested Swallow
Arenaria interpres_Ruddy Turnstone
Camaroptera chloronota_Olive-green Camaroptera
Cuculus clamosus_Black Cuckoo
Scopus umbretta_Hamerkop
Smithornis capensis_African Broadbill
Tchagra australis_Brown-crowned Tchagra
Nigrita canicapillus_Gray-headed Nigrita
Megaceryle maxima_Giant Kingfisher
Ploceus nigricollis_Black-necked Weaver
Anthus leucophrys_Plain-backed Pipit
Lophaetus occipitalis_Long-crested Eagle
Motacilla clara_Mountain Wagtail
Tringa nebularia_Common Greenshank
Quelea quelea_Red-billed Quelea
Salpornis salvadori_African Spotted Creeper
Cinnyricinclus leucogaster_Violet-backed Starling
Ardea cinerea_Gray Heron
Numenius phaeopus_Whimbrel
Tyto alba_Barn Owl
Strix woodfordii_African Wood-Owl
Egretta gularis_Western Reef-Heron
Cossypha cyanocampter_Blue-shouldered Robin-Chat
Terpsiphone viridis_African Paradise-Flycatcher
Amblyospiza albifrons_Grosbeak Weaver
Apus apus_Common Swift
Estrilda astrild_Common Waxbill
Caprimulgus tristigma_Freckled Nightjar
Laniarius major_Tropical Boubou
Apalis sharpii_Sharpe's Apalis
Platysteira cyanea_Brown-throated Wattle-eye
Centropus monachus_Blue-headed Coucal
Tchagra senegalus_Black-crowned Tchagra
Ortygospiza atricollis_Quailfinch
Glaucidium perlatum_Pearl-spotted Owlet
Pytilia melba_Green-winged Pytilia
Passer domesticus_House Sparrow
Stelgidillas gracilirostris_Slender-billed Greenbul
Cisticola lateralis_Whistling Cisticola
Macronyx croceus_Yellow-throated Longclaw
Ploceus velatus_Southern Masked-Weaver
Criniger barbatus_Western Bearded-Greenbul
Neocossyphus finschi_Finsch's Flycatcher-Thrush
Fraseria plumbea_Gray Tit-Flycatcher
Alethe diademata_White-tailed Alethe
Buphagus africanus_Yellow-billed Oxpecker
Poicephalus fuscicollis_Brown-necked Parrot
Oriolus auratus_African Golden Oriole
Pachyphantes superciliosus_Compact Weaver
Vanellus senegallus_Wattled Lapwing
Porphyrio madagascariensis_African Swamphen
Merops albicollis_White-throated Bee-eater
Halcyon leucocephala_Gray-headed Kingfisher
Bubo lacteus_Verreaux's Eagle-Owl
