Drepanis coccinea_Iiwi
Zosterops japonicus_Warbling White-eye
Paroreomyza montana_Maui Alauahio
Passer domesticus_House Sparrow
Cardinalis cardinalis_Northern Cardinal
Haemorhous mexicanus_House Finch
Himatione sanguinea_Apapane
Acridotheres tristis_Common Myna
Chlorodrepanis virens_Hawaii Amakihi
Leiothrix lutea_Red-billed Leiothrix
Garrulax canorus_Chinese Hwamei
Pluvialis fulva_Pacific Golden-Plover
Streptopelia chinensis_Spotted Dove
Spinus pinus_Pine Siskin
Horornis diphone_Japanese Bush Warbler
Sterna paradisaea_Arctic Tern
Phasianus colchicus_Ring-necked Pheasant
Larus brachyrhynchus_Short-billed Gull
Phoebastria nigripes_Black-footed Albatross
Larus glaucescens_Glaucous-winged Gull
Branta sandvicensis_Hawaiian Goose
Mergus serrator_Red-breasted Merganser
Paroaria coronata_Red-crested Cardinal
Asio flammeus_Short-eared Owl
Passerculus sandwichensis_Savannah Sparrow
Phalaropus lobatus_Red-necked Phalarope
Geopelia striata_Zebra Dove
Passerella iliaca_Fox Sparrow
Uria aalge_Common Murre
Rissa tridactyla_Black-legged Kittiwake
Lonchura punctulata_Scaly-breasted Munia
Palmeria dolei_Akohekohe
Larus argentatus_Herring Gull
Catharus guttatus_Hermit Thrush
Cepphus columba_Pigeon Guillemot
Ardenna grisea_Sooty Shearwater
Clangula hyemalis_Long-tailed Duck
Fulmarus glacialis_Northern Fulmar
Mareca americana_American Wigeon
Gavia immer_Common Loon
Megaceryle alcyon_Belted Kingfisher
Cardellina pusilla_Wilson's Warbler
Podiceps auritus_Horned Grebe
Anthus rubescens_American Pipit
Mergus merganser_Common Merganser
Junco hyemalis_Dark-eyed Junco
Histrionicus histrionicus_Harlequin Duck
Bubulcus ibis_Cattle Egret
Catharus ustulatus_Swainson's Thrush
Turdus migratorius_American Robin
Melospiza melodia_Song Sparrow
Melanitta perspicillata_Surf Scoter
Sitta canadensis_Red-breasted Nuthatch
Troglodytes pacificus_Pacific Wren
Poecile atricapillus_Black-capped Chickadee
Tachycineta bicolor_Tree Swallow
Aythya marila_Greater Scaup
Colaptes auratus_Northern Flicker
Spatula clypeata_Northern Shoveler
Brachyramphus marmoratus_Marbled Murrelet
Tachycineta thalassina_Violet-green Swallow
Gavia pacifica_Pacific Loon
Tringa incana_Wandering Tattler
Bucephala albeola_Bufflehead
Lonchura atricapilla_Chestnut Munia
Phalaropus fulicarius_Red Phalarope
Zonotrichia atricapilla_Golden-crowned Sparrow
Regulus satrapa_Golden-crowned Kinglet
Zonotrichia leucophrys_White-crowned Sparrow
Leiothlypis celata_Orange-crowned Warbler
Arenaria interpres_Ruddy Turnstone
Gavia stellata_Red-throated Loon
Ixoreus naevius_Varied Thrush
Bucephala clangula_Common Goldeneye
Branta hutchinsii_Cackling Goose
Haematopus bachmani_Black Oystercatcher
Bucephala islandica_Barrow's Goldeneye
Anas platyrhynchos_Mallard
Ardenna creatopus_Pink-footed Shearwater
Stercorarius pomarinus_Pomarine Jaeger
Pavo cristatus_Indian Peafowl
Corvus corax_Common Raven
Mareca strepera_Gadwall
Dryobates pubescens_Downy Woodpecker
Tringa melanoleuca_Greater Yellowlegs
Xema sabini_Sabine's Gull
Circus hudsonius_Northern Harrier
Calidris alpina_Dunlin
Anas crecca_Green-winged Teal
Buteo jamaicensis_Red-tailed Hawk
Gallinago delicata_Wilson's Snipe
Branta canadensis_Canada Goose
Melospiza lincolnii_Lincoln's Sparrow
Sturnella neglecta_Western Meadowlark
Loxia curvirostra_Red Crossbill
Nannopterum auritum_Double-crested Cormorant
Falco columbarius_Merlin
Nycticorax nycticorax_Black-crowned Night-Heron
Calidris minutilla_Least Sandpiper
Phaethon lepturus_White-tailed Tropicbird
Fulica alai_Hawaiian Coot
Arenaria melanocephala_Black Turnstone
Melanitta americana_Black Scoter
Anas acuta_Northern Pintail
Pterodroma sandwichensis_Hawaiian Petrel
Hydrobates leucorhous_Leach's Storm-Petrel
Pinicola enucleator_Pine Grosbeak
Haliaeetus leucocephalus_Bald Eagle
Pluvialis squatarola_Black-bellied Plover
Setophaga coronata_Yellow-rumped Warbler
Hydroprogne caspia_Caspian Tern
Corthylio calendula_Ruby-crowned Kinglet
Calidris mauri_Western Sandpiper
Bombycilla garrulus_Bohemian Waxwing
Charadrius semipalmatus_Semipalmated Plover
Buteo regalis_Ferruginous Hawk
Pseudonestor xanthophrys_Maui Parrotbill
Tringa flavipes_Lesser Yellowlegs
Podiceps grisegena_Red-necked Grebe
Columba livia_Rock Pigeon
Falco peregrinus_Peregrine Falcon
Setophaga petechia_Yellow Warbler
Stercorarius longicaudus_Long-tailed Jaeger
Anser albifrons_Greater White-fronted Goose
Acanthis flammea_Common Redpoll
Loxia leucoptera_White-winged Crossbill
Falco sparverius_American Kestrel
Branta bernicla_Brant
Amandava amandava_Red Avadavat
Onychoprion aleuticus_Aleutian Tern
Lophodytes cucullatus_Hooded Merganser
Cyanocitta stelleri_Steller's Jay
Calidris virgata_Surfbird
Ardenna tenuirostris_Short-tailed Shearwater
Calidris alba_Sanderling
