Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Stercorarius antarcticus_Brown Skua
Daption capense_Cape Petrel
Sterna vittata_Antarctic Tern
Diomedea exulans_Wandering Albatross
Aptenodytes patagonicus_King Penguin
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Ardenna grisea_Sooty Shearwater
Pygoscelis adeliae_Adelie Penguin
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Ardenna tenuirostris_Short-tailed Shearwater
Anas georgica_Yellow-billed Pintail
Hirundo rustica_Barn Swallow
