Furnarius leucopus_Pale-legged Hornero
Asemospiza obscura_Dull-colored Grassquit
Phalaropus lobatus_Red-necked Phalarope
Sicalis olivascens_Greenish Yellow-Finch
Basileuterus trifasciatus_Three-banded Warbler
Melanopareia elegans_Elegant Crescentchest
Turdus chiguanco_Chiguanco Thrush
Spodiornis rusticus_Slaty Finch
Pelecanus occidentalis_Brown Pelican
Agriornis montanus_Black-billed Shrike-Tyrant
Catamenia inornata_Plain-colored Seedeater
Piranga flava_Hepatic Tanager
Incaspiza laeta_Buff-bridled Inca-Finch
Colaptes rubiginosus_Golden-olive Woodpecker
Myiothlypis nigrocristata_Black-crested Warbler
Grallaricula leymebambae_Leymebamba Antpitta
Phyllomyias uropygialis_Tawny-rumped Tyrannulet
Myiotheretes striaticollis_Streak-throated Bush-Tyrant
Synallaxis hypochondriaca_Great Spinetail
Myornis senilis_Ash-colored Tapaculo
Chloroceryle americana_Green Kingfisher
Pheucticus chrysogaster_Golden Grosbeak
Stercorarius parasiticus_Parasitic Jaeger
Serpophaga cinerea_Torrent Tyrannulet
Ochthoeca frontalis_Crowned Chat-Tyrant
Catamblyrhynchus diadema_Plushcap
Megascops koepckeae_Koepcke's Screech-Owl
Uranomitra franciae_Andean Emerald
Muscisaxicola maculirostris_Spot-billed Ground-Tyrant
Ampelion rubrocristatus_Red-crested Cotinga
Aeronautes andecolus_Andean Swift
Bubo virginianus_Great Horned Owl
Spinus psaltria_Lesser Goldfinch
Gampsonyx swainsonii_Pearl Kite
Sphenopsis melanotis_Black-eared Hemispingus
Lesbia nuna_Green-tailed Trainbearer
Tringa incana_Wandering Tattler
Dryobates fumigatus_Smoky-brown Woodpecker
Turdus leucops_Pale-eyed Thrush
Myiotheretes fumigatus_Smoky Bush-Tyrant
Grallaria squamigera_Undulated Antpitta
Coccyzus erythropthalmus_Black-billed Cuckoo
Incaspiza personata_Rufous-backed Inca-Finch
Catharus fuscater_Slaty-backed Nightingale-Thrush
Knipolegus aterrimus_White-winged Black-Tyrant
