Acridotheres tristis_Common Myna
Leiothrix argentauris_Silver-eared Mesia
Cyanoderma ruficeps_Rufous-capped Babbler
Hemipus picatus_Bar-winged Flycatcher-shrike
Accipiter trivirgatus_Crested Goshawk
Lophophanes dichrous_Gray-crested Tit
Liocichla phoenicea_Red-faced Liocichla
Trochalopteron lineatum_Streaked Laughingthrush
Cyornis unicolor_Pale Blue Flycatcher
Orthotomus sutorius_Common Tailorbird
Tarsiger rufilatus_Himalayan Bluetail
Upupa epops_Eurasian Hoopoe
Enicurus schistaceus_Slaty-backed Forktail
Dicrurus aeneus_Bronzed Drongo
Cutia nipalensis_Himalayan Cutia
Chroicocephalus ridibundus_Black-headed Gull
Ixos mcclellandii_Mountain Bulbul
Trochalopteron variegatum_Variegated Laughingthrush
Pericrocotus speciosus_Scarlet Minivet
Chalcophaps indica_Asian Emerald Dove
Psilopogon virens_Great Barbet
Delichon urbicum_Common House-Martin
Tringa nebularia_Common Greenshank
Cinnyris asiaticus_Purple Sunbird
Tringa totanus_Common Redshank
Aethopyga saturata_Black-throated Sunbird
Hirundo rustica_Barn Swallow
Cettia castaneocoronata_Chestnut-headed Tesia
Actitis hypoleucos_Common Sandpiper
Pycnonotus leucogenys_Himalayan Bulbul
Phylloscopus xanthoschistos_Gray-hooded Warbler
Apus apus_Common Swift
Chelidorhynx hypoxanthus_Yellow-bellied Fairy-Fantail
Picus chlorolophus_Lesser Yellownape
Hierococcyx varius_Common Hawk-Cuckoo
Mergus merganser_Common Merganser
Picus canus_Gray-headed Woodpecker
Turdus eunomus_Dusky Thrush
Eudynamys scolopaceus_Asian Koel
Glaucidium cuculoides_Asian Barred Owlet
Heterophasia capistrata_Rufous Sibia
Turdus albocinctus_White-collared Blackbird
Actinodura cyanouroptera_Blue-winged Minla
Circus cyaneus_Hen Harrier
Gyps himalayensis_Himalayan Griffon
Ducula badia_Mountain Imperial-Pigeon
Certhia himalayana_Bar-tailed Treecreeper
Chloropsis hardwickii_Orange-bellied Leafbird
Accipiter nisus_Eurasian Sparrowhawk
Actinodura nipalensis_Hoary-throated Barwing
Dicaeum minullum_Plain Flowerpecker
Pterorhinus albogularis_White-throated Laughingthrush
Schoeniparus castaneceps_Rufous-winged Fulvetta
Hypsipetes leucocephalus_Black Bulbul
Enicurus maculatus_Spotted Forktail
Procarduelis nipalensis_Dark-breasted Rosefinch
Gallinula chloropus_Eurasian Moorhen
Garrulax leucolophus_White-crested Laughingthrush
Tesia cyaniventer_Gray-bellied Tesia
Zosterops palpebrosus_Indian White-eye
Pyrrhocorax pyrrhocorax_Red-billed Chough
Yuhina flavicollis_Whiskered Yuhina
Podiceps cristatus_Great Crested Grebe
Lanius schach_Long-tailed Shrike
Pnoepyga albiventer_Scaly-breasted Cupwing
Dendrocopos hyperythrus_Rufous-bellied Woodpecker
Dicrurus remifer_Lesser Racket-tailed Drongo
Urocissa flavirostris_Yellow-billed Blue-Magpie
Turdus obscurus_Eyebrowed Thrush
Picumnus innominatus_Speckled Piculet
Prunella collaris_Alpine Accentor
Aethopyga nipalensis_Green-tailed Sunbird
Saxicola ferreus_Gray Bushchat
Prinia atrogularis_Black-throated Prinia
Luscinia phaenicuroides_White-bellied Redstart
Fulica atra_Eurasian Coot
Leioptila annectens_Rufous-backed Sibia
Himantopus himantopus_Black-winged Stilt
Grammatoptila striata_Striated Laughingthrush
Phylloscopus pulcher_Buff-barred Warbler
Cuculus poliocephalus_Lesser Cuckoo
Hierococcyx sparverioides_Large Hawk-Cuckoo
Emberiza cia_Rock Bunting
Passer cinnamomeus_Russet Sparrow
Pteruthius melanotis_Black-eared Shrike-Babbler
Tachybaptus ruficollis_Little Grebe
Linaria flavirostris_Twite
Cecropis daurica_Red-rumped Swallow
Chloris spinoides_Yellow-breasted Greenfinch
Carpodacus rodochroa_Pink-browed Rosefinch
Phoenicurus fuliginosus_Plumbeous Redstart
Horornis brunnescens_Hume's Bush Warbler
Oriolus traillii_Maroon Oriole
Tarsiger chrysaeus_Golden Bush-Robin
Eremophila alpestris_Horned Lark
Corvus splendens_House Crow
Pycnonotus striatus_Striated Bulbul
Tringa ochropus_Green Sandpiper
Niltava grandis_Large Niltava
Cettia brunnifrons_Gray-sided Bush Warbler
Periparus rubidiventris_Rufous-vented Tit
Psilopogon franklinii_Golden-throated Barbet
Niltava macgrigoriae_Small Niltava
Trochalopteron erythrocephalum_Chestnut-crowned Laughingthrush
Spilornis cheela_Crested Serpent-Eagle
Monticola solitarius_Blue Rock-Thrush
Dicaeum ignipectus_Fire-breasted Flowerpecker
Phylloscopus castaniceps_Chestnut-crowned Warbler
Vanellus vanellus_Northern Lapwing
Buteo japonicus_Eastern Buzzard
Ficedula strophiata_Rufous-gorgeted Flycatcher
Taenioptynx brodiei_Collared Owlet
Pomatorhinus ferruginosus_Coral-billed Scimitar-Babbler
Sitta himalayensis_White-tailed Nuthatch
Ictinaetus malaiensis_Black Eagle
Suthora nipalensis_Black-throated Parrotbill
Copsychus saularis_Oriental Magpie-Robin
Actinodura egertoni_Rusty-fronted Barwing
Arborophila torqueola_Hill Partridge
Phylloscopus poliogenys_Gray-cheeked Warbler
Horornis flavolivaceus_Aberrant Bush Warbler
Ficedula tricolor_Slaty-blue Flycatcher
Streptopelia orientalis_Oriental Turtle-Dove
Muscicapa sibirica_Dark-sided Flycatcher
Chroicocephalus brunnicephalus_Brown-headed Gull
Sturnus vulgaris_European Starling
Dicrurus annectens_Crow-billed Drongo
Corvus monedula_Eurasian Jackdaw
Arborophila rufogularis_Rufous-throated Partridge
Ptyonoprogne rupestris_Eurasian Crag-Martin
Megaceryle lugubris_Crested Kingfisher
Turdus naumanni_Naumann's Thrush
Pycnonotus jocosus_Red-whiskered Bulbul
Hierococcyx nisicolor_Hodgson's Hawk-Cuckoo
Cyanoderma chrysaeum_Golden Babbler
Tadorna ferruginea_Ruddy Shelduck
Phylloscopus chloronotus_Lemon-rumped Warbler
Alcedo atthis_Common Kingfisher
Ianthocincla rufogularis_Rufous-chinned Laughingthrush
Leiothrix lutea_Red-billed Leiothrix
Phylloscopus cantator_Yellow-vented Warbler
Psilopogon asiaticus_Blue-throated Barbet
Erythrogenys erythrogenys_Rusty-cheeked Scimitar-Babbler
Periparus ater_Coal Tit
Aegithina tiphia_Common Iora
Passer domesticus_House Sparrow
Aythya ferina_Common Pochard
Lalage melaschistos_Black-winged Cuckooshrike
Cettia major_Chestnut-crowned Bush Warbler
Carpodacus puniceus_Red-fronted Rosefinch
Mareca falcata_Falcated Duck
Phylloscopus reguloides_Blyth's Leaf Warbler
Falco subbuteo_Eurasian Hobby
Aethopyga gouldiae_Mrs. Gould's Sunbird
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher
Aquila chrysaetos_Golden Eagle
Cuculus saturatus_Himalayan Cuckoo
Nisaetus nipalensis_Mountain Hawk-Eagle
Nucifraga caryocatactes_Eurasian Nutcracker
Egretta garzetta_Little Egret
Lophophorus impejanus_Himalayan Monal
Emberiza lathami_Crested Bunting
Numenius arquata_Eurasian Curlew
Monticola rufiventris_Chestnut-bellied Rock-Thrush
Aethopyga ignicauda_Fire-tailed Sunbird
Phoenicurus frontalis_Blue-fronted Redstart
Prinia crinigera_Himalayan Prinia
Anthus roseatus_Rosy Pipit
Tichodroma muraria_Wallcreeper
Dryocopus martius_Black Woodpecker
Mycerobas carnipes_White-winged Grosbeak
Aythya fuligula_Tufted Duck
Lanius sphenocercus_Chinese Gray Shrike
Bubo bubo_Eurasian Eagle-Owl
Ficedula erithacus_Slaty-backed Flycatcher
Aythya nyroca_Ferruginous Duck
Recurvirostra avosetta_Pied Avocet
Gallinago gallinago_Common Snipe
Alauda gulgula_Oriental Skylark
Accipiter virgatus_Besra
Athene noctua_Little Owl
Lanius tephronotus_Gray-backed Shrike
Oriolus kundoo_Indian Golden Oriole
Cinclus cinclus_White-throated Dipper
Muscicapa ferruginea_Ferruginous Flycatcher
Emberiza fucata_Chestnut-eared Bunting
Horornis fortipes_Brownish-flanked Bush Warbler
Spatula clypeata_Northern Shoveler
Charadrius mongolus_Lesser Sand-Plover
Elanus caeruleus_Black-winged Kite
Regulus regulus_Goldcrest
Certhia hodgsoni_Hodgson's Treecreeper
Aquila nipalensis_Steppe Eagle
Anas crecca_Green-winged Teal
Prunella strophiata_Rufous-breasted Accentor
Sitta cinnamoventris_Chestnut-bellied Nuthatch
Halcyon smyrnensis_White-throated Kingfisher
Delichon dasypus_Asian House-Martin
Niltava sundara_Rufous-bellied Niltava
Pteruthius ripleyi_Himalayan Shrike-Babbler
Netta rufina_Red-crested Pochard
Ciconia nigra_Black Stork
Anthus hodgsoni_Olive-backed Pipit
Calidris subminuta_Long-toed Stint
Spatula querquedula_Garganey
Hirundapus caudacutus_White-throated Needletail
Motacilla citreola_Citrine Wagtail
Eumyias thalassinus_Verditer Flycatcher
Picoides tridactylus_Eurasian Three-toed Woodpecker
Picus squamatus_Scaly-bellied Woodpecker
Alectoris chukar_Chukar
Psittacula himalayana_Slaty-headed Parakeet
Passer montanus_Eurasian Tree Sparrow
Carpodacus erythrinus_Common Rosefinch
Treron sphenurus_Wedge-tailed Green-Pigeon
Tringa glareola_Wood Sandpiper
Phylloscopus whistleri_Whistler's Warbler
Turdus rubrocanus_Chestnut Thrush
Turdus boulboul_Gray-winged Blackbird
Pericrocotus ethologus_Long-tailed Minivet
Dicrurus hottentottus_Hair-crested Drongo
Anser indicus_Bar-headed Goose
Saxicola maurus_Siberian Stonechat
Turdus atrogularis_Black-throated Thrush
Charadrius alexandrinus_Kentish Plover
Emberiza pusilla_Little Bunting
Phylloscopus affinis_Tickell's Leaf Warbler
Pernis ptilorhynchus_Oriental Honey-buzzard
Phylloscopus fuligiventer_Smoky Warbler
Anas acuta_Northern Pintail
Haliaeetus albicilla_White-tailed Eagle
Dicrurus leucophaeus_Ashy Drongo
Anthus spinoletta_Water Pipit
Ficedula superciliaris_Ultramarine Flycatcher
Phylloscopus humei_Hume's Warbler
Calidris ruficollis_Red-necked Stint
Luscinia svecica_Bluethroat
Galerida cristata_Crested Lark
Pnoepyga immaculata_Immaculate Cupwing
Mareca penelope_Eurasian Wigeon
Phasianus colchicus_Ring-necked Pheasant
Tringa erythropus_Spotted Redshank
Limosa limosa_Black-tailed Godwit
Scolopax rusticola_Eurasian Woodcock
Cyornis rubeculoides_Blue-throated Flycatcher
Phylloscopus burkii_Green-crowned Warbler
Amaurornis phoenicurus_White-breasted Waterhen
Grus grus_Common Crane
Phylloscopus trochiloides_Greenish Warbler
Mareca strepera_Gadwall
Tadorna tadorna_Common Shelduck
Streptopelia tranquebarica_Red Collared-Dove
Falco amurensis_Amur Falcon
Turdus unicolor_Tickell's Thrush
Aegypius monachus_Cinereous Vulture
Carpodacus thura_Himalayan White-browed Rosefinch
Pluvialis fulva_Pacific Golden-Plover
Calandrella acutirostris_Hume's Lark
Ardea alba_Great Egret
Larvivora brunnea_Indian Blue Robin
Accipiter gentilis_Northern Goshawk
Sterna hirundo_Common Tern
Loxia curvirostra_Red Crossbill
Anthus godlewskii_Blyth's Pipit
Mergellus albellus_Smew
Calidris temminckii_Temminck's Stint
Vanellus cinereus_Gray-headed Lapwing
Riparia riparia_Bank Swallow
Nycticorax nycticorax_Black-crowned Night-Heron
Chlidonias hybrida_Whiskered Tern
Calandrella dukhunensis_Mongolian Short-toed Lark
Columba livia_Rock Pigeon
Milvus migrans_Black Kite
Gallinago stenura_Pin-tailed Snipe
Sternula albifrons_Little Tern
