Fregata magnificens_Magnificent Frigatebird
Ardea alba_Great Egret
Bubulcus ibis_Cattle Egret
Arenaria interpres_Ruddy Turnstone
Passer domesticus_House Sparrow
Sula leucogaster_Brown Booby
Estrilda astrild_Common Waxbill
Pandion haliaetus_Osprey
Calidris alba_Sanderling
Pluvialis squatarola_Black-bellied Plover
Tyto alba_Barn Owl
Falco peregrinus_Peregrine Falcon
Numenius phaeopus_Whimbrel
Rissa tridactyla_Black-legged Kittiwake
Egretta garzetta_Little Egret
Stercorarius pomarinus_Pomarine Jaeger
Hirundo rustica_Barn Swallow
Sterna hirundo_Common Tern
Ardea cinerea_Gray Heron
Streptopelia decaocto_Eurasian Collared-Dove
Sylvia atricapilla_Eurasian Blackcap
Charadrius hiaticula_Common Ringed Plover
Calidris canutus_Red Knot
Corvus ruficollis_Brown-necked Raven
Circus aeruginosus_Eurasian Marsh-Harrier
Nycticorax nycticorax_Black-crowned Night-Heron
Phalaropus fulicarius_Red Phalarope
Curruca conspicillata_Spectacled Warbler
Milvus milvus_Red Kite
Passer hispaniolensis_Spanish Sparrow
Stercorarius skua_Great Skua
Himantopus himantopus_Black-winged Stilt
Anas acuta_Northern Pintail
Pitangus sulphuratus_Great Kiskadee
Limosa lapponica_Bar-tailed Godwit
Bulweria bulwerii_Bulwer's Petrel
Stercorarius parasiticus_Parasitic Jaeger
Coturnix coturnix_Common Quail
Platalea leucorodia_Eurasian Spoonbill
Thalasseus sandvicensis_Sandwich Tern
Plegadis falcinellus_Glossy Ibis
Tringa nebularia_Common Greenshank
Falco tinnunculus_Eurasian Kestrel
Tringa glareola_Wood Sandpiper
Calidris alpina_Dunlin
Asio flammeus_Short-eared Owl
Tyrannus melancholicus_Tropical Kingbird
Charadrius alexandrinus_Kentish Plover
Ardea purpurea_Purple Heron
Larus michahellis_Yellow-legged Gull
Gallinula chloropus_Eurasian Moorhen
Phaethon aethereus_Red-billed Tropicbird
Gelochelidon nilotica_Gull-billed Tern
Halcyon leucocephala_Gray-headed Kingfisher
Milvus migrans_Black Kite
Calidris pugnax_Ruff
Calidris minuta_Little Stint
Riparia riparia_Bank Swallow
Ammomanes cinctura_Bar-tailed Lark
Hydrobates leucorhous_Leach's Storm-Petrel
Eremopterix nigriceps_Black-crowned Sparrow-Lark
Calidris ferruginea_Curlew Sandpiper
Apus apus_Common Swift
Tringa ochropus_Green Sandpiper
Ploceus cucullatus_Village Weaver
Ardeola ralloides_Squacco Heron
Recurvirostra avosetta_Pied Avocet
Egretta gularis_Western Reef-Heron
Larus fuscus_Lesser Black-backed Gull
Anas crecca_Green-winged Teal
Haematopus ostralegus_Eurasian Oystercatcher
Actitis hypoleucos_Common Sandpiper
Gallinago gallinago_Common Snipe
Circus pygargus_Montagu's Harrier
Tringa erythropus_Spotted Redshank
Oenanthe oenanthe_Northern Wheatear
Psittacula krameri_Rose-ringed Parakeet
Phylloscopus trochilus_Willow Warbler
Calonectris diomedea_Cory's Shearwater
Fulica atra_Eurasian Coot
Hydroprogne caspia_Caspian Tern
Limosa limosa_Black-tailed Godwit
Columbina talpacoti_Ruddy Ground Dove
Delichon urbicum_Common House-Martin
Puffinus puffinus_Manx Shearwater
Numida meleagris_Helmeted Guineafowl
Merops apiaster_European Bee-eater
Charadrius dubius_Little Ringed Plover
Alaemon alaudipes_Greater Hoopoe-Lark
Milvago chimachima_Yellow-headed Caracara
Ardea intermedia_Intermediate Egret
Upupa epops_Eurasian Hoopoe
Glareola pratincola_Collared Pratincole
Streptopelia turtur_European Turtle-Dove
Anthus trivialis_Tree Pipit
Progne chalybea_Gray-breasted Martin
Chroicocephalus ridibundus_Black-headed Gull
Tringa totanus_Common Redshank
Anthus cervinus_Red-throated Pipit
Butorides striata_Striated Heron
Volatinia jacarina_Blue-black Grassquit
Coragyps atratus_Black Vulture
Cacicus cela_Yellow-rumped Cacique
