Larus dominicanus_Kelp Gull
Stercorarius antarcticus_Brown Skua
Sterna vittata_Antarctic Tern
Thalassarche melanophris_Black-browed Albatross
Pygoscelis papua_Gentoo Penguin
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Pygoscelis antarcticus_Chinstrap Penguin
Ardenna grisea_Sooty Shearwater
Ardenna tenuirostris_Short-tailed Shearwater
Anas georgica_Yellow-billed Pintail
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Aptenodytes patagonicus_King Penguin
Pygoscelis adeliae_Adelie Penguin
