Turdus migratorius_American Robin
Setophaga coronata_Yellow-rumped Warbler
Colaptes auratus_Northern Flicker
Junco hyemalis_Dark-eyed Junco
Corvus corax_Common Raven
Melospiza melodia_Song Sparrow
Corvus brachyrhynchos_American Crow
Sitta canadensis_Red-breasted Nuthatch
Corthylio calendula_Ruby-crowned Kinglet
Poecile atricapillus_Black-capped Chickadee
Agelaius phoeniceus_Red-winged Blackbird
Anas platyrhynchos_Mallard
Zonotrichia leucophrys_White-crowned Sparrow
Spinus pinus_Pine Siskin
Branta canadensis_Canada Goose
Bucephala albeola_Bufflehead
Bombycilla cedrorum_Cedar Waxwing
Vireo gilvus_Warbling Vireo
Selasphorus rufus_Rufous Hummingbird
Spizella passerina_Chipping Sparrow
Setophaga petechia_Yellow Warbler
Gavia immer_Common Loon
Catharus ustulatus_Swainson's Thrush
Geothlypis trichas_Common Yellowthroat
Tachycineta bicolor_Tree Swallow
Poecile gambeli_Mountain Chickadee
Passerculus sandwichensis_Savannah Sparrow
Mareca americana_American Wigeon
Piranga ludoviciana_Western Tanager
Molothrus ater_Brown-headed Cowbird
Dryobates villosus_Hairy Woodpecker
Dryobates pubescens_Downy Woodpecker
Zonotrichia albicollis_White-throated Sparrow
Sturnus vulgaris_European Starling
Aythya collaris_Ring-necked Duck
Cyanocitta stelleri_Steller's Jay
Haliaeetus leucocephalus_Bald Eagle
Tachycineta thalassina_Violet-green Swallow
Pandion haliaetus_Osprey
Empidonax hammondii_Hammond's Flycatcher
Leiothlypis celata_Orange-crowned Warbler
Buteo jamaicensis_Red-tailed Hawk
Mergus merganser_Common Merganser
Podiceps grisegena_Red-necked Grebe
Melospiza lincolnii_Lincoln's Sparrow
Contopus sordidulus_Western Wood-Pewee
Empidonax oberholseri_Dusky Flycatcher
Ixoreus naevius_Varied Thrush
Bucephala clangula_Common Goldeneye
Parkesia noveboracensis_Northern Waterthrush
Regulus satrapa_Golden-crowned Kinglet
Pinicola enucleator_Pine Grosbeak
Fulica americana_American Coot
Charadrius vociferus_Killdeer
Dryocopus pileatus_Pileated Woodpecker
Megaceryle alcyon_Belted Kingfisher
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Actitis macularius_Spotted Sandpiper
Euphagus cyanocephalus_Brewer's Blackbird
Setophaga ruticilla_American Redstart
Spinus tristis_American Goldfinch
Hirundo rustica_Barn Swallow
Larus delawarensis_Ring-billed Gull
Acanthis flammea_Common Redpoll
Lophodytes cucullatus_Hooded Merganser
Anas crecca_Green-winged Teal
Streptopelia decaocto_Eurasian Collared-Dove
Bucephala islandica_Barrow's Goldeneye
Haemorhous mexicanus_House Finch
Geothlypis tolmiei_MacGillivray's Warbler
Ardea herodias_Great Blue Heron
Cardellina pusilla_Wilson's Warbler
Podilymbus podiceps_Pied-billed Grebe
Zenaida macroura_Mourning Dove
Bonasa umbellus_Ruffed Grouse
Pica hudsonia_Black-billed Magpie
Vireo cassinii_Cassin's Vireo
Coccothraustes vespertinus_Evening Grosbeak
Zonotrichia atricapilla_Golden-crowned Sparrow
Gallinago delicata_Wilson's Snipe
Falco sparverius_American Kestrel
Circus hudsonius_Northern Harrier
Falco columbarius_Merlin
Haemorhous purpureus_Purple Finch
Spatula clypeata_Northern Shoveler
Bombycilla garrulus_Bohemian Waxwing
Catharus guttatus_Hermit Thrush
Selasphorus calliope_Calliope Hummingbird
Aythya affinis_Lesser Scaup
Anthus rubescens_American Pipit
Cygnus buccinator_Trumpeter Swan
Tyrannus tyrannus_Eastern Kingbird
Vireo olivaceus_Red-eyed Vireo
Tringa melanoleuca_Greater Yellowlegs
Sphyrapicus nuchalis_Red-naped Sapsucker
Podiceps auritus_Horned Grebe
Perisoreus canadensis_Canada Jay
Troglodytes pacificus_Pacific Wren
Setophaga townsendi_Townsend's Warbler
Sturnella neglecta_Western Meadowlark
Spatula discors_Blue-winged Teal
Aechmophorus occidentalis_Western Grebe
Cinclus mexicanus_American Dipper
Passer domesticus_House Sparrow
Empidonax minimus_Least Flycatcher
Empidonax traillii_Willow Flycatcher
Oxyura jamaicensis_Ruddy Duck
Spizella pallida_Clay-colored Sparrow
Anas acuta_Northern Pintail
Cistothorus palustris_Marsh Wren
Contopus cooperi_Olive-sided Flycatcher
Pooecetes gramineus_Vesper Sparrow
Cathartes aura_Turkey Vulture
Xanthocephalus xanthocephalus_Yellow-headed Blackbird
Certhia americana_Brown Creeper
Accipiter striatus_Sharp-shinned Hawk
Empidonax difficilis_Pacific-slope Flycatcher
Porzana carolina_Sora
Larus argentatus_Herring Gull
Loxia leucoptera_White-winged Crossbill
Nucifraga columbiana_Clark's Nutcracker
Aix sponsa_Wood Duck
Tringa flavipes_Lesser Yellowlegs
Columba livia_Rock Pigeon
Accipiter cooperii_Cooper's Hawk
Loxia curvirostra_Red Crossbill
Tringa solitaria_Solitary Sandpiper
Glaucidium gnoma_Northern Pygmy-Owl
Chaetura vauxi_Vaux's Swift
Petrochelidon pyrrhonota_Cliff Swallow
Sphyrapicus ruber_Red-breasted Sapsucker
Mareca strepera_Gadwall
Empidonax alnorum_Alder Flycatcher
Calypte anna_Anna's Hummingbird
Sialia currucoides_Mountain Bluebird
Troglodytes aedon_House Wren
Buteo lagopus_Rough-legged Hawk
Chroicocephalus philadelphia_Bonaparte's Gull
Calidris minutilla_Least Sandpiper
Pipilo maculatus_Spotted Towhee
Passerella iliaca_Fox Sparrow
Limnodromus scolopaceus_Long-billed Dowitcher
Nannopterum auritum_Double-crested Cormorant
Antigone canadensis_Sandhill Crane
Poecile rufescens_Chestnut-backed Chickadee
Spizelloides arborea_American Tree Sparrow
Dumetella carolinensis_Gray Catbird
Larus californicus_California Gull
Myadestes townsendi_Townsend's Solitaire
Anser caerulescens_Snow Goose
Lanius borealis_Northern Shrike
Aythya americana_Redhead
Melanitta perspicillata_Surf Scoter
Aythya valisineria_Canvasback
Accipiter gentilis_Northern Goshawk
Poecile hudsonicus_Boreal Chickadee
Spatula cyanoptera_Cinnamon Teal
Cypseloides niger_Black Swift
Plectrophenax nivalis_Snow Bunting
Catharus fuscescens_Veery
Chordeiles minor_Common Nighthawk
Aythya marila_Greater Scaup
Asio flammeus_Short-eared Owl
Numenius americanus_Long-billed Curlew
Calcarius lapponicus_Lapland Longspur
Eremophila alpestris_Horned Lark
Buteo swainsoni_Swainson's Hawk
Bubo virginianus_Great Horned Owl
Picoides dorsalis_American Three-toed Woodpecker
Falco peregrinus_Peregrine Falcon
Cyanocitta cristata_Blue Jay
Charadrius semipalmatus_Semipalmated Plover
Calidris mauri_Western Sandpiper
Riparia riparia_Bank Swallow
Aegolius acadicus_Northern Saw-whet Owl
Cygnus columbianus_Tundra Swan
Dendragapus fuliginosus_Sooty Grouse
Calidris melanotos_Pectoral Sandpiper
Sitta carolinensis_White-breasted Nuthatch
Phalaropus tricolor_Wilson's Phalarope
Canachites canadensis_Spruce Grouse
Tyrannus verticalis_Western Kingbird
Pelecanus erythrorhynchos_American White Pelican
Podiceps nigricollis_Eared Grebe
Passerina amoena_Lazuli Bunting
Leucosticte tephrocotis_Gray-crowned Rosy-Finch
Anser albifrons_Greater White-fronted Goose
Tringa semipalmata_Willet
Sayornis saya_Say's Phoebe
Calidris bairdii_Baird's Sandpiper
Aquila chrysaetos_Golden Eagle
Melospiza georgiana_Swamp Sparrow
Larus brachyrhynchus_Short-billed Gull
Lagopus leucura_White-tailed Ptarmigan
Quiscalus quiscula_Common Grackle
Euphagus carolinus_Rusty Blackbird
Calidris pusilla_Semipalmated Sandpiper
Bubo scandiacus_Snowy Owl
Leiothlypis ruficapilla_Nashville Warbler
Mergus serrator_Red-breasted Merganser
Clangula hyemalis_Long-tailed Duck
Strix nebulosa_Great Gray Owl
Leiothlypis peregrina_Tennessee Warbler
Sphyrapicus varius_Yellow-bellied Sapsucker
Picoides arcticus_Black-backed Woodpecker
