Vanellus chilensis_Southern Lapwing
Furnarius rufus_Rufous Hornero
Pitangus sulphuratus_Great Kiskadee
Larus dominicanus_Kelp Gull
Zenaida auriculata_Eared Dove
Myiopsitta monachus_Monk Parakeet
Troglodytes aedon_House Wren
Egretta thula_Snowy Egret
Zonotrichia capensis_Rufous-collared Sparrow
Himantopus mexicanus_Black-necked Stilt
Sicalis flaveola_Saffron Finch
Mimus saturninus_Chalk-browed Mockingbird
Milvago chimango_Chimango Caracara
Nannopterum brasilianum_Neotropic Cormorant
Plegadis chihi_White-faced Ibis
Phimosus infuscatus_Bare-faced Ibis
Progne tapera_Brown-chested Martin
Guira guira_Guira Cuckoo
Chroicocephalus maculipennis_Brown-hooded Gull
Anas georgica_Yellow-billed Pintail
Molothrus bonariensis_Shiny Cowbird
Caracara plancus_Crested Caracara
Setophaga pitiayumi_Tropical Parula
Sterna trudeaui_Snowy-crowned Tern
Chauna torquata_Southern Screamer
Pygochelidon cyanoleuca_Blue-and-white Swallow
Ardea cocoi_Cocoi Heron
Hymenops perspicillatus_Spectacled Tyrant
Sicalis luteola_Grassland Yellow-Finch
Patagioenas picazuro_Picazuro Pigeon
Tyrannus melancholicus_Tropical Kingbird
Hylocharis chrysura_Gilded Hummingbird
Phacellodomus striaticollis_Freckle-breasted Thornbird
Coscoroba coscoroba_Coscoroba Swan
Machetornis rixosa_Cattle Tyrant
Phleocryptes melanops_Wren-like Rushbird
Colaptes campestris_Campo Flicker
Pyrocephalus rubinus_Vermilion Flycatcher
Colaptes melanochloros_Green-barred Woodpecker
Cygnus melancoryphus_Black-necked Swan
Amazonetta brasiliensis_Brazilian Teal
Tringa flavipes_Lesser Yellowlegs
Agelasticus thilius_Yellow-winged Blackbird
Agelaioides badius_Grayish Baywing
Tachycineta leucorrhoa_White-rumped Swallow
Ardea alba_Great Egret
Serpophaga subcristata_White-crested Tyrannulet
Xolmis irupero_White Monjita
Chroicocephalus cirrocephalus_Gray-hooded Gull
Tyrannus savana_Fork-tailed Flycatcher
Limnornis curvirostris_Curve-billed Reedhaunter
Embernagra platensis_Great Pampa-Finch
Paroaria coronata_Red-crested Cardinal
Coereba flaveola_Bananaquit
Athene cunicularia_Burrowing Owl
Aramides cajaneus_Gray-cowled Wood-Rail
Pseudoleistes virescens_Brown-and-yellow Marshbird
Fulica armillata_Red-gartered Coot
Podilymbus podiceps_Pied-billed Grebe
Tringa melanoleuca_Greater Yellowlegs
Turdus amaurochalinus_Creamy-bellied Thrush
Paroaria capitata_Yellow-billed Cardinal
Patagioenas maculosa_Spot-winged Pigeon
Turdus rufiventris_Rufous-bellied Thrush
Pluvialis dominica_American Golden-Plover
Stephanophorus diadematus_Diademed Tanager
Passer domesticus_House Sparrow
Spartonoica maluroides_Bay-capped Wren-Spinetail
Elaenia parvirostris_Small-billed Elaenia
Polioptila dumicola_Masked Gnatcatcher
Limnoctites sulphuriferus_Sulphur-bearded Reedhaunter
Jacana jacana_Wattled Jacana
Rynchops niger_Black Skimmer
Circus buffoni_Long-winged Harrier
Picumnus nebulosus_Mottled Piculet
Aramides ypecaha_Giant Wood-Rail
Xanthopsar flavus_Saffron-cowled Blackbird
Phoenicopterus chilensis_Chilean Flamingo
Sternula superciliaris_Yellow-billed Tern
Theristicus caerulescens_Plumbeous Ibis
Progne chalybea_Gray-breasted Martin
Geothlypis aequinoctialis_Masked Yellowthroat
Platalea ajaja_Roseate Spoonbill
Limnoctites rectirostris_Straight-billed Reedhaunter
Basileuterus culicivorus_Golden-crowned Warbler
Synallaxis spixi_Spix's Spinetail
Syrigma sibilatrix_Whistling Heron
Calidris fuscicollis_White-rumped Sandpiper
Pardirallus sanguinolentus_Plumbeous Rail
Rupornis magnirostris_Roadside Hawk
Falco sparverius_American Kestrel
Stilpnia preciosa_Chestnut-backed Tanager
Bubulcus ibis_Cattle Egret
Saltator aurantiirostris_Golden-billed Saltator
Microspingus cabanisi_Gray-throated Warbling Finch
Rauenia bonariensis_Blue-and-yellow Tanager
Limosa haemastica_Hudsonian Godwit
Rostrhamus sociabilis_Snail Kite
Leucochloris albicollis_White-throated Hummingbird
Spatula platalea_Red Shoveler
Spinus magellanicus_Hooded Siskin
Pachyramphus polychopterus_White-winged Becard
Columbina picui_Picui Ground Dove
Anthus furcatus_Short-billed Pipit
Leptotila verreauxi_White-tipped Dove
Haematopus palliatus_American Oystercatcher
Cistothorus platensis_Grass Wren
