Vanellus chilensis_Southern Lapwing
Larus dominicanus_Kelp Gull
Pitangus sulphuratus_Great Kiskadee
Furnarius rufus_Rufous Hornero
Sicalis flaveola_Saffron Finch
Egretta thula_Snowy Egret
Troglodytes aedon_House Wren
Phimosus infuscatus_Bare-faced Ibis
Anas georgica_Yellow-billed Pintail
Zonotrichia capensis_Rufous-collared Sparrow
Coereba flaveola_Bananaquit
Nannopterum brasilianum_Neotropic Cormorant
Progne tapera_Brown-chested Martin
Setophaga pitiayumi_Tropical Parula
Pygochelidon cyanoleuca_Blue-and-white Swallow
Himantopus mexicanus_Black-necked Stilt
Tyrannus melancholicus_Tropical Kingbird
Guira guira_Guira Cuckoo
Zenaida auriculata_Eared Dove
Mimus saturninus_Chalk-browed Mockingbird
Plegadis chihi_White-faced Ibis
Cygnus melancoryphus_Black-necked Swan
Anthus furcatus_Short-billed Pipit
Paroaria capitata_Yellow-billed Cardinal
Spartonoica maluroides_Bay-capped Wren-Spinetail
Limnornis curvirostris_Curve-billed Reedhaunter
Ardea cocoi_Cocoi Heron
Fregata magnificens_Magnificent Frigatebird
Geothlypis aequinoctialis_Masked Yellowthroat
Caracara plancus_Crested Caracara
Molothrus bonariensis_Shiny Cowbird
Milvago chimango_Chimango Caracara
Turdus amaurochalinus_Creamy-bellied Thrush
Basileuterus culicivorus_Golden-crowned Warbler
Limnoctites sulphuriferus_Sulphur-bearded Reedhaunter
Ardea alba_Great Egret
Coscoroba coscoroba_Coscoroba Swan
Saltator aurantiirostris_Golden-billed Saltator
Aramides cajaneus_Gray-cowled Wood-Rail
Serpophaga griseicapilla_Straneck's Tyrannulet
Myiodynastes maculatus_Streaked Flycatcher
Limnoctites rectirostris_Straight-billed Reedhaunter
Hymenops perspicillatus_Spectacled Tyrant
Podilymbus podiceps_Pied-billed Grebe
Xolmis irupero_White Monjita
Phleocryptes melanops_Wren-like Rushbird
Machetornis rixosa_Cattle Tyrant
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Milvago chimachima_Yellow-headed Caracara
Cyanocorax caeruleus_Azure Jay
Ortalis squamata_Scaled Chachalaca
Sicalis luteola_Grassland Yellow-Finch
Sterna trudeaui_Snowy-crowned Tern
Colaptes campestris_Campo Flicker
Limosa haemastica_Hudsonian Godwit
Hylocharis chrysura_Gilded Hummingbird
Polioptila dumicola_Masked Gnatcatcher
Chionomesa fimbriata_Glittering-throated Emerald
Agelasticus thilius_Yellow-winged Blackbird
Tringa flavipes_Lesser Yellowlegs
Athene cunicularia_Burrowing Owl
Pyrocephalus rubinus_Vermilion Flycatcher
Thalassarche melanophris_Black-browed Albatross
Picumnus nebulosus_Mottled Piculet
Dacnis cayana_Blue Dacnis
Chauna torquata_Southern Screamer
Tachuris rubrigastra_Many-colored Rush Tyrant
Pachyramphus polychopterus_White-winged Becard
Xanthopsar flavus_Saffron-cowled Blackbird
Chroicocephalus cirrocephalus_Gray-hooded Gull
Charadrius collaris_Collared Plover
Amazonetta brasiliensis_Brazilian Teal
Paroaria coronata_Red-crested Cardinal
Anthus lutescens_Yellowish Pipit
Leistes superciliaris_White-browed Meadowlark
Porphyriops melanops_Spot-flanked Gallinule
Sporophila ruficollis_Dark-throated Seedeater
Microspingus cabanisi_Gray-throated Warbling Finch
Leptotila verreauxi_White-tipped Dove
Rostrhamus sociabilis_Snail Kite
Jacana jacana_Wattled Jacana
Phoenicopterus chilensis_Chilean Flamingo
Oreopholus ruficollis_Tawny-throated Dotterel
Sternula antillarum_Least Tern
Cinclodes pabsti_Long-tailed Cinclodes
Elaenia parvirostris_Small-billed Elaenia
Pluvialis dominica_American Golden-Plover
Pseudocolopteryx flaviventris_Warbling Doradito
Coragyps atratus_Black Vulture
Platalea ajaja_Roseate Spoonbill
Florisuga fusca_Black Jacobin
Schoeniophylax phryganophilus_Chotoy Spinetail
Rhea americana_Greater Rhea
Progne chalybea_Gray-breasted Martin
Cathartes aura_Turkey Vulture
Spatula platalea_Red Shoveler
Anthus correndera_Correndera Pipit
Butorides striata_Striated Heron
Gallinago paraguaiae_Paraguayan Snipe
Tyrannus savana_Fork-tailed Flycatcher
Cranioleuca pyrrhophia_Stripe-crowned Spinetail
Circus buffoni_Long-winged Harrier
Icterus pyrrhopterus_Variable Oriole
Thalurania glaucopis_Violet-capped Woodnymph
Molothrus rufoaxillaris_Screaming Cowbird
Tringa melanoleuca_Greater Yellowlegs
Laterallus melanophaius_Rufous-sided Crake
Rynchops niger_Black Skimmer
Myiopsitta monachus_Monk Parakeet
Cistothorus platensis_Grass Wren
Sternula superciliaris_Yellow-billed Tern
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Syrigma sibilatrix_Whistling Heron
Lepidocolaptes falcinellus_Scalloped Woodcreeper
Calidris fuscicollis_White-rumped Sandpiper
Dysithamnus mentalis_Plain Antvireo
Pardirallus sanguinolentus_Plumbeous Rail
Elaenia flavogaster_Yellow-bellied Elaenia
Mycteria americana_Wood Stork
Colaptes melanochloros_Green-barred Woodpecker
Piaya cayana_Squirrel Cuckoo
Elanoides forficatus_Swallow-tailed Kite
Legatus leucophaius_Piratic Flycatcher
Stephanophorus diadematus_Diademed Tanager
Vireo chivi_Chivi Vireo
Lurocalis semitorquatus_Short-tailed Nighthawk
Leptasthenura striolata_Striolated Tit-Spinetail
Tachycineta leucorrhoa_White-rumped Swallow
Stilpnia preciosa_Chestnut-backed Tanager
Dryobates spilogaster_White-spotted Woodpecker
Chrysomus ruficapillus_Chestnut-capped Blackbird
Euphonia violacea_Violaceous Euphonia
Bartramia longicauda_Upland Sandpiper
Picumnus temminckii_Ochre-collared Piculet
Rauenia bonariensis_Blue-and-yellow Tanager
Emberizoides ypiranganus_Lesser Grass-Finch
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Bubulcus ibis_Cattle Egret
Cyanoloxia glaucocaerulea_Glaucous-blue Grosbeak
Geositta cunicularia_Common Miner
Porphyrio martinica_Purple Gallinule
Synallaxis spixi_Spix's Spinetail
Hydropsalis torquata_Scissor-tailed Nightjar
Fulica armillata_Red-gartered Coot
Polystictus pectoralis_Bearded Tachuri
Aramus guarauna_Limpkin
Egretta caerulea_Little Blue Heron
Dendrocygna bicolor_Fulvous Whistling-Duck
Columbina picui_Picui Ground Dove
Phacellodomus striaticollis_Freckle-breasted Thornbird
Drymornis bridgesii_Scimitar-billed Woodcreeper
Patagioenas picazuro_Picazuro Pigeon
Crypturellus obsoletus_Brown Tinamou
Attila rufus_Gray-hooded Attila
Aramides saracura_Slaty-breasted Wood-Rail
Serpophaga subcristata_White-crested Tyrannulet
Phaetusa simplex_Large-billed Tern
Myiarchus swainsoni_Swainson's Flycatcher
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Attila phoenicurus_Rufous-tailed Attila
Rupornis magnirostris_Roadside Hawk
Anthus nattereri_Ochre-breasted Pipit
Tigrisoma lineatum_Rufescent Tiger-Heron
Phalaropus tricolor_Wilson's Phalarope
Empidonomus varius_Variegated Flycatcher
Elaenia mesoleuca_Olivaceous Elaenia
Myiophobus fasciatus_Bran-colored Flycatcher
Agelaioides badius_Grayish Baywing
Volatinia jacarina_Blue-black Grassquit
Calidris subruficollis_Buff-breasted Sandpiper
Charadrius modestus_Rufous-chested Dotterel
Megaceryle torquata_Ringed Kingfisher
Tachyphonus coronatus_Ruby-crowned Tanager
Scytalopus pachecoi_Planalto Tapaculo
Anthus hellmayri_Hellmayr's Pipit
Thraupis palmarum_Palm Tanager
Tapera naevia_Striped Cuckoo
Fulica rufifrons_Red-fronted Coot
Pipraeidea melanonota_Fawn-breasted Tanager
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Celeus flavescens_Blond-crested Woodpecker
Lochmias nematura_Sharp-tailed Streamcreeper
Megascops sanctaecatarinae_Long-tufted Screech-Owl
Coryphospingus cucullatus_Red-crested Finch
Leucochloris albicollis_White-throated Hummingbird
Alopochelidon fucata_Tawny-headed Swallow
Amblyramphus holosericeus_Scarlet-headed Blackbird
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Cyclarhis gujanensis_Rufous-browed Peppershrike
Falco sparverius_American Kestrel
Euphonia pectoralis_Chestnut-bellied Euphonia
Dendrocygna viduata_White-faced Whistling-Duck
Sclerurus scansor_Rufous-breasted Leaftosser
Aramides ypecaha_Giant Wood-Rail
Conopophaga lineata_Rufous Gnateater
Platyrinchus mystaceus_White-throated Spadebill
Streptoprocne biscutata_Biscutate Swift
