Corvus macrorhynchos_Large-billed Crow
Picus xanthopygaeus_Streak-throated Woodpecker
Pyrrhocorax graculus_Yellow-billed Chough
Hemixos cinereus_Cinereous Bulbul
Trochalopteron elliotii_Elliot's Laughingthrush
Passer flaveolus_Plain-backed Sparrow
Pyrrhocorax pyrrhocorax_Red-billed Chough
Threskiornis melanocephalus_Black-headed Ibis
Rallina eurizonoides_Slaty-legged Crake
Clamator jacobinus_Pied Cuckoo
Circus aeruginosus_Eurasian Marsh-Harrier
Dicaeum trigonostigma_Orange-bellied Flowerpecker
Actinodura nipalensis_Hoary-throated Barwing
Sitta yunnanensis_Yunnan Nuthatch
Falco naumanni_Lesser Kestrel
Calliope pectardens_Firethroat
Zosterops erythropleurus_Chestnut-flanked White-eye
Leptocoma brasiliana_Van Hasselt's Sunbird
Locustella davidi_Baikal Bush Warbler
Calidris pugnax_Ruff
Chlidonias leucopterus_White-winged Tern
Larvivora sibilans_Rufous-tailed Robin
Ficedula zanthopygia_Yellow-rumped Flycatcher
Pluvialis squatarola_Black-bellied Plover
Pelargopsis capensis_Stork-billed Kingfisher
Aegypius monachus_Cinereous Vulture
Turdus hortulorum_Gray-backed Thrush
Rissa tridactyla_Black-legged Kittiwake
Anthus sylvanus_Upland Pipit
Lanius tigrinus_Tiger Shrike
Phylloscopus plumbeitarsus_Two-barred Warbler
Cyanoptila cumatilis_Zappey's Flycatcher
Dendrocopos major_Great Spotted Woodpecker
Eophona personata_Japanese Grosbeak
Botaurus stellaris_Great Bittern
Plegadis falcinellus_Glossy Ibis
Alaudala raytal_Sand Lark
Apus pacificus_Pacific Swift
Burhinus indicus_Indian Thick-knee
Troglodytes hiemalis_Winter Wren
Corvus corone_Carrion Crow
Pucrasia macrolopha_Koklass Pheasant
Rallus indicus_Brown-cheeked Rail
Larus argentatus_Herring Gull
Phodilus badius_Oriental Bay-Owl
Aix galericulata_Mandarin Duck
Pterorhinus davidi_Pere David's Laughingthrush
Circus macrourus_Pallid Harrier
Zapornia pusilla_Baillon's Crake
Butastur indicus_Gray-faced Buzzard
Turdus feae_Gray-sided Thrush
Bombycilla japonica_Japanese Waxwing
Trochalopteron erythrocephalum_Chestnut-crowned Laughingthrush
Spodiopsar sericeus_Red-billed Starling
Phylloscopus occisinensis_Alpine Leaf Warbler
Spinus spinus_Eurasian Siskin
Aegithalos glaucogularis_Silver-throated Tit
Phylloscopus yunnanensis_Chinese Leaf Warbler
Phylloscopus forresti_Sichuan Leaf Warbler
Cyanopica cyanus_Azure-winged Magpie
Charadrius hiaticula_Common Ringed Plover
Esacus recurvirostris_Great Thick-knee
Bucephala clangula_Common Goldeneye
Paradoxornis flavirostris_Black-breasted Parrotbill
Treron bicinctus_Orange-breasted Green-Pigeon
Eophona migratoria_Yellow-billed Grosbeak
Phylloscopus burkii_Green-crowned Warbler
Haliastur indus_Brahminy Kite
Hierococcyx varius_Common Hawk-Cuckoo
Calidris acuminata_Sharp-tailed Sandpiper
Erythrogenys erythrogenys_Rusty-cheeked Scimitar-Babbler
Acridotheres cristatellus_Crested Myna
Butastur teesa_White-eyed Buzzard
Accipiter gularis_Japanese Sparrowhawk
Emberiza cioides_Meadow Bunting
Anthus godlewskii_Blyth's Pipit
Coturnix coromandelica_Rain Quail
Aquila heliaca_Imperial Eagle
Sitta europaea_Eurasian Nuthatch
Gorsachius melanolophus_Malayan Night-Heron
Anthus rubescens_American Pipit
Calidris minuta_Little Stint
Mycteria leucocephala_Painted Stork
Charadrius leschenaultii_Greater Sand-Plover
Tephrodornis pondicerianus_Common Woodshrike
Otocichla mupinensis_Chinese Thrush
Sturnia sinensis_White-shouldered Starling
Lanius bucephalus_Bull-headed Shrike
Coturnix japonica_Japanese Quail
Streptopelia turtur_European Turtle-Dove
Anthus similis_Long-billed Pipit
Calliope pectoralis_Himalayan Rubythroat
Locustella tacsanowskia_Chinese Bush Warbler
Garrulax canorus_Chinese Hwamei
Platalea leucorodia_Eurasian Spoonbill
Leiopicus mahrattensis_Yellow-crowned Woodpecker
Sinosuthora webbiana_Vinous-throated Parrotbill
Buteo lagopus_Rough-legged Hawk
Phylloscopus ogilviegranti_Kloss's Leaf Warbler
Circaetus gallicus_Short-toed Snake-Eagle
Larus fuscus_Lesser Black-backed Gull
Rhipidura aureola_White-browed Fantail
Agropsar sturninus_Daurian Starling
Apus apus_Common Swift
Pericrocotus cinnamomeus_Small Minivet
Anthreptes malacensis_Brown-throated Sunbird
Chloris sinica_Oriental Greenfinch
Athene noctua_Little Owl
Gelochelidon nilotica_Gull-billed Tern
Certhia discolor_Sikkim Treecreeper
Staphida torqueola_Indochinese Yuhina
Ptyonoprogne concolor_Dusky Crag-Martin
Stachyris strialata_Spot-necked Babbler
Antigone antigone_Sarus Crane
Calidris alpina_Dunlin
Merops viridis_Blue-throated Bee-eater
Spizixos semitorques_Collared Finchbill
Acrocephalus dumetorum_Blyth's Reed Warbler
Eremophila alpestris_Horned Lark
Pterorhinus perspicillatus_Masked Laughingthrush
Periparus venustulus_Yellow-bellied Tit
Asio otus_Long-eared Owl
Prinia striata_Striped Prinia
Terpsiphone incei_Amur Paradise-Flycatcher
Alaudala cheleensis_Asian Short-toed Lark
Horornis acanthizoides_Yellowish-bellied Bush Warbler
Calandrella acutirostris_Hume's Lark
Turdus unicolor_Tickell's Thrush
Galerida cristata_Crested Lark
Cyornis glaucicomans_Chinese Blue Flycatcher
Pellorneum palustre_Marsh Babbler
Cyornis hainanus_Hainan Blue Flycatcher
Tropicoperdix chloropus_Scaly-breasted Partridge
Pitta nympha_Fairy Pitta
Heterophasia capistrata_Rufous Sibia
Picus vittatus_Laced Woodpecker
Fulvetta ruficapilla_Spectacled Fulvetta
Arenaria interpres_Ruddy Turnstone
Pseudopodoces humilis_Ground Tit
Remiz consobrinus_Chinese Penduline-Tit
Geokichla sibirica_Siberian Thrush
Cuculus optatus_Oriental Cuckoo
Xenus cinereus_Terek Sandpiper
Montifringilla taczanowskii_White-rumped Snowfinch
Chrysolophus amherstiae_Lady Amherst's Pheasant
Harpactes oreskios_Orange-breasted Trogon
Turdus pallidus_Pale Thrush
Carpodacus thura_Himalayan White-browed Rosefinch
Corvus monedula_Eurasian Jackdaw
Motacilla flava_Western Yellow Wagtail
Linaria flavirostris_Twite
Calidris alba_Sanderling
Hemixos castanonotus_Chestnut Bulbul
Phylloscopus soror_Alström's Warbler
Macropygia ruficeps_Little Cuckoo-Dove
Phaethon lepturus_White-tailed Tropicbird
Serinus pusillus_Fire-fronted Serin
Ixobrychus eurhythmus_Schrenck's Bittern
Pycnonotus leucogenys_Himalayan Bulbul
Urocynchramus pylzowi_Przevalski's Pinktail
Tetraogallus tibetanus_Tibetan Snowcock
Actinodura ramsayi_Spectacled Barwing
Buteo buteo_Common Buzzard
Oriolus kundoo_Indian Golden Oriole
Pycnonotus sinensis_Light-vented Bulbul
Ficedula mugimaki_Mugimaki Flycatcher
Suthora verreauxi_Golden Parrotbill
Emberiza chrysophrys_Yellow-browed Bunting
Emberiza cia_Rock Bunting
Hydrornis oatesi_Rusty-naped Pitta
Carduelis carduelis_European Goldfinch
Chroicocephalus genei_Slender-billed Gull
Dinopium benghalense_Black-rumped Flameback
Melanocorypha maxima_Tibetan Lark
Lanius excubitor_Great Gray Shrike
Garrulax strepitans_White-necked Laughingthrush
Alectoris chukar_Chukar
Pnoepyga immaculata_Immaculate Cupwing
Gampsorhynchus torquatus_Collared Babbler
Cygnus olor_Mute Swan
Oenanthe deserti_Desert Wheatear
Anser fabalis_Taiga Bean-Goose
Numenius madagascariensis_Far Eastern Curlew
Arborophila brunneopectus_Bar-backed Partridge
Calidris canutus_Red Knot
Podiceps auritus_Horned Grebe
Emberiza leucocephalos_Pine Bunting
