Pycnonotus barbatus_Common Bulbul
Hypergerus atriceps_Oriole Warbler
Crinifer piscator_Western Plantain-eater
Hedydipna platura_Pygmy Sunbird
Turdoides reinwardtii_Blackcap Babbler
Streptopelia semitorquata_Red-eyed Dove
Emberiza cabanisi_Cabanis's Bunting
Lybius vieilloti_Vieillot's Barbet
Eremomela pusilla_Senegal Eremomela
Prinia erythroptera_Red-winged Prinia
Pternistis bicalcaratus_Double-spurred Francolin
Illadopsis cleaveri_Blackcap Illadopsis
Bostrychia hagedash_Hadada Ibis
Laniarius barbarus_Yellow-crowned Gonolek
Streptopelia senegalensis_Laughing Dove
Caprimulgus climacurus_Long-tailed Nightjar
Spermophaga haematina_Western Bluebill
Tauraco persa_Guinea Turaco
Gymnobucco calvus_Naked-faced Barbet
Cossypha albicapillus_White-crowned Robin-Chat
Cisticola anonymus_Chattering Cisticola
Bycanistes fistulator_Piping Hornbill
Tauraco macrorhynchus_Yellow-billed Turaco
Illadopsis puveli_Puvel's Illadopsis
Eurillas virens_Little Greenbul
Cinnyris coccinigastrus_Splendid Sunbird
Turtur brehmeri_Blue-headed Wood-Dove
Thescelocichla leucopleura_Swamp Greenbul
Corvus albus_Pied Crow
Centropus leucogaster_Black-throated Coucal
Ardea cinerea_Gray Heron
Cinnyris venustus_Variable Sunbird
Dicrurus atripennis_Shining Drongo
Halcyon malimbica_Blue-breasted Kingfisher
Gymnoris dentata_Sahel Bush Sparrow
Laniarius major_Tropical Boubou
Milvus migrans_Black Kite
Apus apus_Common Swift
Bias musicus_Black-and-white Shrike-flycatcher
Terpsiphone viridis_African Paradise-Flycatcher
Malimbus nitens_Blue-billed Malimbe
Salpornis salvadori_African Spotted Creeper
Lamprotornis caudatus_Long-tailed Glossy Starling
Hedydipna collaris_Collared Sunbird
Cryptospiza reichenovii_Red-faced Crimsonwing
Smithornis rufolateralis_Rufous-sided Broadbill
Oriolus nigripennis_Black-winged Oriole
Glaucestrilda caerulescens_Lavender Waxbill
Sylvietta virens_Green Crombec
Euplectes capensis_Yellow Bishop
Crithagra mozambica_Yellow-fronted Canary
Motacilla flava_Western Yellow Wagtail
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Gallinula chloropus_Eurasian Moorhen
Hirundo rustica_Barn Swallow
Acrocephalus rufescens_Greater Swamp Warbler
Phylloscopus trochilus_Willow Warbler
Delichon urbicum_Common House-Martin
Bleda notatus_Lesser Bristlebill
Poicephalus senegalus_Senegal Parrot
Pogoniulus scolopaceus_Speckled Tinkerbird
Cisticola chubbi_Chubb's Cisticola
Nicator chloris_Western Nicator
Merops apiaster_European Bee-eater
Ploceus ocularis_Spectacled Weaver
Circus aeruginosus_Eurasian Marsh-Harrier
Tachybaptus ruficollis_Little Grebe
Sarothrura pulchra_White-spotted Flufftail
Prinia subflava_Tawny-flanked Prinia
Tchagra senegalus_Black-crowned Tchagra
Turtur afer_Blue-spotted Wood-Dove
Stiphrornis erythrothorax_Forest Robin
Caprimulgus tristigma_Freckled Nightjar
Buccanodon duchaillui_Yellow-spotted Barbet
Chalcomitra senegalensis_Scarlet-chested Sunbird
Actitis hypoleucos_Common Sandpiper
Cypsiurus parvus_African Palm-Swift
Apus affinis_Little Swift
Turdoides plebejus_Brown Babbler
Luscinia megarhynchos_Common Nightingale
Corythaeola cristata_Great Blue Turaco
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Columba guinea_Speckled Pigeon
Centropus senegalensis_Senegal Coucal
Camaroptera superciliaris_Yellow-browed Camaroptera
Euplectes ardens_Red-collared Widowbird
Atimastillas flavicollis_Yellow-throated Greenbul
Numida meleagris_Helmeted Guineafowl
Spermestes cucullata_Bronze Mannikin
Hydrobates leucorhous_Leach's Storm-Petrel
Ploceus cucullatus_Village Weaver
Motacilla clara_Mountain Wagtail
Chlorocichla simplex_Simple Greenbul
Coracina caesia_Gray Cuckooshrike
Caprimulgus nigriscapularis_Black-shouldered Nightjar
Psalidoprocne pristoptera_Black Sawwing
Ptyonoprogne fuligula_Rock Martin
Himantopus himantopus_Black-winged Stilt
Estrilda astrild_Common Waxbill
Trochocercus nitens_Blue-headed Crested-Flycatcher
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Camaroptera brachyura_Green-backed Camaroptera
Urotriorchis macrourus_Long-tailed Hawk
Platysteira cyanea_Brown-throated Wattle-eye
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Passer griseus_Northern Gray-headed Sparrow
Chloropicus fuscescens_Cardinal Woodpecker
Ardea alba_Great Egret
Baeopogon indicator_Honeyguide Greenbul
Macrosphenus concolor_Gray Longbill
Hippolais polyglotta_Melodious Warbler
Platysteira castanea_Chestnut Wattle-eye
Hylia prasina_Green Hylia
Alethe castanea_Fire-crested Alethe
Cecropis daurica_Red-rumped Swallow
Turdus pelios_African Thrush
Anthus leucophrys_Plain-backed Pipit
Lamprotornis splendidus_Splendid Starling
Cyanomitra olivacea_Olive Sunbird
Colius striatus_Speckled Mousebird
Treron calvus_African Green-Pigeon
Macronyx croceus_Yellow-throated Longclaw
Dryotriorchis spectabilis_Congo Serpent-Eagle
Charadrius tricollaris_Three-banded Plover
Lophoceros camurus_Red-billed Dwarf Hornbill
Ardea purpurea_Purple Heron
Centropus monachus_Blue-headed Coucal
Burhinus senegalensis_Senegal Thick-knee
Corythornis cristatus_Malachite Kingfisher
Stephanoaetus coronatus_Crowned Eagle
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Polyboroides typus_African Harrier-Hawk
Oriolus oriolus_Eurasian Golden Oriole
Sylvia atricapilla_Eurasian Blackcap
Lagonosticta senegala_Red-billed Firefinch
Ploceus nigerrimus_Vieillot's Weaver
Megaceryle maxima_Giant Kingfisher
Tringa nebularia_Common Greenshank
Chrysococcyx cupreus_African Emerald Cuckoo
Tringa glareola_Wood Sandpiper
Campethera cailliautii_Green-backed Woodpecker
Motacilla alba_White Wagtail
Melaenornis edolioides_Northern Black-Flycatcher
Tringa ochropus_Green Sandpiper
Psittacus erithacus_Gray Parrot
Ceuthmochares aereus_Blue Malkoha
Camaroptera chloronota_Olive-green Camaroptera
Eurillas latirostris_Yellow-whiskered Greenbul
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Scopus umbretta_Hamerkop
Egretta garzetta_Little Egret
Uraeginthus bengalus_Red-cheeked Cordonbleu
Falco tinnunculus_Eurasian Kestrel
Haliaeetus vocifer_African Fish-Eagle
Ardeola ralloides_Squacco Heron
Estrilda nonnula_Black-crowned Waxbill
Apaloderma vittatum_Bar-tailed Trogon
Hirundo smithii_Wire-tailed Swallow
Laniarius luehderi_Lühder's Bushshrike
Ardea melanocephala_Black-headed Heron
Turtur tympanistria_Tambourine Dove
Zapornia flavirostra_Black Crake
Acrocephalus baeticatus_African Reed Warbler
Bubulcus ibis_Cattle Egret
Anthus trivialis_Tree Pipit
Dicrurus divaricatus_Glossy-backed Drongo
Actophilornis africanus_African Jacana
Cinnyris chloropygius_Olive-bellied Sunbird
Cisticola erythrops_Red-faced Cisticola
Muscicapa striata_Spotted Flycatcher
Ixonotus guttatus_Spotted Greenbul
