Pycnonotus barbatus_Common Bulbul
Crinifer piscator_Western Plantain-eater
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Turdoides reinwardtii_Blackcap Babbler
Streptopelia semitorquata_Red-eyed Dove
Tauraco persa_Guinea Turaco
Spermophaga haematina_Western Bluebill
Emberiza cabanisi_Cabanis's Bunting
Gymnobucco calvus_Naked-faced Barbet
Bostrychia hagedash_Hadada Ibis
Illadopsis cleaveri_Blackcap Illadopsis
Turtur brehmeri_Blue-headed Wood-Dove
Thescelocichla leucopleura_Swamp Greenbul
Tauraco macrorhynchus_Yellow-billed Turaco
Dicrurus atripennis_Shining Drongo
Corythaeola cristata_Great Blue Turaco
Eurillas virens_Little Greenbul
Colius striatus_Speckled Mousebird
Smithornis rufolateralis_Rufous-sided Broadbill
Cisticola anonymus_Chattering Cisticola
Cinnyris coccinigastrus_Splendid Sunbird
Malimbus nitens_Blue-billed Malimbe
Cinnyris venustus_Variable Sunbird
Bias musicus_Black-and-white Shrike-flycatcher
Bycanistes fistulator_Piping Hornbill
Sylvietta virens_Green Crombec
Pogoniulus scolopaceus_Speckled Tinkerbird
Sarothrura pulchra_White-spotted Flufftail
Oriolus nigripennis_Black-winged Oriole
Caprimulgus climacurus_Long-tailed Nightjar
Buccanodon duchaillui_Yellow-spotted Barbet
Dryotriorchis spectabilis_Congo Serpent-Eagle
Urotriorchis macrourus_Long-tailed Hawk
Lophoceros camurus_Red-billed Dwarf Hornbill
Criniger chloronotus_Eastern Bearded-Greenbul
Psittacus erithacus_Gray Parrot
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Trochocercus nitens_Blue-headed Crested-Flycatcher
Spermestes cucullata_Bronze Mannikin
Corvus albus_Pied Crow
Camaroptera chloronota_Olive-green Camaroptera
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Halcyon badia_Chocolate-backed Kingfisher
Nicator chloris_Western Nicator
Stiphrornis erythrothorax_Forest Robin
Hylia prasina_Green Hylia
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Bleda notatus_Lesser Bristlebill
Camaroptera superciliaris_Yellow-browed Camaroptera
Ploceus cucullatus_Village Weaver
Lamprotornis splendidus_Splendid Starling
Ixonotus guttatus_Spotted Greenbul
Macrosphenus concolor_Gray Longbill
Illadopsis fulvescens_Brown Illadopsis
Cypsiurus parvus_African Palm-Swift
Fraseria griseigularis_Gray-throated Tit-Flycatcher
Chlorocichla simplex_Simple Greenbul
Chrysococcyx cupreus_African Emerald Cuckoo
Milvus migrans_Black Kite
Hedydipna collaris_Collared Sunbird
Halcyon senegalensis_Woodland Kingfisher
Vidua macroura_Pin-tailed Whydah
Corythornis cristatus_Malachite Kingfisher
Estrilda astrild_Common Waxbill
Streptopelia senegalensis_Laughing Dove
Estrilda nonnula_Black-crowned Waxbill
Baeopogon indicator_Honeyguide Greenbul
Passer griseus_Northern Gray-headed Sparrow
Cossypha cyanocampter_Blue-shouldered Robin-Chat
Oriolus brachyrynchus_Western Black-headed Oriole
Columba larvata_Lemon Dove
Turdus pelios_African Thrush
Apus affinis_Little Swift
Ardea cinerea_Gray Heron
Eurillas curvirostris_Plain Greenbul
Halcyon malimbica_Blue-breasted Kingfisher
Neocossyphus poensis_White-tailed Ant-Thrush
Ceuthmochares aereus_Blue Malkoha
Trachyphonus purpuratus_Yellow-billed Barbet
Actitis hypoleucos_Common Sandpiper
Treron calvus_African Green-Pigeon
Turtur tympanistria_Tambourine Dove
Cinnyris chloropygius_Olive-bellied Sunbird
Camaroptera brachyura_Green-backed Camaroptera
Eurillas latirostris_Yellow-whiskered Greenbul
Cyanomitra olivacea_Olive Sunbird
Cuculus solitarius_Red-chested Cuckoo
Motacilla aguimp_African Pied Wagtail
Butorides striata_Striated Heron
Chrysococcyx klaas_Klaas's Cuckoo
Apus apus_Common Swift
Bathmocercus rufus_Black-faced Rufous-Warbler
Ploceus nigerrimus_Vieillot's Weaver
Fraseria ocreata_African Forest-Flycatcher
Chrysococcyx caprius_Dideric Cuckoo
Illadopsis rufipennis_Pale-breasted Illadopsis
Cyanomitra cyanolaema_Blue-throated Brown Sunbird
Eurillas ansorgei_Ansorge's Greenbul
Macrosphenus flavicans_Yellow Longbill
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Nicator vireo_Yellow-throated Nicator
Chamaetylas poliocephala_Brown-chested Alethe
Platysteira castanea_Chestnut Wattle-eye
Kaupifalco monogrammicus_Lizard Buzzard
Pogoniulus atroflavus_Red-rumped Tinkerbird
Fraseria caerulescens_Ashy Flycatcher
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Lophoceros fasciatus_African Pied Hornbill
Hirundo rustica_Barn Swallow
Apaloderma narina_Narina Trogon
Alethe castanea_Fire-crested Alethe
Ardea melanocephala_Black-headed Heron
Phylloscopus trochilus_Willow Warbler
Sarothrura elegans_Buff-spotted Flufftail
Tringa nebularia_Common Greenshank
Centropus senegalensis_Senegal Coucal
Polyboroides typus_African Harrier-Hawk
Ploceus nigricollis_Black-necked Weaver
Macheiramphus alcinus_Bat Hawk
Ceryle rudis_Pied Kingfisher
Ceratogymna atrata_Black-casqued Hornbill
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Scopus umbretta_Hamerkop
Cecropis semirufa_Rufous-chested Swallow
Elminia longicauda_African Blue Flycatcher
Haliaeetus vocifer_African Fish-Eagle
Lybius bidentatus_Double-toothed Barbet
Nigrita canicapillus_Gray-headed Nigrita
Bleda syndactylus_Red-tailed Bristlebill
Tachybaptus ruficollis_Little Grebe
Cercococcyx mechowi_Dusky Long-tailed Cuckoo
Turtur afer_Blue-spotted Wood-Dove
Megaceryle maxima_Giant Kingfisher
Cecropis abyssinica_Lesser Striped Swallow
Strix woodfordii_African Wood-Owl
Gallinula chloropus_Eurasian Moorhen
Chloropicus fuscescens_Cardinal Woodpecker
Apalis rufogularis_Buff-throated Apalis
Bubulcus ibis_Cattle Egret
Melaniparus funereus_Dusky Tit
Platysteira cyanea_Brown-throated Wattle-eye
Euplectes hordeaceus_Black-winged Bishop
Zapornia flavirostra_Black Crake
Motacilla flava_Western Yellow Wagtail
Cyanomitra verticalis_Green-headed Sunbird
Stelgidillas gracilirostris_Slender-billed Greenbul
Columba iriditorques_Bronze-naped Pigeon
Lophaetus occipitalis_Long-crested Eagle
Merops variegatus_Blue-breasted Bee-eater
Horizocerus albocristatus_White-crested Hornbill
Psalidoprocne pristoptera_Black Sawwing
Telophorus bocagei_Gray-green Bushshrike
Columba unicincta_Afep Pigeon
Gymnobucco bonapartei_Gray-throated Barbet
Centropus monachus_Blue-headed Coucal
Ardea intermedia_Intermediate Egret
Tyto alba_Barn Owl
Apalis jacksoni_Black-throated Apalis
Eurystomus glaucurus_Broad-billed Roller
Actophilornis africanus_African Jacana
Accipiter melanoleucus_Black Goshawk
Prinia bairdii_Banded Prinia
Terpsiphone viridis_African Paradise-Flycatcher
Egretta garzetta_Little Egret
Merops apiaster_European Bee-eater
Cuculus clamosus_Black Cuckoo
Ardeola ralloides_Squacco Heron
Platysteira concreta_Yellow-bellied Wattle-eye
Glaucidium tephronotum_Red-chested Owlet
Clamator levaillantii_Levaillant's Cuckoo
Stephanoaetus coronatus_Crowned Eagle
Motacilla clara_Mountain Wagtail
Ardea purpurea_Purple Heron
Campethera cailliautii_Green-backed Woodpecker
Acrocephalus rufescens_Greater Swamp Warbler
Ardea alba_Great Egret
Neocossyphus rufus_Red-tailed Ant-Thrush
Delichon urbicum_Common House-Martin
Estrilda melpoda_Orange-cheeked Waxbill
Ploceus ocularis_Spectacled Weaver
Atimastillas flavicollis_Yellow-throated Greenbul
Ploceus bicolor_Forest Weaver
Crithagra mozambica_Yellow-fronted Canary
Elanus caeruleus_Black-winged Kite
Tchagra australis_Brown-crowned Tchagra
Laniarius luehderi_Lühder's Bushshrike
Merops albicollis_White-throated Bee-eater
Campephaga quiscalina_Purple-throated Cuckooshrike
Cisticola erythrops_Red-faced Cisticola
Tricholaema hirsuta_Hairy-breasted Barbet
Prinia subflava_Tawny-flanked Prinia
Caprimulgus nigriscapularis_Black-shouldered Nightjar
Gallinago gallinago_Common Snipe
Fraseria plumbea_Gray Tit-Flycatcher
Sarothrura rufa_Red-chested Flufftail
Pternistis squamatus_Scaly Francolin
Cuculus canorus_Common Cuckoo
Phylloscopus sibilatrix_Wood Warbler
Bycanistes albotibialis_White-thighed Hornbill
Gallinago media_Great Snipe
Tringa ochropus_Green Sandpiper
Oriolus oriolus_Eurasian Golden Oriole
Himantopus himantopus_Black-winged Stilt
Ixobrychus minutus_Little Bittern
Sylvia borin_Garden Warbler
Macronyx croceus_Yellow-throated Longclaw
Falco tinnunculus_Eurasian Kestrel
Euplectes ardens_Red-collared Widowbird
Pandion haliaetus_Osprey
Batis erlangeri_Western Black-headed Batis
Caprimulgus natalensis_Swamp Nightjar
Amblyospiza albifrons_Grosbeak Weaver
Cisticola lateralis_Whistling Cisticola
Myrmecocichla nigra_Sooty Chat
Tringa glareola_Wood Sandpiper
Smithornis capensis_African Broadbill
Ptilopsis leucotis_Northern White-faced Owl
Halcyon leucocephala_Gray-headed Kingfisher
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Cinnyris cupreus_Copper Sunbird
Cuculus gularis_African Cuckoo
Accipiter badius_Shikra
Muscicapa striata_Spotted Flycatcher
Merops persicus_Blue-cheeked Bee-eater
Tchagra senegalus_Black-crowned Tchagra
Mirafra rufocinnamomea_Flappet Lark
Cisticola cantans_Singing Cisticola
Acrocephalus scirpaceus_Eurasian Reed Warbler
Cisticola natalensis_Croaking Cisticola
Melocichla mentalis_Moustached Grass-Warbler
Riparia riparia_Bank Swallow
Saxicola torquatus_African Stonechat
Cisticola marginatus_Winding Cisticola
Centropus leucogaster_Black-throated Coucal
Acrocephalus arundinaceus_Great Reed Warbler
Circus aeruginosus_Eurasian Marsh-Harrier
Cisticola brachypterus_Siffling Cisticola
Calidris minuta_Little Stint
Iduna natalensis_African Yellow-Warbler
Dryoscopus gambensis_Northern Puffback
Acrocephalus baeticatus_African Reed Warbler
Upupa epops_Eurasian Hoopoe
Pachyphantes superciliosus_Compact Weaver
Tringa stagnatilis_Marsh Sandpiper
Chloropicus goertae_African Gray Woodpecker
Merops pusillus_Little Bee-eater
Lanius humeralis_Northern Fiscal
Pernis apivorus_European Honey-buzzard
Ortygospiza atricollis_Quailfinch
