Zosterops japonicus_Warbling White-eye
Geopelia striata_Zebra Dove
Paroaria coronata_Red-crested Cardinal
Acridotheres tristis_Common Myna
Bubulcus ibis_Cattle Egret
Copsychus malabaricus_White-rumped Shama
Streptopelia chinensis_Spotted Dove
Haemorhous mexicanus_House Finch
Pluvialis fulva_Pacific Golden-Plover
Passer domesticus_House Sparrow
Cardinalis cardinalis_Northern Cardinal
Gallus gallus_Red Junglefowl
Lonchura punctulata_Scaly-breasted Munia
Lonchura atricapilla_Chestnut Munia
Nycticorax nycticorax_Black-crowned Night-Heron
Gallinula galeata_Common Gallinule
Columba livia_Rock Pigeon
Psittacula krameri_Rose-ringed Parakeet
Horornis diphone_Japanese Bush Warbler
Phaethon lepturus_White-tailed Tropicbird
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Anas wyvilliana_Hawaiian Duck
Garrulax canorus_Chinese Hwamei
Mimus polyglottos_Northern Mockingbird
Branta sandvicensis_Hawaiian Goose
Sturnella neglecta_Western Meadowlark
Padda oryzivora_Java Sparrow
Amandava amandava_Red Avadavat
Chasiempis sclateri_Kauai Elepaio
Tringa incana_Wandering Tattler
Phasianus colchicus_Ring-necked Pheasant
Estrilda astrild_Common Waxbill
Magumma parva_Anianiau
Loxops caeruleirostris_Akekee
Puffinus newelli_Newell's Shearwater
Euodice cantans_African Silverbill
Arenaria interpres_Ruddy Turnstone
Alauda arvensis_Eurasian Skylark
Pterodroma sandwichensis_Hawaiian Petrel
Ortygornis pondicerianus_Gray Francolin
Asio flammeus_Short-eared Owl
Leiothrix lutea_Red-billed Leiothrix
Anous minutus_Black Noddy
Tyto alba_Barn Owl
Ardenna pacifica_Wedge-tailed Shearwater
Agapornis roseicollis_Rosy-faced Lovebird
