Pycnonotus barbatus_Common Bulbul
Streptopelia semitorquata_Red-eyed Dove
Caprimulgus climacurus_Long-tailed Nightjar
Corvus albus_Pied Crow
Coracias abyssinicus_Abyssinian Roller
Cinnyris coccinigastrus_Splendid Sunbird
Streptopelia senegalensis_Laughing Dove
Lagonosticta senegala_Red-billed Firefinch
Bostrychia hagedash_Hadada Ibis
Numida meleagris_Helmeted Guineafowl
Dicrurus divaricatus_Glossy-backed Drongo
Colius striatus_Speckled Mousebird
Plocepasser superciliosus_Chestnut-crowned Sparrow-Weaver
Poicephalus meyeri_Meyer's Parrot
Cypsiurus parvus_African Palm-Swift
Malimbus nitens_Blue-billed Malimbe
Scopus umbretta_Hamerkop
Ardea cinerea_Gray Heron
Chalcomitra senegalensis_Scarlet-chested Sunbird
Cinnyris osea_Palestine Sunbird
Streptopelia decipiens_Mourning Collared-Dove
Prinia subflava_Tawny-flanked Prinia
Eupodotis senegalensis_White-bellied Bustard
Lamprotornis chloropterus_Lesser Blue-eared Starling
Columba guinea_Speckled Pigeon
Crithagra mozambica_Yellow-fronted Canary
Uraeginthus bengalus_Red-cheeked Cordonbleu
Halcyon senegalensis_Woodland Kingfisher
Ptilopsis leucotis_Northern White-faced Owl
Corythaeola cristata_Great Blue Turaco
Burhinus senegalensis_Senegal Thick-knee
Bleda notatus_Lesser Bristlebill
Thamnolaea cinnamomeiventris_Mocking Cliff-Chat
Hylia prasina_Green Hylia
Burhinus capensis_Spotted Thick-knee
Camaroptera chloronota_Olive-green Camaroptera
Sylvietta virens_Green Crombec
Bubo lacteus_Verreaux's Eagle-Owl
Vidua chalybeata_Village Indigobird
Illadopsis fulvescens_Brown Illadopsis
Lophoceros nasutus_African Gray Hornbill
Oena capensis_Namaqua Dove
Micronisus gabar_Gabar Goshawk
Motacilla alba_White Wagtail
Caprimulgus nigriscapularis_Black-shouldered Nightjar
Bias musicus_Black-and-white Shrike-flycatcher
Nicator chloris_Western Nicator
Merops variegatus_Blue-breasted Bee-eater
Centropus senegalensis_Senegal Coucal
Stiphrornis erythrothorax_Forest Robin
Cossypha cyanocampter_Blue-shouldered Robin-Chat
Ptyonoprogne fuligula_Rock Martin
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Lophoceros camurus_Red-billed Dwarf Hornbill
Phoeniculus purpureus_Green Woodhoopoe
Emberiza cabanisi_Cabanis's Bunting
Cisticola aberrans_Rock-loving Cisticola
Tricholaema hirsuta_Hairy-breasted Barbet
Oriolus nigripennis_Black-winged Oriole
Glaucidium perlatum_Pearl-spotted Owlet
Otus senegalensis_African Scops-Owl
Camaroptera brachyura_Green-backed Camaroptera
Riparia paludicola_Plain Martin
Coracina pectoralis_White-breasted Cuckooshrike
Tchagra australis_Brown-crowned Tchagra
Buteo buteo_Common Buzzard
Alethe castanea_Fire-crested Alethe
Halcyon leucocephala_Gray-headed Kingfisher
Cuculus solitarius_Red-chested Cuckoo
Illadopsis albipectus_Scaly-breasted Illadopsis
Platysteira castanea_Chestnut Wattle-eye
Haliaeetus vocifer_African Fish-Eagle
Merops pusillus_Little Bee-eater
Vanellus spinosus_Spur-winged Lapwing
Estrilda nonnula_Black-crowned Waxbill
Halcyon badia_Chocolate-backed Kingfisher
Columba unicincta_Afep Pigeon
Prinia erythroptera_Red-winged Prinia
Prionops plumatus_White Helmetshrike
Laniarius luehderi_Lühder's Bushshrike
Campethera abingoni_Golden-tailed Woodpecker
Vanellus senegallus_Wattled Lapwing
Turdoides plebejus_Brown Babbler
Lanius corvinus_Yellow-billed Shrike
Quelea quelea_Red-billed Quelea
Halcyon chelicuti_Striped Kingfisher
Tchagra senegalus_Black-crowned Tchagra
Chlorocichla simplex_Simple Greenbul
Trochocercus nitens_Blue-headed Crested-Flycatcher
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Chrysococcyx caprius_Dideric Cuckoo
Centropus superciliosus_White-browed Coucal
Chamaetylas poliocephala_Brown-chested Alethe
Ptilopachus petrosus_Stone Partridge
Eurillas curvirostris_Plain Greenbul
Cinnyricinclus leucogaster_Violet-backed Starling
Baeopogon indicator_Honeyguide Greenbul
Cecropis semirufa_Rufous-chested Swallow
Accipiter tachiro_African Goshawk
