Pycnonotus barbatus_Common Bulbul
Streptopelia semitorquata_Red-eyed Dove
Colius striatus_Speckled Mousebird
Streptopelia capicola_Ring-necked Dove
Bostrychia hagedash_Hadada Ibis
Dicrurus adsimilis_Fork-tailed Drongo
Scopus umbretta_Hamerkop
Chalcomitra senegalensis_Scarlet-chested Sunbird
Lamprotornis purpuroptera_Rüppell's Starling
Motacilla aguimp_African Pied Wagtail
Terpsiphone viridis_African Paradise-Flycatcher
Milvus migrans_Black Kite
Hirundo rustica_Barn Swallow
Passer griseus_Northern Gray-headed Sparrow
Ploceus baglafecht_Baglafecht Weaver
Halcyon senegalensis_Woodland Kingfisher
Spermestes cucullata_Bronze Mannikin
Streptopelia senegalensis_Laughing Dove
Leptoptilos crumenifer_Marabou Stork
Turdus pelios_African Thrush
Bubulcus ibis_Cattle Egret
Numida meleagris_Helmeted Guineafowl
Camaroptera brachyura_Green-backed Camaroptera
Ardea melanocephala_Black-headed Heron
Lagonosticta senegala_Red-billed Firefinch
Cossypha heuglini_White-browed Robin-Chat
Lanius humeralis_Northern Fiscal
Ceryle rudis_Pied Kingfisher
Corvus albus_Pied Crow
Actitis hypoleucos_Common Sandpiper
Prinia subflava_Tawny-flanked Prinia
Ploceus cucullatus_Village Weaver
Ardea cinerea_Gray Heron
Haliaeetus vocifer_African Fish-Eagle
Corythaeola cristata_Great Blue Turaco
Egretta garzetta_Little Egret
Ploceus melanocephalus_Black-headed Weaver
Cinnyris venustus_Variable Sunbird
Laniarius major_Tropical Boubou
Laniarius erythrogaster_Black-headed Gonolek
Crithagra mozambica_Yellow-fronted Canary
Uraeginthus bengalus_Red-cheeked Cordonbleu
Turtur afer_Blue-spotted Wood-Dove
Cinnyris erythrocercus_Red-chested Sunbird
Lophaetus occipitalis_Long-crested Eagle
Centropus superciliosus_White-browed Coucal
Alopochen aegyptiaca_Egyptian Goose
Hirundo angolensis_Angola Swallow
Pternistis afer_Red-necked Francolin
Apus affinis_Little Swift
Cisticola marginatus_Winding Cisticola
Polyboroides typus_African Harrier-Hawk
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Zapornia flavirostra_Black Crake
Motacilla flava_Western Yellow Wagtail
Nectarinia kilimensis_Bronze Sunbird
Treron calvus_African Green-Pigeon
Platysteira cyanea_Brown-throated Wattle-eye
Vidua macroura_Pin-tailed Whydah
Cypsiurus parvus_African Palm-Swift
Corythornis cristatus_Malachite Kingfisher
Muscicapa adusta_African Dusky Flycatcher
Estrilda astrild_Common Waxbill
Cecropis abyssinica_Lesser Striped Swallow
Turtur tympanistria_Tambourine Dove
Tringa glareola_Wood Sandpiper
Actophilornis africanus_African Jacana
Coracias caudatus_Lilac-breasted Roller
Phylloscopus trochilus_Willow Warbler
Buteo augur_Augur Buzzard
Eminia lepida_Gray-capped Warbler
Merops pusillus_Little Bee-eater
Balearica regulorum_Gray Crowned-Crane
Eurystomus glaucurus_Broad-billed Roller
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Cuculus solitarius_Red-chested Cuckoo
Poicephalus meyeri_Meyer's Parrot
Lybius bidentatus_Double-toothed Barbet
Psalidoprocne pristoptera_Black Sawwing
Vanellus senegallus_Wattled Lapwing
Merops apiaster_European Bee-eater
Macronyx croceus_Yellow-throated Longclaw
Turdoides sharpei_Black-lored Babbler
Mirafra africana_Rufous-naped Lark
Hedydipna collaris_Collared Sunbird
Muscicapa aquatica_Swamp Flycatcher
Musophaga rossae_Ross's Turaco
Centropus monachus_Blue-headed Coucal
Lophoceros nasutus_African Gray Hornbill
Cisticola erythrops_Red-faced Cisticola
Muscicapa striata_Spotted Flycatcher
Ploceus nigerrimus_Vieillot's Weaver
Chrysococcyx cupreus_African Emerald Cuckoo
Chrysococcyx klaas_Klaas's Cuckoo
Cecropis daurica_Red-rumped Swallow
Ploceus nigricollis_Black-necked Weaver
Tchagra senegalus_Black-crowned Tchagra
Cyanomitra verticalis_Green-headed Sunbird
Ardea alba_Great Egret
Ploceus ocularis_Spectacled Weaver
Chrysococcyx caprius_Dideric Cuckoo
Emberiza flaviventris_Golden-breasted Bunting
Merops albicollis_White-throated Bee-eater
Estrilda nonnula_Black-crowned Waxbill
Tchagra australis_Brown-crowned Tchagra
Cinnyris mariquensis_Mariqua Sunbird
Lamprotornis splendidus_Splendid Starling
