Vanellus chilensis_Southern Lapwing
Zonotrichia capensis_Rufous-collared Sparrow
Milvago chimango_Chimango Caracara
Rhopospina fruticeti_Mourning Sierra Finch
Troglodytes aedon_House Wren
Passer domesticus_House Sparrow
Mimus patagonicus_Patagonian Mockingbird
Nannopterum brasilianum_Neotropic Cormorant
Larus dominicanus_Kelp Gull
Anairetes parulus_Tufted Tit-Tyrant
Zenaida auriculata_Eared Dove
Leistes loyca_Long-tailed Meadowlark
Anas georgica_Yellow-billed Pintail
Geranoaetus polyosoma_Variable Hawk
Falco sparverius_American Kestrel
Diuca diuca_Diuca Finch
Chroicocephalus maculipennis_Brown-hooded Gull
Theristicus melanopis_Black-faced Ibis
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Upucerthia dumetaria_Scale-throated Earthcreeper
Caracara plancus_Crested Caracara
Fulica armillata_Red-gartered Coot
Geositta cunicularia_Common Miner
Tachuris rubrigastra_Many-colored Rush Tyrant
Tachycineta leucopyga_Chilean Swallow
Eudromia elegans_Elegant Crested-Tinamou
Coragyps atratus_Black Vulture
Pygochelidon cyanoleuca_Blue-and-white Swallow
Asthenes pyrrholeuca_Sharp-billed Canastero
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Ochetorhynchus phoenicurus_Band-tailed Earthcreeper
Turdus falcklandii_Austral Thrush
Mareca sibilatrix_Chiloe Wigeon
Cinclodes fuscus_Buff-winged Cinclodes
Tachyeres patachonicus_Flying Steamer-Duck
Phoenicopterus chilensis_Chilean Flamingo
Cyanoliseus patagonus_Burrowing Parakeet
Molothrus bonariensis_Shiny Cowbird
Podiceps occipitalis_Silvery Grebe
Phleocryptes melanops_Wren-like Rushbird
Falco femoralis_Aplomado Falcon
Spatula platalea_Red Shoveler
Agelasticus thilius_Yellow-winged Blackbird
Cygnus melancoryphus_Black-necked Swan
Anthus correndera_Correndera Pipit
Asio flammeus_Short-eared Owl
Falco peregrinus_Peregrine Falcon
Systellura longirostris_Band-winged Nightjar
Nycticorax nycticorax_Black-crowned Night-Heron
Ardea cocoi_Cocoi Heron
Fulica rufifrons_Red-fronted Coot
Parabuteo unicinctus_Harris's Hawk
Pardirallus sanguinolentus_Plumbeous Rail
Spinus barbatus_Black-chinned Siskin
Anas flavirostris_Yellow-billed Teal
Pseudoseisura gutturalis_White-throated Cacholote
Coscoroba coscoroba_Coscoroba Swan
Phrygilus gayi_Gray-hooded Sierra Finch
Podiceps major_Great Grebe
Himantopus mexicanus_Black-necked Stilt
Thinocorus rumicivorus_Least Seedsnipe
Tyto alba_Barn Owl
Sicalis luteola_Grassland Yellow-Finch
Spatula cyanoptera_Cinnamon Teal
Geositta rufipennis_Rufous-banded Miner
Lophonetta specularioides_Crested Duck
Ardea alba_Great Egret
Bubulcus ibis_Cattle Egret
Tringa melanoleuca_Greater Yellowlegs
Tringa flavipes_Lesser Yellowlegs
Cathartes aura_Turkey Vulture
Calidris bairdii_Baird's Sandpiper
Phalaropus tricolor_Wilson's Phalarope
Athene cunicularia_Burrowing Owl
Phytotoma rutila_White-tipped Plantcutter
Elaenia albiceps_White-crested Elaenia
Mimus saturninus_Chalk-browed Mockingbird
Hymenops perspicillatus_Spectacled Tyrant
Oreopholus ruficollis_Tawny-throated Dotterel
Charadrius falklandicus_Two-banded Plover
Metriopelia melanoptera_Black-winged Ground Dove
Egretta thula_Snowy Egret
Columbina picui_Picui Ground Dove
Chloephaga picta_Upland Goose
Limosa haemastica_Hudsonian Godwit
Calidris fuscicollis_White-rumped Sandpiper
Agriornis montanus_Black-billed Shrike-Tyrant
Podilymbus podiceps_Pied-billed Grebe
Elanus leucurus_White-tailed Kite
Knipolegus aterrimus_White-winged Black-Tyrant
Glaucidium nana_Austral Pygmy-Owl
Colaptes pitius_Chilean Flicker
Mimus triurus_White-banded Mockingbird
Bubo virginianus_Great Horned Owl
