Corvus tasmanicus_Forest Raven
Malurus cyaneus_Superb Fairywren
Platycercus caledonicus_Green Rosella
Chroicocephalus novaehollandiae_Silver Gull
Vanellus miles_Masked Lapwing
Hirundo neoxena_Welcome Swallow
Phylidonyris pyrrhopterus_Crescent Honeyeater
Strepera fuliginosa_Black Currawong
Nesoptilotis flavicollis_Yellow-throated Honeyeater
Turdus merula_Eurasian Blackbird
Phylidonyris novaehollandiae_New Holland Honeyeater
Sericornis humilis_Tasmanian Scrubwren
Passer domesticus_House Sparrow
Petrochelidon nigricans_Tree Martin
Rhipidura albiscapa_Gray Fantail
Sturnus vulgaris_European Starling
Melanodryas vittata_Dusky Robin
Zosterops lateralis_Silvereye
Pachycephala olivacea_Olive Whistler
Colluricincla harmonica_Gray Shrikethrush
Stagonopleura bella_Beautiful Firetail
Larus dominicanus_Kelp Gull
Acanthiza ewingii_Tasmanian Thornbill
Calamanthus fuliginosus_Striated Fieldwren
Cygnus atratus_Black Swan
Haematopus longirostris_Pied Oystercatcher
Phaps elegans_Brush Bronzewing
Melithreptus validirostris_Strong-billed Honeyeater
Haliaeetus leucogaster_White-bellied Sea-Eagle
Stipiturus malachurus_Southern Emuwren
Haematopus fuliginosus_Sooty Oystercatcher
Pezoporus wallicus_Ground Parrot
Carduelis carduelis_European Goldfinch
Petroica rodinogaster_Pink Robin
Circus approximans_Swamp Harrier
Cacomantis pallidus_Pallid Cuckoo
Accipiter cirrocephalus_Collared Sparrowhawk
Melithreptus affinis_Black-headed Honeyeater
Petroica boodang_Scarlet Robin
Vanellus tricolor_Banded Lapwing
Tribonyx mortierii_Tasmanian Nativehen
Egretta novaehollandiae_White-faced Heron
Anthochaera paradoxa_Yellow Wattlebird
Lewinia pectoralis_Lewin's Rail
Aegotheles cristatus_Australian Owlet-nightjar
Turnix varius_Painted Buttonquail
Podargus strigoides_Tawny Frogmouth
Synoicus ypsilophorus_Brown Quail
Ardenna tenuirostris_Short-tailed Shearwater
Falco berigora_Brown Falcon
Pardalotus punctatus_Spotted Pardalote
Strepera versicolor_Gray Currawong
Phalacrocorax carbo_Great Cormorant
Tyto novaehollandiae_Australian Masked-Owl
Thalasseus bergii_Great Crested Tern
Pardalotus striatus_Striated Pardalote
Artamus cyanopterus_Dusky Woodswallow
Gliciphila melanops_Tawny-crowned Honeyeater
Anas superciliosa_Pacific Black Duck
Tadorna tadornoides_Australian Shelduck
Cracticus torquatus_Gray Butcherbird
Acanthorhynchus tenuirostris_Eastern Spinebill
Anas castanea_Chestnut Teal
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Petroica phoenicea_Flame Robin
Poodytes gramineus_Little Grassbird
Biziura lobata_Musk Duck
Cacomantis flabelliformis_Fan-tailed Cuckoo
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Gymnorhina tibicen_Australian Magpie
Pachycephala pectoralis_Golden Whistler
Dacelo novaeguineae_Laughing Kookaburra
Anthus novaeseelandiae_Australasian Pipit
Zoothera lunulata_Bassian Thrush
Ardea alba_Great Egret
Accipiter fasciatus_Brown Goshawk
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Elseyornis melanops_Black-fronted Dotterel
Acanthiza pusilla_Brown Thornbill
Accipiter novaehollandiae_Gray Goshawk
Cinclosoma punctatum_Spotted Quail-thrush
Ceyx azureus_Azure Kingfisher
Hydroprogne caspia_Caspian Tern
Anthochaera chrysoptera_Little Wattlebird
Phaps chalcoptera_Common Bronzewing
Malacorhynchus membranaceus_Pink-eared Duck
Glossopsitta concinna_Musk Lorikeet
Lathamus discolor_Swift Parrot
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Eolophus roseicapilla_Galah
Falco peregrinus_Peregrine Falcon
Chloris chloris_European Greenfinch
Coracina novaehollandiae_Black-faced Cuckooshrike
Alauda arvensis_Eurasian Skylark
Porphyrio melanotus_Australasian Swamphen
Tringa nebularia_Common Greenshank
Charadrius bicinctus_Double-banded Plover
Egretta garzetta_Little Egret
Fulica atra_Eurasian Coot
Anas gracilis_Gray Teal
Manorina melanocephala_Noisy Miner
Eudyptula minor_Little Penguin
Pterodroma cookii_Cook's Petrel
Calidris tenuirostris_Great Knot
Bubulcus ibis_Cattle Egret
Podiceps cristatus_Great Crested Grebe
Chenonetta jubata_Maned Duck
Calidris ruficollis_Red-necked Stint
Gallinago hardwickii_Latham's Snipe
Cacatua galerita_Sulphur-crested Cockatoo
Calidris ferruginea_Curlew Sandpiper
Myiagra cyanoleuca_Satin Flycatcher
Pelecanus conspicillatus_Australian Pelican
Calidris acuminata_Sharp-tailed Sandpiper
Ninox novaeseelandiae_Morepork
Zapornia tabuensis_Spotless Crake
Callipepla californica_California Quail
Tachybaptus novaehollandiae_Australasian Grebe
Thalassarche melanophris_Black-browed Albatross
Streptopelia chinensis_Spotted Dove
Hirundapus caudacutus_White-throated Needletail
Arenaria interpres_Ruddy Turnstone
Pluvialis fulva_Pacific Golden-Plover
Stercorarius antarcticus_Brown Skua
Numenius madagascariensis_Far Eastern Curlew
Daption capense_Cape Petrel
Menura novaehollandiae_Superb Lyrebird
Diomedea exulans_Wandering Albatross
Trichoglossus moluccanus_Rainbow Lorikeet
Cacatua tenuirostris_Long-billed Corella
Cacatua sanguinea_Little Corella
Limosa lapponica_Bar-tailed Godwit
Tringa brevipes_Gray-tailed Tattler
Phasianus colchicus_Ring-necked Pheasant
Platycercus eximius_Eastern Rosella
Sternula albifrons_Little Tern
Gallinula tenebrosa_Dusky Moorhen
Acrocephalus australis_Australian Reed Warbler
Ardenna grisea_Sooty Shearwater
Anas platyrhynchos_Mallard
Sterna striata_White-fronted Tern
Himantopus leucocephalus_Pied Stilt
Rhipidura leucophrys_Willie-wagtail
Sericornis frontalis_White-browed Scrubwren
Pterodroma inexpectata_Mottled Petrel
Calidris alba_Sanderling
Numenius phaeopus_Whimbrel
Calidris melanotos_Pectoral Sandpiper
Tyto alba_Barn Owl
Ardenna bulleri_Buller's Shearwater
Ardenna pacifica_Wedge-tailed Shearwater
Microeca fascinans_Jacky-winter
Haliastur sphenurus_Whistling Kite
Grallina cyanoleuca_Magpie-lark
Stercorarius parasiticus_Parasitic Jaeger
Calidris canutus_Red Knot
Ocyphaps lophotes_Crested Pigeon
Threskiornis molucca_Australian Ibis
