Thalasseus bergii_Great Crested Tern
Gallus gallus_Red Junglefowl
Phaethon rubricauda_Red-tailed Tropicbird
Acridotheres tristis_Common Myna
Anous stolidus_Brown Noddy
Phaethon lepturus_White-tailed Tropicbird
Fregata ariel_Lesser Frigatebird
Egretta sacra_Pacific Reef-Heron
Sula sula_Red-footed Booby
Fregata minor_Great Frigatebird
Numenius tahitiensis_Bristle-thighed Curlew
Zosterops lateralis_Silvereye
Bulweria bulwerii_Bulwer's Petrel
Anous minutus_Black Noddy
Sula leucogaster_Brown Booby
Puffinus nativitatis_Christmas Shearwater
Sula dactylatra_Masked Booby
Arenaria interpres_Ruddy Turnstone
Ardenna pacifica_Wedge-tailed Shearwater
Onychoprion fuscatus_Sooty Tern
Pterodroma neglecta_Kermadec Petrel
Calidris alba_Sanderling
Urodynamis taitensis_Long-tailed Koel
Pluvialis fulva_Pacific Golden-Plover
Gygis alba_White Tern
Calidris melanotos_Pectoral Sandpiper
Puffinus bailloni_Tropical Shearwater
Zapornia tabuensis_Spotless Crake
Tringa incana_Wandering Tattler
Ardenna tenuirostris_Short-tailed Shearwater
Onychoprion lunatus_Gray-backed Tern
Anous ceruleus_Blue-gray Noddy
Ardenna grisea_Sooty Shearwater
