Gallus gallus_Red Junglefowl
Thalasseus bergii_Great Crested Tern
Acridotheres tristis_Common Myna
Phaethon rubricauda_Red-tailed Tropicbird
Egretta sacra_Pacific Reef-Heron
Anous stolidus_Brown Noddy
Fregata ariel_Lesser Frigatebird
Phaethon lepturus_White-tailed Tropicbird
Zosterops lateralis_Silvereye
Fregata minor_Great Frigatebird
Sula sula_Red-footed Booby
Numenius tahitiensis_Bristle-thighed Curlew
Bulweria bulwerii_Bulwer's Petrel
Anous minutus_Black Noddy
Puffinus nativitatis_Christmas Shearwater
Sula leucogaster_Brown Booby
Sula dactylatra_Masked Booby
Onychoprion fuscatus_Sooty Tern
Pluvialis fulva_Pacific Golden-Plover
Gygis alba_White Tern
Pterodroma neglecta_Kermadec Petrel
Arenaria interpres_Ruddy Turnstone
Ardenna pacifica_Wedge-tailed Shearwater
Tringa incana_Wandering Tattler
Calidris melanotos_Pectoral Sandpiper
Calidris alba_Sanderling
Urodynamis taitensis_Long-tailed Koel
Zapornia tabuensis_Spotless Crake
Puffinus bailloni_Tropical Shearwater
Ardenna tenuirostris_Short-tailed Shearwater
Onychoprion lunatus_Gray-backed Tern
Anous ceruleus_Blue-gray Noddy
Ardenna grisea_Sooty Shearwater
