Larus dominicanus_Kelp Gull
Stercorarius antarcticus_Brown Skua
Thalassarche melanophris_Black-browed Albatross
Aptenodytes patagonicus_King Penguin
Daption capense_Cape Petrel
Anas georgica_Yellow-billed Pintail
Sterna vittata_Antarctic Tern
Diomedea exulans_Wandering Albatross
Pygoscelis papua_Gentoo Penguin
Ardenna grisea_Sooty Shearwater
Pygoscelis antarcticus_Chinstrap Penguin
Pygoscelis adeliae_Adelie Penguin
Anas flavirostris_Yellow-billed Teal
Stercorarius maccormicki_South Polar Skua
Ardenna tenuirostris_Short-tailed Shearwater
Pterodroma inexpectata_Mottled Petrel
