Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Stercorarius antarcticus_Brown Skua
Diomedea exulans_Wandering Albatross
Sterna vittata_Antarctic Tern
Ardenna grisea_Sooty Shearwater
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Stercorarius maccormicki_South Polar Skua
Pygoscelis adeliae_Adelie Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Pterodroma inexpectata_Mottled Petrel
Aptenodytes patagonicus_King Penguin
