Vanellus chilensis_Southern Lapwing
Pitangus sulphuratus_Great Kiskadee
Troglodytes aedon_House Wren
Coragyps atratus_Black Vulture
Tyrannus melancholicus_Tropical Kingbird
Sicalis flaveola_Saffron Finch
Columbina talpacoti_Ruddy Ground Dove
Thraupis sayaca_Sayaca Tanager
Patagioenas picazuro_Picazuro Pigeon
Coereba flaveola_Bananaquit
Pygochelidon cyanoleuca_Blue-and-white Swallow
Turdus rufiventris_Rufous-bellied Thrush
Fluvicola nengeta_Masked Water-Tyrant
Furnarius rufus_Rufous Hornero
Caracara plancus_Crested Caracara
Zonotrichia capensis_Rufous-collared Sparrow
Myiozetetes similis_Social Flycatcher
Turdus leucomelas_Pale-breasted Thrush
Elaenia flavogaster_Yellow-bellied Elaenia
Thraupis palmarum_Palm Tanager
Crotophaga ani_Smooth-billed Ani
Megarynchus pitangua_Boat-billed Flycatcher
Passer domesticus_House Sparrow
Sporophila caerulescens_Double-collared Seedeater
Progne chalybea_Gray-breasted Martin
Eupetomena macroura_Swallow-tailed Hummingbird
Volatinia jacarina_Blue-black Grassquit
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Rupornis magnirostris_Roadside Hawk
Picumnus cirratus_White-barred Piculet
Cyclarhis gujanensis_Rufous-browed Peppershrike
Mimus saturninus_Chalk-browed Mockingbird
Dacnis cayana_Blue Dacnis
Milvago chimachima_Yellow-headed Caracara
Hirundinea ferruginea_Cliff Flycatcher
Leptotila verreauxi_White-tipped Dove
Myiodynastes maculatus_Streaked Flycatcher
Ramphastos vitellinus_Channel-billed Toucan
Stilpnia cayana_Burnished-buff Tanager
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Psittacara leucophthalmus_White-eyed Parakeet
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Piaya cayana_Squirrel Cuckoo
Saltator maximus_Buff-throated Saltator
Machetornis rixosa_Cattle Tyrant
Tachyphonus coronatus_Ruby-crowned Tanager
Chiroxiphia caudata_Swallow-tailed Manakin
Furnarius figulus_Wing-banded Hornero
Molothrus bonariensis_Shiny Cowbird
Saltator similis_Green-winged Saltator
Butorides striata_Striated Heron
Nannopterum brasilianum_Neotropic Cormorant
Thraupis ornata_Golden-chevroned Tanager
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Icterus jamacaii_Campo Troupial
Egretta thula_Snowy Egret
Guira guira_Guira Cuckoo
Tyrannus savana_Fork-tailed Flycatcher
Euphonia violacea_Violaceous Euphonia
Ardea alba_Great Egret
Myiarchus ferox_Short-crested Flycatcher
Psarocolius decumanus_Crested Oropendola
Phacellodomus rufifrons_Rufous-fronted Thornbird
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Vireo chivi_Chivi Vireo
Basileuterus culicivorus_Golden-crowned Warbler
Trogon surrucura_Surucua Trogon
Pyrrhura frontalis_Maroon-bellied Parakeet
Cathartes aura_Turkey Vulture
Dysithamnus stictothorax_Spot-breasted Antvireo
Colonia colonus_Long-tailed Tyrant
Progne tapera_Brown-chested Martin
Tangara cyanoventris_Gilt-edged Tanager
Gnorimopsar chopi_Chopi Blackbird
Pachyramphus castaneus_Chestnut-crowned Becard
Euphonia chlorotica_Purple-throated Euphonia
Crypturellus obsoletus_Brown Tinamou
Mimus gilvus_Tropical Mockingbird
Gallinula galeata_Common Gallinule
Pheugopedius genibarbis_Moustached Wren
Penelope obscura_Dusky-legged Guan
Colaptes campestris_Campo Flicker
Patagioenas plumbea_Plumbeous Pigeon
Tangara seledon_Green-headed Tanager
Cacicus haemorrhous_Red-rumped Cacique
Sittasomus griseicapillus_Olivaceous Woodcreeper
Primolius maracana_Blue-winged Macaw
Athene cunicularia_Burrowing Owl
Manacus manacus_White-bearded Manakin
Eupetomena cirrochloris_Sombre Hummingbird
Pachyramphus polychopterus_White-winged Becard
Chrysomus ruficapillus_Chestnut-capped Blackbird
Ictinia plumbea_Plumbeous Kite
Phaethornis pretrei_Planalto Hermit
Estrilda astrild_Common Waxbill
Chlorostilbon lucidus_Glittering-bellied Emerald
Xiphorhynchus fuscus_Lesser Woodcreeper
Myiozetetes cayanensis_Rusty-margined Flycatcher
Florisuga fusca_Black Jacobin
Cissopis leverianus_Magpie Tanager
Turdus amaurochalinus_Creamy-bellied Thrush
Sirystes sibilator_Sibilant Sirystes
Pyriglena leucoptera_White-shouldered Fire-eye
Amazona amazonica_Orange-winged Parrot
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Myiornis auricularis_Eared Pygmy-Tyrant
Automolus leucophthalmus_White-eyed Foliage-gleaner
Sporophila lineola_Lined Seedeater
Lathrotriccus euleri_Euler's Flycatcher
Saltator fuliginosus_Black-throated Grosbeak
Capsiempis flaveola_Yellow Tyrannulet
Megaceryle torquata_Ringed Kingfisher
Anhinga anhinga_Anhinga
Paroaria dominicana_Red-cowled Cardinal
Euphonia pectoralis_Chestnut-bellied Euphonia
Eupsittula aurea_Peach-fronted Parakeet
Crotophaga major_Greater Ani
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Chaetura meridionalis_Sick's Swift
Xenops rutilans_Streaked Xenops
Myiarchus swainsoni_Swainson's Flycatcher
Todirostrum cinereum_Common Tody-Flycatcher
Dysithamnus mentalis_Plain Antvireo
Turdus flavipes_Yellow-legged Thrush
Leptotila rufaxilla_Gray-fronted Dove
Dendrocincla turdina_Plain-winged Woodcreeper
Falco sparverius_American Kestrel
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Cyanerpes cyaneus_Red-legged Honeycreeper
Celeus flavescens_Blond-crested Woodpecker
Dryobates maculifrons_Yellow-eared Woodpecker
Amazonetta brasiliensis_Brazilian Teal
Gubernetes yetapa_Streamer-tailed Tyrant
Ilicura militaris_Pin-tailed Manakin
Conirostrum speciosum_Chestnut-vented Conebill
Thalurania glaucopis_Violet-capped Woodnymph
Synallaxis spixi_Spix's Spinetail
Pardirallus nigricans_Blackish Rail
Trichothraupis melanops_Black-goggled Tanager
Jacana jacana_Wattled Jacana
Empidonomus varius_Variegated Flycatcher
Ammodramus humeralis_Grassland Sparrow
