Zosterops japonicus_Warbling White-eye
Acridotheres tristis_Common Myna
Cardinalis cardinalis_Northern Cardinal
Streptopelia chinensis_Spotted Dove
Haemorhous mexicanus_House Finch
Geopelia striata_Zebra Dove
Sicalis flaveola_Saffron Finch
Himatione sanguinea_Apapane
Crithagra mozambica_Yellow-fronted Canary
Pluvialis fulva_Pacific Golden-Plover
Paroaria capitata_Yellow-billed Cardinal
Leiothrix lutea_Red-billed Leiothrix
Passer domesticus_House Sparrow
Glaucestrilda caerulescens_Lavender Waxbill
Padda oryzivora_Java Sparrow
Horornis diphone_Japanese Bush Warbler
Chlorodrepanis virens_Hawaii Amakihi
Chasiempis sandwichensis_Hawaii Elepaio
Lonchura punctulata_Scaly-breasted Munia
Tringa incana_Wandering Tattler
Buteo solitarius_Hawaiian Hawk
Phaethon lepturus_White-tailed Tropicbird
Alauda arvensis_Eurasian Skylark
Anous minutus_Black Noddy
Branta sandvicensis_Hawaiian Goose
Ardenna pacifica_Wedge-tailed Shearwater
Garrulax canorus_Chinese Hwamei
Anas wyvilliana_Hawaiian Duck
Nycticorax nycticorax_Black-crowned Night-Heron
Psittacula krameri_Rose-ringed Parakeet
Fulica alai_Hawaiian Coot
Euodice cantans_African Silverbill
Estrilda astrild_Common Waxbill
Bubulcus ibis_Cattle Egret
Lonchura atricapilla_Chestnut Munia
Columba livia_Rock Pigeon
Arenaria interpres_Ruddy Turnstone
Gallus gallus_Red Junglefowl
Pterodroma sandwichensis_Hawaiian Petrel
Gallinula galeata_Common Gallinule
Lophura leucomelanos_Kalij Pheasant
Paroaria coronata_Red-crested Cardinal
Tyto alba_Barn Owl
Himantopus mexicanus_Black-necked Stilt
Mimus polyglottos_Northern Mockingbird
Drepanis coccinea_Iiwi
Ortygornis pondicerianus_Gray Francolin
Copsychus malabaricus_White-rumped Shama
Pternistis erckelii_Erckel's Francolin
Puffinus newelli_Newell's Shearwater
Chasiempis sclateri_Kauai Elepaio
Myadestes obscurus_Omao
Amandava amandava_Red Avadavat
Magumma parva_Anianiau
Anas superciliosa_Pacific Black Duck
Loxops caeruleirostris_Akekee
Francolinus francolinus_Black Francolin
Lalage maculosa_Polynesian Triller
Turdus poliocephalus_Island Thrush
Falco peregrinus_Peregrine Falcon
Columba vitiensis_Metallic Pigeon
Meleagris gallopavo_Wild Turkey
Puffinus bailloni_Tropical Shearwater
Gallirallus philippensis_Buff-banded Rail
Agapornis roseicollis_Rosy-faced Lovebird
Porphyrio melanotus_Australasian Swamphen
Psittacara erythrogenys_Red-masked Parakeet
Zapornia tabuensis_Spotless Crake
Calidris canutus_Red Knot
Ptilinopus porphyraceus_Crimson-crowned Fruit-Dove
Anous ceruleus_Blue-gray Noddy
Urodynamis taitensis_Long-tailed Koel
Onychoprion lunatus_Gray-backed Tern
Onychoprion anaethetus_Bridled Tern
Ducula pacifica_Pacific Imperial-Pigeon
